kernel,InputData,advise0,advise1,advise2,advise3,advise4,advise5,variant,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph1MW.6,0,0,0,0,0,0,0,8.42,0.556848,12,0.046404,6.15E-03,0.214502
Kernel,graph1MW.6,0,0,1,0,0,0,1000,11.47,0.758784,12,0.063232,6.05E-03,0.212448
Kernel,graph1MW.6,0,0,3,0,0,0,3000,11.75,0.782721,12,0.065226,6.08E-03,0.232096
Kernel,graph1MW.6,0,0,6,0,0,0,6000,11.57,0.796866,12,0.066405,6.08E-03,0.248129
Kernel,graph1MW.6,0,1,0,0,0,0,10000,16.07,1.084801,12,0.0904,6.11E-03,0.533537
Kernel,graph1MW.6,0,0,0,1,0,0,100,17.08,1.085386,12,0.090448,6.05E-03,0.319482
Kernel,graph1MW.6,0,0,0,6,0,0,600,17.21,1.138882,12,0.094906,6.21E-03,0.353185
Kernel,graph1MW.6,0,6,0,0,0,0,60000,17.68,1.160618,12,0.096718,6.05E-03,0.608659
Kernel,graph1MW.6,0,0,1,1,0,0,1100,16.61,1.164067,12,0.097005,6.05E-03,0.387105
Kernel,graph1MW.6,0,3,0,0,0,0,30000,18.54,1.249152,12,0.104096,6.18E-03,0.699456
Kernel,graph1MW.6,0,3,3,0,0,0,33000,18.05,1.260192,12,0.105016,6.05E-03,0.707168
Kernel,graph1MW.6,0,6,6,0,0,0,66000,17.48,1.273983,12,0.106165,6.14E-03,0.722335
Kernel,graph1MW.6,0,1,0,1,0,0,10100,18.98,1.276169,12,0.106347,6.14E-03,0.729138
Kernel,graph1MW.6,0,1,1,0,0,0,11000,19.18,1.285698,12,0.107141,5.95E-03,0.735073
Kernel,graph1MW.6,0,6,3,0,0,0,63000,17.88,1.295583,12,0.107965,6.05E-03,0.738111
Kernel,graph1MW.6,0,0,0,3,0,0,300,18.09,1.317671,12,0.109805,6.08E-03,0.441879
Kernel,graph1MW.6,0,6,1,0,0,0,61000,19.72,1.367557,12,0.113963,6.11E-03,0.815279
Kernel,graph1MW.6,0,3,1,0,0,0,31000,19.3,1.378944,12,0.114912,6.02E-03,0.824704
Kernel,graph1MW.6,0,0,1,3,0,0,1300,19.06,1.381696,12,0.115141,6.08E-03,0.40028
Kernel,graph1MW.6,0,0,1,6,0,0,1600,19.43,1.391424,12,0.115952,6.21E-03,0.404768
Kernel,graph1MW.6,0,0,6,6,0,0,6600,19.02,1.397123,12,0.116426,6.05E-03,0.398304
Kernel,graph1MW.6,0,1,3,0,0,0,13000,19.52,1.425697,12,0.118808,6.14E-03,0.876064
Kernel,graph1MW.6,0,0,3,3,0,0,3300,19.77,1.430656,12,0.119221,6.08E-03,0.4064
Kernel,graph1MW.6,0,0,3,1,0,0,3100,18.92,1.436165,12,0.11968,6.14E-03,0.423608
Kernel,graph1MW.6,0,0,3,6,0,0,3600,20.11,1.44928,12,0.120773,6.14E-03,0.410272
Kernel,graph1MW.6,0,0,6,3,0,0,6300,19.43,1.45213,12,0.12101,6.08E-03,0.417153
Kernel,graph1MW.6,0,0,6,1,0,0,6100,20.55,1.467233,12,0.122269,6.14E-03,0.430689
Kernel,graph1MW.6,0,1,6,0,0,0,16000,19.75,1.646881,12,0.13724,6.18E-03,1.098123
Kernel,graph1MW.6,0,6,0,1,0,0,60100,24.25,1.686815,12,0.140567,6.05E-03,0.72112
Kernel,graph1MW.6,0,3,0,1,0,0,30100,24.05,1.689536,12,0.140794,6.02E-03,0.724416
Kernel,graph1MW.6,0,6,0,3,0,0,60300,24.2,1.70272,12,0.141893,6.08E-03,0.75264
Kernel,graph1MW.6,0,3,0,6,0,0,30600,24.2,1.713149,12,0.142762,6.08E-03,0.762544
Kernel,graph1MW.6,0,1,0,6,0,0,10600,24.13,1.722177,12,0.143514,6.08E-03,0.834593
Kernel,graph1MW.6,0,6,0,6,0,0,60600,24.36,1.73731,12,0.144775,6.05E-03,0.791839
Kernel,graph1MW.6,0,1,1,6,0,0,11600,24.95,1.788543,12,0.149045,6.05E-03,0.873535
Kernel,graph1MW.6,0,3,0,3,0,0,30300,25.42,1.797024,12,0.149752,6.08E-03,0.827936
Kernel,graph1MW.6,0,3,6,0,0,0,36000,21.6,1.804862,12,0.150405,6.05E-03,1.252734
Kernel,graph1MW.6,0,6,6,6,0,0,66600,24.45,1.849886,12,0.154157,5.98E-03,0.862911
Kernel,graph1MW.6,0,6,1,3,0,0,61300,24.7,1.851232,12,0.154269,6.21E-03,0.845792
Kernel,graph1MW.6,0,3,1,3,0,0,31300,24.34,1.856603,12,0.154716,6.14E-03,0.854287
Kernel,graph1MW.6,0,1,3,1,0,0,13100,24.19,1.858816,12,0.154901,6.11E-03,0.88736
Kernel,graph1MW.6,0,6,3,3,0,0,63300,24.67,1.865627,12,0.155468,6.08E-03,0.865806
Kernel,graph1MW.6,0,3,6,1,0,0,36100,24.51,1.870903,12,0.155908,6.02E-03,0.877356
Kernel,graph1MW.6,0,6,1,6,0,0,61600,24.9,1.87331,12,0.156109,6.05E-03,0.877439
Kernel,graph1MW.6,0,3,1,1,0,0,31100,24.93,1.873979,12,0.156164,6.05E-03,0.894861
Kernel,graph1MW.6,0,6,1,1,0,0,61100,24.66,1.882175,12,0.156847,6.08E-03,0.909183
Kernel,graph1MW.6,0,6,6,3,0,0,66300,24.55,1.889408,12,0.15745,6.14E-03,0.878688
Kernel,graph1MW.6,0,1,3,6,0,0,13600,24.63,1.910557,12,0.159213,6.05E-03,0.923551
Kernel,graph1MW.6,0,6,6,1,0,0,66100,25.42,1.932862,12,0.161071,6.02E-03,0.960671
Kernel,graph1MW.6,0,1,1,3,0,0,11300,25.82,1.936733,12,0.161394,6.14E-03,1.018189
Kernel,graph1MW.6,0,1,3,3,0,0,13300,24.75,1.939233,12,0.161602,6.08E-03,0.924576
Kernel,graph1MW.6,0,3,1,6,0,0,31600,25.18,1.940606,12,0.161717,6.18E-03,0.931231
