Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
bfs,graph1MW.6,h_graph_nodes,0,Kernel2,796137339.06,30.24,8819,1179899856.94,30.24,7456,6.28,6915.09,14.88,17.36,0.74,0.58,0.76,18.93,18.93,246549356223.18,13.65,30.24,50.81,13.34,0.07,11.72,0.33,80.7,1,0.19,19.3,27.06,31.97,62.53,60.7,60.7,1270.87,406678,1309.07,418903,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,47.3,73.91,64,100,111,0x7f70b6000000,0x7f70b67a1200,8000000,24,6,7816.0,0.0,0.0
bfs,graph1MW.6,h_graph_mask,1,Kernel2,796137339.06,30.24,8819,1179899856.94,30.24,7456,6.28,6915.09,14.88,17.36,0.74,0.58,0.76,18.93,18.93,246549356223.18,13.65,30.24,50.81,13.34,0.07,11.72,0.33,80.7,1,0.19,19.3,27.06,31.97,62.53,60.7,60.7,1270.87,406678,1309.07,418903,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,47.3,73.91,64,100,111,0x7f70b6800000,0x7f70b68f4240,1000000,6,49,1024.0,0.0,0.0
bfs,graph1MW.6,h_updating_graph_mask,2,Kernel2,796137339.06,30.24,8819,1179899856.94,30.24,7456,6.28,6915.09,14.88,17.36,0.74,0.58,0.76,18.93,18.93,246549356223.18,13.65,30.24,50.81,13.34,0.07,11.72,0.33,80.7,1,0.19,19.3,27.06,31.97,62.53,60.7,60.7,1270.87,406678,1309.07,418903,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,47.3,73.91,64,100,111,0x7f70b68f4400,0x7f70b69e8640,1000000,4,1,1024.0,0.0,0.0
bfs,graph1MW.6,h_graph_visited,3,Kernel2,796137339.06,30.24,8819,1179899856.94,30.24,7456,6.28,6915.09,14.88,17.36,0.74,0.58,0.76,18.93,18.93,246549356223.18,13.65,30.24,50.81,13.34,0.07,11.72,0.33,80.7,1,0.19,19.3,27.06,31.97,62.53,60.7,60.7,1270.87,406678,1309.07,418903,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,47.3,73.91,64,100,111,0x7f70b6a00000,0x7f70b6af4240,1000000,5,3,1024.0,0.0,0.0
bfs,graph1MW.6,h_graph_nodes,0,Kernel,830578512.4,18.94,14379,1236455463.73,18.94,11616,3.92,7538.38,8.52,16.11,0.63,0.33,0.65,16.23,16.23,161052341597.8,8.45,18.94,51.18,8.26,1.92,11.33,0.25,82.58,1,0.17,17.42,26.41,31.68,67.2,65.05,65.05,1184.25,378961,1223.47,391509,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,43.49,67.95,64,100,111,0x7f70b6000000,0x7f70b67a1200,8000000,24,6,7816.0,0.0,0.0
bfs,graph1MW.6,h_graph_mask,1,Kernel,830578512.4,18.94,14379,1236455463.73,18.94,11616,3.92,7538.38,8.52,16.11,0.63,0.33,0.65,16.23,16.23,161052341597.8,8.45,18.94,51.18,8.26,1.92,11.33,0.25,82.58,1,0.17,17.42,26.41,31.68,67.2,65.05,65.05,1184.25,378961,1223.47,391509,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,43.49,67.95,64,100,111,0x7f70b6800000,0x7f70b68f4240,1000000,6,49,1024.0,0.0,0.0
bfs,graph1MW.6,h_updating_graph_mask,2,Kernel,830578512.4,18.94,14379,1236455463.73,18.94,11616,3.92,7538.38,8.52,16.11,0.63,0.33,0.65,16.23,16.23,161052341597.8,8.45,18.94,51.18,8.26,1.92,11.33,0.25,82.58,1,0.17,17.42,26.41,31.68,67.2,65.05,65.05,1184.25,378961,1223.47,391509,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,43.49,67.95,64,100,111,0x7f70b68f4400,0x7f70b69e8640,1000000,4,1,1024.0,0.0,0.0
bfs,graph1MW.6,h_graph_visited,3,Kernel,830578512.4,18.94,14379,1236455463.73,18.94,11616,3.92,7538.38,8.52,16.11,0.63,0.33,0.65,16.23,16.23,161052341597.8,8.45,18.94,51.18,8.26,1.92,11.33,0.25,82.58,1,0.17,17.42,26.41,31.68,67.2,65.05,65.05,1184.25,378961,1223.47,391509,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,43.49,67.95,64,100,111,0x7f70b6a00000,0x7f70b6af4240,1000000,5,3,1024.0,0.0,0.0
bfs,graph1MW.6,h_graph_nodes,0,Kernel2,817596566.52,30.12,9062,1213116952.79,30.12,7456,6.24,6897.39,14.52,17.49,0.74,0.56,0.76,19.04,19.04,252128755364.81,13.34,30.12,51.51,13.02,0.52,12.1,0.33,80.11,1,0.2,19.89,26.97,31.87,62.63,60.81,60.81,1275.18,408058,1313.36,420274,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,47.71,74.55,64,100,111,0x7f70b6000000,0x7f70b67a1200,8000000,24,6,7816.0,0.0,0.0
bfs,graph1MW.6,h_graph_mask,1,Kernel2,817596566.52,30.12,9062,1213116952.79,30.12,7456,6.24,6897.39,14.52,17.49,0.74,0.56,0.76,19.04,19.04,252128755364.81,13.34,30.12,51.51,13.02,0.52,12.1,0.33,80.11,1,0.2,19.89,26.97,31.87,62.63,60.81,60.81,1275.18,408058,1313.36,420274,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,47.71,74.55,64,100,111,0x7f70b6800000,0x7f70b68f4240,1000000,6,49,1024.0,0.0,0.0
