kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,6,0,2,602,74.51,182.9408,6000,0.030489999999999996,0.027617000000000003,1.603672
cuda_compute_flux,193K,0,1,2,12,67.33,300.6107,6000,0.050101,0.04672,4.110404
cuda_compute_flux,missile0.2M,2,1,6,216,69.46,399.1468,6000,0.066524,0.06111900000000001,4.255723000000001
cuda_compute_step_factor,097K,0,0,5,5,0.28,7.298011,2000,0.00365,0.00346,0.0054399999999999995
cuda_compute_step_factor,193K,0,0,4,4,0.32,17.07745,2000,0.00854,0.008029999999999999,0.011456000000000001
cuda_compute_step_factor,missile0.2M,0,0,5,5,0.37,23.6803,2000,0.01184,0.010816,0.013472
cuda_initialize_variables,097K,4,6,1,461,0.0,0.015584,3,0.00519,0.0032,0.0073
cuda_initialize_variables,193K,2,2,1,221,0.0,0.022368,3,0.00746,0.00563,0.011008
cuda_initialize_variables,missile0.2M,1,6,2,162,0.0,0.02512,3,0.00837,0.00643,0.012032
cuda_time_step,097K,4,5,4,454,0.92,32.757329999999996,6000,0.0054600000000000004,0.00483,0.00672
cuda_time_step,193K,5,4,5,545,1.43,101.3333,6000,0.016888,0.015776,0.020031999999999998
cuda_time_step,missile0.2M,0,6,6,66,20.62,120.6156,6000,0.020102000000000002,0.018847,0.022175999999999998
