kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,6,0,2,602,74.51,182.9408,6000,0.03049,0.027617000000000003,1.603672
cuda_compute_flux,097K,3,6,2,362,74.73,183.9724,6000,0.030662,0.02752,2.090246
cuda_compute_flux,097K,6,3,2,632,74.74,184.108,6000,0.030684,0.027712,2.28631
cuda_compute_flux,097K,2,6,2,262,74.74,184.4355,6000,0.030739,0.027936,2.145476
cuda_compute_flux,097K,6,1,2,612,74.81,184.4753,6000,0.030745,0.027808,2.098209
cuda_compute_flux,097K,1,6,2,162,74.7,184.8054,6000,0.0308,0.027615,2.88566
cuda_compute_flux,097K,0,3,2,32,74.99,185.2713,6000,0.030878,0.027712,2.50602
cuda_compute_flux,097K,4,0,2,402,58.01,187.3845,6000,0.03123,0.02784,1.898839
cuda_compute_flux,097K,4,2,0,420,57.17,187.7103,6000,0.031285,0.027776,0.961069
cuda_compute_flux,097K,1,3,2,132,74.84,188.0138,6000,0.031335,0.027969,2.094144
cuda_compute_flux,097K,5,2,0,520,57.09,188.2251,6000,0.03137,0.028288,0.873101
cuda_compute_flux,097K,6,6,2,662,74.88,188.546,6000,0.031424,0.02816,2.178079
cuda_compute_flux,097K,3,3,2,332,74.84,188.5808,6000,0.03143,0.028191,2.186501
cuda_compute_flux,097K,2,2,3,223,74.85,188.8611,6000,0.031476,0.028799,1.935366
cuda_compute_flux,097K,3,0,3,303,74.58,188.9149,6000,0.031485,0.028704,2.183165
cuda_compute_flux,097K,1,2,1,121,74.88,188.9691,6000,0.031494,0.028096,2.206115
cuda_compute_flux,097K,4,3,0,430,57.34,189.1102,6000,0.031518,0.027871,0.8550969999999999
cuda_compute_flux,097K,3,1,2,312,74.98,189.2027,6000,0.031533,0.027616,2.405185
cuda_compute_flux,097K,4,3,2,432,58.42,189.2289,6000,0.031538,0.028033,3.074188
cuda_compute_flux,097K,3,2,0,320,73.29,189.3263,6000,0.031554,0.028704,0.797782
