Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,097K,h_areas,0,cuda_compute_step_factor,757627118.64,44.96,10603,1121433615.82,44.96,9440,13.19,8093.85,21.74,11.25,1.12,0.86,1.14,28.44,28.44,348840677966.1,13.19,44.96,15.29,5.74,0.0,8.09,0.53,70.64,1,0.29,29.36,28.38,32.0,27.98,27.56,27.56,2267.51,725604,2301.76,736563,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.85,48.2,60,93.75,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_step_factor,757627118.64,44.96,10603,1121433615.82,44.96,9440,13.19,8093.85,21.74,11.25,1.12,0.86,1.14,28.44,28.44,348840677966.1,13.19,44.96,15.29,5.74,0.0,8.09,0.53,70.64,1,0.29,29.36,28.38,32.0,27.98,27.56,27.56,2267.51,725604,2301.76,736563,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.85,48.2,60,93.75,111,0x7fd20205ee00,0x7fd2021da600,1554432,10,17,1536.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_step_factor,757627118.64,44.96,10603,1121433615.82,44.96,9440,13.19,8093.85,21.74,11.25,1.12,0.86,1.14,28.44,28.44,348840677966.1,13.19,44.96,15.29,5.74,0.0,8.09,0.53,70.64,1,0.29,29.36,28.38,32.0,27.98,27.56,27.56,2267.51,725604,2301.76,736563,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.85,48.2,60,93.75,111,0x7fd202200000,0x7fd202672800,4663296,33,24,4556.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,828963414.63,35.48,48314,1223450203.25,35.48,39360,31.68,37506.2,26.84,28.91,1.37,1.06,1.38,34.47,34.47,301164227642.28,31.68,35.48,72.67,6.15,28.24,6.3,0.61,64.72,1,0.35,35.28,28.53,31.35,18.03,17.87,17.87,12814.51,4100642,12926.57,4136501,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.69,38.57,30,46.88,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_flux,828963414.63,35.48,48314,1223450203.25,35.48,39360,31.68,37506.2,26.84,28.91,1.37,1.06,1.38,34.47,34.47,301164227642.28,31.68,35.48,72.67,6.15,28.24,6.3,0.61,64.72,1,0.35,35.28,28.53,31.35,18.03,17.87,17.87,12814.51,4100642,12926.57,4136501,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.69,38.57,30,46.88,111,0x7fd20205ee00,0x7fd2021da600,1554432,10,17,1536.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_flux,828963414.63,35.48,48314,1223450203.25,35.48,39360,31.68,37506.2,26.84,28.91,1.37,1.06,1.38,34.47,34.47,301164227642.28,31.68,35.48,72.67,6.15,28.24,6.3,0.61,64.72,1,0.35,35.28,28.53,31.35,18.03,17.87,17.87,12814.51,4100642,12926.57,4136501,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.69,38.57,30,46.88,111,0x7fd202200000,0x7fd202672800,4663296,33,24,4556.0,0.0,0.0
cfd,097K,h_areas,0,cuda_time_step,871428571.43,61.49,15987,1295224567.1,61.49,12320,19.96,11447.05,4.82,14.59,0.27,0.19,0.27,6.72,6.72,548709090909.09,19.96,61.49,31.45,4.52,0.0,8.55,0.12,93.22,1,0.07,6.78,30.8,32.0,127.86,126.08,126.08,759.0,242880,769.7,246303,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.87,52.92,60,93.75,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_time_step,871428571.43,61.49,15987,1295224567.1,61.49,12320,19.96,11447.05,4.82,14.59,0.27,0.19,0.27,6.72,6.72,548709090909.09,19.96,61.49,31.45,4.52,0.0,8.55,0.12,93.22,1,0.07,6.78,30.8,32.0,127.86,126.08,126.08,759.0,242880,769.7,246303,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.87,52.92,60,93.75,111,0x7fd20205ee00,0x7fd2021da600,1554432,10,17,1536.0,0.0,0.0
cfd,097K,h_normals,2,cuda_time_step,871428571.43,61.49,15987,1295224567.1,61.49,12320,19.96,11447.05,4.82,14.59,0.27,0.19,0.27,6.72,6.72,548709090909.09,19.96,61.49,31.45,4.52,0.0,8.55,0.12,93.22,1,0.07,6.78,30.8,32.0,127.86,126.08,126.08,759.0,242880,769.7,246303,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.87,52.92,60,93.75,111,0x7fd202200000,0x7fd202672800,4663296,33,24,4556.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,811386522.08,34.57,49535,1195145074.88,34.57,41312,30.93,39544.91,28.5,27.51,1.41,1.13,1.42,35.58,35.58,287260263361.74,30.93,34.57,72.62,6.47,28.02,6.11,0.61,64.15,1,0.36,35.85,22.07,23.23,17.18,17.05,17.05,13961.27,4467606,14071.88,4503001,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.13,37.7,30,46.88,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0
