kernel,InputData,advise0,advise1,advise2
Fan1,1008,"[[0.003130000000000001, 0.004335510204081631, 0.00431142857142857, 0.0044538775510204074, 0.004316326530612242, 0.004465102040816327, 0.004386530612244897], 0]","[[0.0042555102040816315, 0.004157959183673468, 0.0041875510204081616, 0.004173673469387753, 0.00430938775510204, 0.004152653061224489, 0.0041620408163265295], 1]","[[0.003211836734693876, 0.0044457142857142855, 0.004293265306122446, 0.004369999999999999, 0.004401836734693876, 0.004306734693877551, 0.0043693877551020405], 0]"
Fan1,1024,"[[0.0034259183673469385, 0.004676326530612245, 0.004650204081632651, 0.004764693877551019, 0.004732244897959183, 0.004723877551020409, 0.004671632653061225], 0]","[[0.004541428571428571, 0.004529999999999999, 0.0045130612244897944, 0.004521836734693877, 0.004412857142857142, 0.004586938775510204, 0.0045387755102040805], 1]","[[0.003355510204081632, 0.004713061224489797, 0.004709183673469388, 0.004820612244897959, 0.0046502040816326536, 0.0047230612244897946, 0.004673265306122448], 0]"
Fan1,112,"[[0.004461428571428571, 0.0052251020408163274, 0.0051938775510204085, 0.005113469387755102, 0.005383673469387757, 0.005162448979591836, 0.005243061224489797], 0]","[[0.00507734693877551, 0.00513265306122449, 0.005368775510204083, 0.005090612244897959, 0.00505061224489796, 0.005089591836734695, 0.004973469387755103], 0]","[[0.004426938775510205, 0.005311224489795921, 0.005317755102040817, 0.0053865306122448985, 0.005277755102040818, 0.005158979591836735, 0.004903877551020408], 0]"
Fan1,128,"[[0.0041822448979591835, 0.004977755102040815, 0.005145102040816326, 0.004962448979591838, 0.0050067346938775514, 0.005143877551020408, 0.004992448979591836], 0]","[[0.004679795918367347, 0.0049216326530612245, 0.004835102040816325, 0.004909183673469387, 0.005025714285714287, 0.004985714285714285, 0.005053469387755104], 0]","[[0.003971632653061225, 0.0050830612244897955, 0.005119999999999999, 0.00508530612244898, 0.00519795918367347, 0.0050265306122448975, 0.004926122448979593], 0]"
Fan1,144,"[[0.004031224489795918, 0.004891020408163265, 0.004880408163265308, 0.004827142857142855, 0.004933673469387756, 0.004897346938775509, 0.005006122448979591], 0]","[[0.004688367346938776, 0.0049442857142857136, 0.0048277551020408154, 0.004840408163265306, 0.004643877551020408, 0.004857959183673469, 0.004664285714285713], 0]","[[0.004034081632653061, 0.00491673469387755, 0.0050634693877551025, 0.004800612244897959, 0.0048710204081632655, 0.004808979591836735, 0.004972040816326531], 0]"
Fan1,16,"[[0.02106291836734694, 0.024455102040816325, 0.025458346938775512, 0.02504114285714287, 0.025287714285714285, 0.024398204081632655, 0.02485457142857143], 0]","[[0.02443775510204082, 0.02488742857142857, 0.024395999999999998, 0.023726632653061235, 0.023435795918367353, 0.02505063265306123, 0.024623755102040817], 0]","[[0.02141897959183673, 0.024289040816326532, 0.024525367346938776, 0.024974653061224497, 0.025375489795918367, 0.025873775510204092, 0.024100693877551017], 0]"
Fan1,160,"[[0.0037116326530612248, 0.004611836734693878, 0.004539387755102041, 0.004506122448979593, 0.00456591836734694, 0.004661632653061223, 0.004523673469387755], 0]","[[0.004629591836734693, 0.004536530612244898, 0.0043779591836734695, 0.004326326530612245, 0.004370816326530611, 0.004335714285714285, 0.00454326530612245], 0]","[[0.0038077551020408167, 0.004568367346938776, 0.004552857142857143, 0.00455, 0.004629183673469389, 0.004568367346938774, 0.004443673469387755], 0]"
Fan1,176,"[[0.0034310204081632657, 0.0042904081632653066, 0.004280612244897959, 0.004160204081632654, 0.004135918367346938, 0.004308367346938777, 0.004285510204081633], 0]","[[0.004203469387755102, 0.004150816326530614, 0.00406938775510204, 0.004076122448979591, 0.004172857142857144, 0.004021632653061224, 0.004197755102040816], 0]","[[0.0037142857142857142, 0.004192653061224489, 0.0041989795918367335, 0.004200408163265306, 0.0042051020408163265, 0.004206122448979591, 0.004174489795918367], 0]"
Fan1,192,"[[0.003651020408163265, 0.004296938775510206, 0.004394489795918367, 0.004392448979591837, 0.004260408163265305, 0.00435795918367347, 0.0044206122448979595], 0]","[[0.00425857142857143, 0.004294489795918367, 0.004268775510204083, 0.004138775510204082, 0.00430795918367347, 0.004281836734693877, 0.004223469387755103], 1]","[[0.003654897959183673, 0.00431265306122449, 0.004318367346938776, 0.004295102040816327, 0.004416530612244898, 0.004412857142857144, 0.0043634693877551015], 0]"
Fan1,208,"[[0.003443877551020408, 0.004243673469387755, 0.004101428571428572, 0.004160408163265306, 0.00402326530612245, 0.0040524489795918375, 0.00402122448979592], 0]","[[0.004055714285714285, 0.003984897959183675, 0.00400530612244898, 0.003914285714285714, 0.004010408163265307, 0.0040269387755102045, 0.004048775510204082], 0]","[[0.0035140816326530606, 0.004062857142857143, 0.00415734693877551, 0.004071428571428571, 0.0041659183673469396, 0.004122040816326531, 0.0039526530612244894], 0]"
