kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
Fan1,1008,0,1,0,10,1.84,1.925758,1007,0.0019100000000000002,0.00109,0.0048
Fan1,1024,0,1,0,10,1.96,2.164309,1023,0.0021100000000000003,0.00109,0.00512
Fan1,112,0,0,0,0,35.0,0.15673199999999998,111,0.00141,0.00128,0.0034200000000000003
Fan1,128,0,0,0,0,31.9,0.179918,127,0.0014199999999999998,0.00128,0.00358
Fan1,144,0,0,0,0,29.08,0.205238,143,0.00143,0.00128,0.00349
Fan1,16,0,0,0,0,37.68,0.021376,15,0.0014199999999999998,0.00128,0.0032600000000000003
Fan1,160,0,0,0,0,26.66,0.232501,159,0.00146,0.00125,0.00355
Fan1,176,0,0,0,0,24.18,0.255799,175,0.00146,0.00125,0.00355
Fan1,192,0,1,0,10,17.73,0.283542,191,0.00148,0.00125,0.00358
Fan1,208,0,0,0,0,20.16,0.307286,207,0.00148,0.00125,0.0036200000000000004
Fan1,224,0,0,0,0,18.63,0.337109,223,0.00151,0.00128,0.00365
Fan1,240,0,0,0,0,17.1,0.36335700000000004,239,0.0015199999999999999,0.00125,0.0037799999999999995
Fan1,256,0,0,0,0,15.79,0.392815,255,0.0015400000000000001,0.00125,0.0038399999999999997
Fan1,272,0,0,0,0,14.49,0.41791000000000006,271,0.0015400000000000001,0.00128,0.00387
Fan1,288,0,3,0,30,12.34,0.454842,287,0.00158,0.00125,0.00381
Fan1,304,0,0,0,0,12.45,0.474933,303,0.00157,0.00128,0.0037799999999999995
Fan1,32,0,0,0,0,41.13,0.042527999999999996,31,0.00137,0.00128,0.0033
Fan1,320,0,0,0,0,11.85,0.517625,319,0.00162,0.00125,0.0039
Fan1,336,0,1,0,10,10.12,0.5345270000000001,335,0.00159,0.00125,0.004
Fan1,352,0,0,0,0,10.46,0.586437,351,0.0016699999999999998,0.00128,0.00403
Fan1,368,0,0,0,0,9.44,0.59323,367,0.00162,0.00128,0.0039700000000000004
Fan1,384,0,0,0,0,9.23,0.6526810000000001,383,0.0017,0.00128,0.0041
