kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
Fan1,1008,0,1,0,10,1.84,1.925758,1007,0.00191,0.00109,0.0048
Fan1,1008,0,2,0,20,1.84,1.946712,1007,0.00193,0.00109,0.00477
Fan1,1008,0,3,0,30,1.83,1.956172,1007,0.00194,0.00109,0.0048
Fan1,1008,0,4,0,40,1.84,1.956688,1007,0.00194,0.00109,0.00493
Fan1,1008,0,5,0,50,1.84,1.949564,1007,0.00194,0.00109,0.0048
Fan1,1008,0,6,0,60,1.84,1.954593,1007,0.00194,0.00109,0.00483
Fan1,1008,0,0,0,0,1.83,1.991953,1007,0.00198,0.00115,0.0048
Fan1,1008,0,2,1,21,3.07,3.255523,1007,0.00323,0.00109,1.31595
Fan1,1008,0,2,3,23,3.1,3.256211,1007,0.00323,0.00109,1.33339
Fan1,1008,0,4,2,42,3.1,3.25582,1007,0.00323,0.00109,1.332971
Fan1,1008,0,1,1,11,3.08,3.263842,1007,0.00324,0.00109,1.324654
Fan1,1008,0,1,2,12,3.08,3.261887,1007,0.00324,0.00109,1.324974
Fan1,1008,0,3,6,36,3.07,3.258785,1007,0.00324,0.00109,1.317422
Fan1,1008,0,4,4,44,3.1,3.2593490000000003,1007,0.00324,0.00109,1.326796
Fan1,1008,0,4,6,46,3.07,3.266744,1007,0.00324,0.00109,1.317966
Fan1,1008,0,6,3,63,3.06,3.261452,1007,0.00324,0.00109,1.3123
Fan1,1008,0,0,2,2,3.11,3.2762290000000003,1007,0.00325,0.00112,1.343948
Fan1,1008,0,0,4,4,3.09,3.268255,1007,0.00325,0.00109,1.3301889999999998
Fan1,1008,0,0,5,5,3.08,3.275123,1007,0.00325,0.00109,1.329678
Fan1,1008,0,1,6,16,3.07,3.271302,1007,0.00325,0.00109,1.320206
Fan1,1008,0,2,2,22,3.07,3.2678990000000003,1007,0.00325,0.00109,1.317742
Fan1,1008,0,2,5,25,3.09,3.269499,1007,0.00325,0.00109,1.330733
Fan1,1008,0,5,5,55,3.1,3.276455,1007,0.00325,0.00109,1.342445
Fan1,1008,0,6,2,62,3.09,3.268349,1007,0.00325,0.00109,1.331661
Fan1,1008,0,1,4,14,3.08,3.280101,1007,0.0032600000000000003,0.00109,1.329999
Fan1,1008,0,1,5,15,3.06,3.286976,1007,0.0032600000000000003,0.00118,1.331052
Fan1,1008,0,6,1,61,3.11,3.286783,1007,0.0032600000000000003,0.00109,1.353838
Fan1,1008,0,6,6,66,3.09,3.283111,1007,0.0032600000000000003,0.00109,1.340268
Fan1,1008,2,0,0,200,3.13,3.2845660000000003,1007,0.0032600000000000003,0.00112,1.359597
Fan1,1008,0,2,4,24,3.08,3.2904400000000003,1007,0.0032700000000000003,0.00109,1.341325
Fan1,1008,0,4,1,41,3.09,3.291756,1007,0.0032700000000000003,0.00109,1.344715
Fan1,1008,4,0,0,400,3.12,3.298891,1007,0.0032700000000000003,0.00109,1.357231
Fan1,1008,0,0,3,3,3.06,3.306309,1007,0.00328,0.00115,1.333357
Fan1,1008,0,3,1,31,3.12,3.303945,1007,0.00328,0.00109,1.366189
Fan1,1008,0,3,2,32,3.06,3.307837,1007,0.00328,0.00115,1.3362690000000002
Fan1,1008,0,5,6,56,3.06,3.3045,1007,0.00328,0.00115,1.331053
Fan1,1008,0,6,5,65,3.06,3.301638,1007,0.00328,0.00115,1.33211
Fan1,1008,2,1,0,210,3.1,3.303627,1007,0.00328,0.00109,1.353199
Fan1,1008,0,5,1,51,3.1,3.3153650000000003,1007,0.00329,0.00109,1.362668
Fan1,1008,2,3,0,230,3.11,3.3133760000000003,1007,0.00329,0.00109,1.360301
Fan1,1008,3,0,0,300,3.15,3.317924,1007,0.00329,0.00109,1.385997
Fan1,1008,3,5,0,350,3.11,3.314947,1007,0.00329,0.00109,1.3677549999999998
Fan1,1008,5,2,0,520,3.12,3.317704,1007,0.00329,0.00109,1.369709
Fan1,1008,0,2,6,26,3.17,3.3275839999999994,1007,0.0033,0.00109,1.406218
Fan1,1008,0,4,3,43,3.13,3.322906,1007,0.0033,0.00109,1.381451
Fan1,1008,0,5,4,54,3.12,3.318483,1007,0.0033,0.00109,1.371502
Fan1,1008,1,5,0,150,3.15,3.327457,1007,0.0033,0.00109,1.397707
Fan1,1008,1,6,0,160,3.12,3.323546,1007,0.0033,0.00109,1.37582
Fan1,1008,3,3,0,330,3.14,3.3197650000000003,1007,0.0033,0.00109,1.3834030000000002
Fan1,1008,4,1,0,410,3.14,3.32778,1007,0.0033,0.00109,1.387017
Fan1,1008,4,3,0,430,3.13,3.3215190000000003,1007,0.0033,0.00109,1.377518
Fan1,1008,4,5,0,450,3.12,3.324868,1007,0.0033,0.00109,1.378863
Fan1,1008,6,1,0,610,3.12,3.3227910000000005,1007,0.0033,0.00109,1.375631
Fan1,1008,0,0,6,6,3.03,3.331083,1007,0.00331,0.00125,1.3287129999999998
Fan1,1008,1,1,0,110,3.13,3.333794,1007,0.00331,0.00109,1.385645
Fan1,1008,2,2,0,220,3.16,3.329799,1007,0.00331,0.00109,1.394636
Fan1,1008,3,2,0,320,3.12,3.337364,1007,0.00331,0.00109,1.379985
Fan1,1008,5,4,0,540,3.14,3.335107,1007,0.00331,0.00109,1.390859
Fan1,1008,5,6,0,560,3.14,3.331259,1007,0.00331,0.00109,1.387854
Fan1,1008,6,5,0,650,3.15,3.335511,1007,0.00331,0.00112,1.399241
Fan1,1008,0,6,4,64,3.15,3.347573,1007,0.0033200000000000005,0.00109,1.404623
Fan1,1008,6,2,0,620,3.09,3.341571,1007,0.0033200000000000005,0.00121,1.369997
Fan1,1008,0,5,2,52,3.18,3.3538940000000004,1007,0.00333,0.00112,1.4219
Fan1,1008,1,0,0,100,3.08,3.3587519999999995,1007,0.00333,0.00125,1.3742530000000002
Fan1,1008,1,4,0,140,3.1,3.34966,1007,0.00333,0.00115,1.3772
