Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
hotspot,1024,FilesavingTemp,0,calculate_temp,862732520.85,33.13,63602,1267038165.49,36.66,49888,22.7,60788.9,73.86,38.12,3.07,2.95,3.07,76.8,76.8,292646568313.02,36.66,33.13,76.71,34.64,0.42,11.09,2.88,23.3,1,0.77,76.7,27.15,28.7,14.48,14.46,14.46,46625.9,14920288,46686.16,14939572,256,7396,40,32768,0,3072,1893376,15.41,32,6,32,8,44.19,69.05,48,75,11,0x7fe8b2000000,0x7fe8b2400000,4194304,13,207,4152.0,0.0,0.0
hotspot,1024,FilesavingPower,1,calculate_temp,862732520.85,33.13,63602,1267038165.49,36.66,49888,22.7,60788.9,73.86,38.12,3.07,2.95,3.07,76.8,76.8,292646568313.02,36.66,33.13,76.71,34.64,0.42,11.09,2.88,23.3,1,0.77,76.7,27.15,28.7,14.48,14.46,14.46,46625.9,14920288,46686.16,14939572,256,7396,40,32768,0,3072,1893376,15.41,32,6,32,8,44.19,69.05,48,75,11,0x7fe8b2400000,0x7fe8b2800000,4194304,13,36,4288.000512,16.0,0.0
hotspot,128,FilesavingTemp,0,calculate_temp,629834254.14,15.16,5411,933270027.62,15.16,5792,4.01,3628.32,14.39,9.78,0.83,0.56,0.86,21.44,21.44,97806629834.25,6.57,15.16,81.23,6.5,0.0,2.96,0.35,78.04,1,0.22,21.96,26.95,28.51,13.88,13.5,13.5,756.69,242140,777.86,248916,256,121,40,32768,0,3072,30976,0.25,32,6,32,8,11.94,18.65,48,75,11,0x7f79d6000000,0x7f79d6010000,65536,2,2,68.0,0.0,0.0
hotspot,128,FilesavingPower,1,calculate_temp,629834254.14,15.16,5411,933270027.62,15.16,5792,4.01,3628.32,14.39,9.78,0.83,0.56,0.86,21.44,21.44,97806629834.25,6.57,15.16,81.23,6.5,0.0,2.96,0.35,78.04,1,0.22,21.96,26.95,28.51,13.88,13.5,13.5,756.69,242140,777.86,248916,256,121,40,32768,0,3072,30976,0.25,32,6,32,8,11.94,18.65,48,75,11,0x7f79d6010000,0x7f79d6020000,65536,2,7,84.0,8.0,0.0
hotspot,2048,FilesavingTemp,0,calculate_temp,872269579.12,33.47,234368,1298011750.43,39.36,180192,24.68,231857.64,78.97,39.7,3.19,3.16,3.19,79.66,79.66,298942816551.23,39.36,33.47,76.83,37.14,0.58,11.16,3.0,20.32,1,0.8,79.68,27.2,28.74,14.0,14.0,14.0,184644.69,59086300,184704.43,59105417,256,29241,40,32768,0,3072,7485696,60.92,32,6,32,8,44.87,70.12,48,75,11,0x7f8376000000,0x7f8377000000,16777216,49,640,16387.999744,0.0,0.0
hotspot,2048,FilesavingPower,1,calculate_temp,872269579.12,33.47,234368,1298011750.43,39.36,180192,24.68,231857.64,78.97,39.7,3.19,3.16,3.19,79.66,79.66,298942816551.23,39.36,33.47,76.83,37.14,0.58,11.16,3.0,20.32,1,0.8,79.68,27.2,28.74,14.0,14.0,14.0,184644.69,59086300,184704.43,59105417,256,29241,40,32768,0,3072,7485696,60.92,32,6,32,8,44.87,70.12,48,75,11,0x7f8377000000,0x7f8378000000,16777216,48,0,16383.999744,0.0,0.0
hotspot,256,FilesavingTemp,0,calculate_temp,725760456.27,26.05,9006,1067926172.37,26.05,8416,9.85,6734.01,34.36,21.54,1.8,1.35,1.83,45.86,45.86,193612167300.38,16.14,26.05,77.68,15.71,0.0,9.88,1.66,54.15,1,0.46,45.85,26.99,28.54,21.97,21.55,21.55,3030.7,969824,3088.54,988334,256,484,40,32768,0,3072,123904,1.01,32,6,32,8,38.51,60.17,48,75,11,0x7f513e000000,0x7f513e040000,262144,4,47,268.0,0.0,0.0
hotspot,256,FilesavingPower,1,calculate_temp,725760456.27,26.05,9006,1067926172.37,26.05,8416,9.85,6734.01,34.36,21.54,1.8,1.35,1.83,45.86,45.86,193612167300.38,16.14,26.05,77.68,15.71,0.0,9.88,1.66,54.15,1,0.46,45.85,26.99,28.54,21.97,21.55,21.55,3030.7,969824,3088.54,988334,256,484,40,32768,0,3072,123904,1.01,32,6,32,8,38.51,60.17,48,75,11,0x7f513e040000,0x7f513e080000,262144,2,0,428.0,12.0,0.0
hotspot,4096,FilesavingTemp,0,calculate_temp,875417758.11,33.19,926806,1307632506.47,39.76,708544,25.03,923592.44,79.73,39.88,3.2,3.19,3.2,79.98,79.98,297514181194.11,39.76,33.19,77.01,37.51,0.39,11.24,2.98,19.92,1,0.8,80.08,27.2,28.75,14.04,14.03,14.03,738638.7,236364384,738706.76,236386164,256,116964,40,32768,0,3072,29942784,243.67,32,6,32,8,45.08,70.43,48,75,11,0x7fa626000000,0x7fa62a000000,67108864,192,1,65536.00537599999,0.0,0.0
hotspot,4096,FilesavingPower,1,calculate_temp,875417758.11,33.19,926806,1307632506.47,39.76,708544,25.03,923592.44,79.73,39.88,3.2,3.19,3.2,79.98,79.98,297514181194.11,39.76,33.19,77.01,37.51,0.39,11.24,2.98,19.92,1,0.8,80.08,27.2,28.75,14.04,14.03,14.03,738638.7,236364384,738706.76,236386164,256,116964,40,32768,0,3072,29942784,243.67,32,6,32,8,45.08,70.43,48,75,11,0x7fa622000000,0x7fa626000000,67108864,193,1466,65616.00511999999,0.0,0.0
hotspot,512,FilesavingTemp,0,calculate_temp,805133079.85,28.87,19814,1170300617.87,29.24,16832,17.96,17918.47,59.42,32.14,2.6,2.37,2.61,65.33,65.33,237984790874.52,29.24,28.87,76.65,27.76,0.12,10.33,2.52,33.97,1,0.66,66.03,27.14,28.69,15.72,15.64,15.64,11652.69,3728860,11705.4,3745727,256,1849,40,32768,0,3072,473344,3.85,32,6,32,8,41.81,65.32,48,75,11,0x7f6ba6000000,0x7f6ba6100000,1048576,6,86,1076.0,0.0,0.0
hotspot,512,FilesavingPower,1,calculate_temp,805133079.85,28.87,19814,1170300617.87,29.24,16832,17.96,17918.47,59.42,32.14,2.6,2.37,2.61,65.33,65.33,237984790874.52,29.24,28.87,76.65,27.76,0.12,10.33,2.52,33.97,1,0.66,66.03,27.14,28.69,15.72,15.64,15.64,11652.69,3728860,11705.4,3745727,256,1849,40,32768,0,3072,473344,3.85,32,6,32,8,41.81,65.32,48,75,11,0x7f6ba6100000,0x7f6ba6200000,1048576,2,51,1200.0,24.0,0.0
hotspot,64,FilesavingTemp,0,calculate_temp,578313253.01,4.52,4582,862136044.18,4.52,5312,1.23,1315.51,4.94,7.54,0.67,0.19,0.69,17.19,17.19,26765060240.96,2.16,4.52,96.64,2.17,0.0,1.96,0.22,82.72,1,0.17,17.28,26.45,28.03,11.67,11.35,11.35,219.9,70368,226.2,72384,256,36,40,32768,0,3072,9216,0.07,32,6,32,8,7.9,12.34,48,75,11,0x7fa782000000,0x7fa782004000,16384,1,138,80.0,64.0,0.0
hotspot,64,FilesavingPower,1,calculate_temp,578313253.01,4.52,4582,862136044.18,4.52,5312,1.23,1315.51,4.94,7.54,0.67,0.19,0.69,17.19,17.19,26765060240.96,2.16,4.52,96.64,2.17,0.0,1.96,0.22,82.72,1,0.17,17.28,26.45,28.03,11.67,11.35,11.35,219.9,70368,226.2,72384,256,36,40,32768,0,3072,9216,0.07,32,6,32,8,7.9,12.34,48,75,11,0x7fa782004000,0x7fa782008000,16384,3,1207,116.0,12.0,0.0
hotspot,8192,FilesavingTemp,0,calculate_temp,876707363.38,33.72,3646132,1310936535.08,40.37,2780896,25.54,3644439.01,80.85,40.38,3.23,3.23,3.23,80.87,80.87,302697421262.79,40.37,33.72,77.03,38.05,0.23,11.21,3.04,19.14,1,0.81,80.86,27.21,28.76,13.86,13.86,13.86,2947140.69,943085020,2947282.32,943130341,256,466489,40,32768,0,3072,119421184,971.85,32,6,32,8,45.09,70.46,48,75,11,0x7f0f4a000000,0x7f0f5a000000,268435456,768,91,262144.0,0.0,0.0
hotspot,8192,FilesavingPower,1,calculate_temp,876707363.38,33.72,3646132,1310936535.08,40.37,2780896,25.54,3644439.01,80.85,40.38,3.23,3.23,3.23,80.87,80.87,302697421262.79,40.37,33.72,77.03,38.05,0.23,11.21,3.04,19.14,1,0.81,80.86,27.21,28.76,13.86,13.86,13.86,2947140.69,943085020,2947282.32,943130341,256,466489,40,32768,0,3072,119421184,971.85,32,6,32,8,45.09,70.46,48,75,11,0x7f0f34000000,0x7f0f44000000,268435456,768,6730,262144.0,0.0,0.0
