kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,4,4,0,440,67.95,191.1406,6000,0.031856,0.030239999999999996,0.044736
cuda_compute_flux,193K,3,1,2,312,64.46,306.3261,6000,0.051054,0.048735,3.255652
cuda_compute_flux,missile0.2M,6,0,0,600,66.4,399.2732,6000,0.066545,0.057567999999999994,0.07081599999999999
cuda_compute_step_factor,097K,4,4,6,446,4.2,11.7663,2000,0.00588,0.00573,0.012928
cuda_compute_step_factor,193K,4,6,3,463,3.5,21.40094,2000,0.0107,0.010208,0.020671000000000002
cuda_compute_step_factor,missile0.2M,0,2,6,26,4.67,28.3722,2000,0.014186,0.012959,0.015744
cuda_initialize_variables,097K,0,3,1,31,0.01,0.015455000000000002,3,0.00515,0.00474,0.0054399999999999995
cuda_initialize_variables,193K,6,6,4,664,0.01,0.026784,3,0.00893,0.00678,0.012736
cuda_initialize_variables,missile0.2M,0,2,1,21,0.01,0.034814,3,0.011604000000000001,0.00851,0.013535
cuda_time_step,097K,5,5,5,555,6.67,46.85552,6000,0.007809999999999999,0.006940000000000001,0.00925
cuda_time_step,193K,1,5,5,155,8.76,117.527,6000,0.019587,0.018208000000000002,0.02192
cuda_time_step,missile0.2M,6,6,3,663,17.77,132.3178,6000,0.022052000000000002,0.021055,0.024256
