kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,0,0,0,0,68.93,206.4477,6000,0.034407,0.031936,0.039584
cuda_compute_flux,097K,0,0,1,1,69.03,195.6157,6000,0.032602,0.030719,1.781681
cuda_compute_flux,097K,0,0,2,2,68.14,193.6688,6000,0.032278,0.030272,1.827728
cuda_compute_flux,097K,0,0,3,3,76.04,280.7634,6000,0.046793,0.044992,0.477756
cuda_compute_flux,097K,0,0,4,4,69.08,196.1377,6000,0.032689,0.030976,1.242901
cuda_compute_flux,097K,0,0,5,5,84.18,479.1319,6000,0.079855,0.077823,1.659314
cuda_compute_flux,097K,0,0,6,6,69.16,196.392,6000,0.032732,0.030752,1.750193
cuda_compute_flux,097K,0,1,0,10,67.86,194.5158,6000,0.032419,0.030496,0.831321
cuda_compute_flux,097K,0,1,1,11,68.41,194.7801,6000,0.032463,0.030208,1.918576
cuda_compute_flux,097K,0,1,2,12,67.94,194.6476,6000,0.032441,0.030304,1.872944
cuda_compute_flux,097K,0,1,3,13,77.57,305.9544,6000,0.050992,0.048959,0.804665
cuda_compute_flux,097K,0,1,4,14,68.37,195.3348,6000,0.032555,0.030496,1.302133
cuda_compute_flux,097K,0,1,5,15,84.41,480.6748,6000,0.080112,0.078047,1.926992
cuda_compute_flux,097K,0,1,6,16,68.39,195.045,6000,0.032507,0.030528,1.973359
cuda_compute_flux,097K,0,2,0,20,67.86,194.786,6000,0.032464,0.030623,0.878297
cuda_compute_flux,097K,0,2,1,21,68.8,192.6389,6000,0.032106,0.030112,1.920687
cuda_compute_flux,097K,0,2,2,22,68.11,193.5288,6000,0.032254,0.030143,1.998927
cuda_compute_flux,097K,0,2,3,23,77.56,304.7278,6000,0.050787,0.048479,0.832313
cuda_compute_flux,097K,0,2,4,24,69.01,195.0802,6000,0.032513,0.030528,1.154198
cuda_compute_flux,097K,0,2,5,25,84.32,479.5308,6000,0.079921,0.077856,1.685394
cuda_compute_flux,097K,0,2,6,26,68.82,192.6333,6000,0.032105,0.030112,2.266125
cuda_compute_flux,097K,0,3,0,30,67.97,195.4847,6000,0.03258,0.030848,0.255038
cuda_compute_flux,097K,0,3,1,31,69.41,202.6092,6000,0.033768,0.03168,1.755025
cuda_compute_flux,097K,0,3,2,32,69.46,204.2455,6000,0.03404,0.032223,1.505619
cuda_compute_flux,097K,0,3,3,33,79.93,350.2936,6000,0.058382,0.056287,0.458524
cuda_compute_flux,097K,0,3,4,34,69.47,202.4858,6000,0.033747,0.031936,1.225526
cuda_compute_flux,097K,0,3,5,35,86.69,565.8173,6000,0.094302,0.092543,1.57493
cuda_compute_flux,097K,0,3,6,36,69.43,201.815,6000,0.033635,0.031488,1.814481
cuda_compute_flux,097K,0,4,0,40,68.45,192.5174,6000,0.032086,0.030368,0.292733
cuda_compute_flux,097K,0,4,1,41,68.01,194.2763,6000,0.032379,0.030112,1.36146
cuda_compute_flux,097K,0,4,2,42,68.73,192.1633,6000,0.032027,0.030016,1.792785
cuda_compute_flux,097K,0,4,3,43,77.7,308.2741,6000,0.051379,0.049215,0.659386
cuda_compute_flux,097K,0,4,4,44,68.24,195.3259,6000,0.032554,0.030496,1.584306
cuda_compute_flux,097K,0,4,5,45,84.84,480.873,6000,0.080145,0.078015,1.140438
cuda_compute_flux,097K,0,4,6,46,68.01,192.8827,6000,0.032147,0.029823,1.931728
cuda_compute_flux,097K,0,5,0,50,72.38,238.7592,6000,0.039793,0.037792,0.95644
cuda_compute_flux,097K,0,5,1,51,71.79,237.9472,6000,0.039657,0.037599,1.766321
cuda_compute_flux,097K,0,5,2,52,72.63,238.7337,6000,0.039788,0.037856,1.989807
cuda_compute_flux,097K,0,5,3,53,82.15,424.0404,6000,0.070673,0.066815,0.879192
cuda_compute_flux,097K,0,5,4,54,72.02,239.4281,6000,0.039904,0.037664,1.982448
cuda_compute_flux,097K,0,5,5,55,88.52,615.0301,6000,0.102505,0.100735,1.588339
cuda_compute_flux,097K,0,5,6,56,72.16,240.7674,6000,0.040127,0.037792,2.898376
cuda_compute_flux,097K,0,6,0,60,68.46,193.1717,6000,0.032195,0.030304,0.93804
cuda_compute_flux,097K,0,6,1,61,68.44,195.5306,6000,0.032588,0.030623,1.976816
cuda_compute_flux,097K,0,6,2,62,68.99,195.599,6000,0.032599,0.03056,2.177805
cuda_compute_flux,097K,0,6,3,63,77.75,309.319,6000,0.051553,0.049599,0.943065
cuda_compute_flux,097K,0,6,4,64,68.43,196.5409,6000,0.032756,0.03088,1.302005
cuda_compute_flux,097K,0,6,5,65,84.8,479.3413,6000,0.07989,0.077856,1.947503
cuda_compute_flux,097K,0,6,6,66,68.26,197.5705,6000,0.032928,0.030559,2.290733
cuda_compute_flux,097K,1,0,0,100,68.43,194.9978,6000,0.032499,0.030592,0.037183
cuda_compute_flux,097K,1,0,1,101,68.08,194.0502,6000,0.032341,0.030432,1.329077
cuda_compute_flux,097K,1,0,2,102,68.5,192.2176,6000,0.032036,0.030112,1.325556
cuda_compute_flux,097K,1,0,3,103,75.14,267.0592,6000,0.044509,0.042624,0.396476
cuda_compute_flux,097K,1,0,4,104,68.1,194.0945,6000,0.032349,0.030335,1.148951
cuda_compute_flux,097K,1,0,5,105,84.19,478.7737,6000,0.079795,0.077791,1.349396
cuda_compute_flux,097K,1,0,6,106,68.17,194.3,6000,0.032383,0.030272,1.561875
cuda_compute_flux,097K,1,1,0,110,68.17,192.0629,6000,0.03201,0.030336,0.302973
cuda_compute_flux,097K,1,1,1,111,68.67,192.9994,6000,0.032166,0.030272,1.455956
cuda_compute_flux,097K,1,1,2,112,68.57,193.9474,6000,0.032324,0.030272,1.683346
cuda_compute_flux,097K,1,1,3,113,77.68,307.2592,6000,0.051209,0.049216,0.456892
cuda_compute_flux,097K,1,1,4,114,68.68,195.0237,6000,0.032503,0.030656,1.208502
cuda_compute_flux,097K,1,1,5,115,84.81,483.3436,6000,0.080557,0.078367,1.389844
cuda_compute_flux,097K,1,1,6,116,68.61,194.126,6000,0.032354,0.030336,1.826161
cuda_compute_flux,097K,1,2,0,120,67.89,192.1578,6000,0.032026,0.030272,0.577851
cuda_compute_flux,097K,1,2,1,121,68.52,193.9344,6000,0.032322,0.030464,1.710962
cuda_compute_flux,097K,1,2,2,122,68.65,193.418,6000,0.032236,0.03024,1.627602
cuda_compute_flux,097K,1,2,3,123,78.42,321.2463,6000,0.053541,0.051232,0.664794
cuda_compute_flux,097K,1,2,4,124,68.64,193.6702,6000,0.032278,0.030335,1.150582
cuda_compute_flux,097K,1,2,5,125,84.63,482.2256,6000,0.08037,0.077599,1.787185
cuda_compute_flux,097K,1,2,6,126,68.7,193.9626,6000,0.032327,0.0304,2.053583
cuda_compute_flux,097K,1,3,0,130,67.86,196.0332,6000,0.032672,0.03104,0.035679
cuda_compute_flux,097K,1,3,1,131,68.41,200.9358,6000,0.033489,0.031391,1.323317
cuda_compute_flux,097K,1,3,2,132,68.62,201.2572,6000,0.033542,0.031488,1.326869
cuda_compute_flux,097K,1,3,3,133,80.73,372.3836,6000,0.062063,0.059391,0.360477
cuda_compute_flux,097K,1,3,4,134,68.86,202.9072,6000,0.033817,0.031871,1.281173
cuda_compute_flux,097K,1,3,5,135,86.54,560.4494,6000,0.093408,0.091167,1.325013
cuda_compute_flux,097K,1,3,6,136,68.81,202.7441,6000,0.03379,0.031807,1.425972
cuda_compute_flux,097K,1,4,0,140,67.88,192.0036,6000,0.032,0.030463,0.407421
cuda_compute_flux,097K,1,4,1,141,68.57,193.1889,6000,0.032198,0.030272,1.26367
cuda_compute_flux,097K,1,4,2,142,68.59,192.4369,6000,0.032072,0.03008,1.349621
cuda_compute_flux,097K,1,4,3,143,78.3,318.422,6000,0.05307,0.051103,0.67609
cuda_compute_flux,097K,1,4,4,144,68.6,193.4341,6000,0.032239,0.030272,1.521299
cuda_compute_flux,097K,1,4,5,145,84.62,482.6905,6000,0.080448,0.078176,1.752401
cuda_compute_flux,097K,1,4,6,146,68.77,193.8885,6000,0.032314,0.030208,1.925648
cuda_compute_flux,097K,1,5,0,150,72.22,239.4061,6000,0.039901,0.038048,0.733498
cuda_compute_flux,097K,1,5,1,151,72.02,238.9659,6000,0.039827,0.037408,1.727217
cuda_compute_flux,097K,1,5,2,152,72.4,239.5113,6000,0.039918,0.038047,1.759569
cuda_compute_flux,097K,1,5,3,153,81.64,414.0513,6000,0.069008,0.066528,1.087639
cuda_compute_flux,097K,1,5,4,154,72.11,237.8568,6000,0.039642,0.037344,1.817969
cuda_compute_flux,097K,1,5,5,155,88.23,615.691,6000,0.102615,0.100831,1.72005
cuda_compute_flux,097K,1,5,6,156,72.13,239.6232,6000,0.039937,0.037663,1.941328
cuda_compute_flux,097K,1,6,0,160,68.58,196.0245,6000,0.03267,0.030911,0.645147
cuda_compute_flux,097K,1,6,1,161,68.63,194.0697,6000,0.032344,0.030336,1.849617
cuda_compute_flux,097K,1,6,2,162,68.63,192.522,6000,0.032086,0.03008,1.796945
cuda_compute_flux,097K,1,6,3,163,78.1,314.8842,6000,0.05248,0.050335,0.796185
cuda_compute_flux,097K,1,6,4,164,68.54,193.3629,6000,0.032227,0.030304,1.299605
cuda_compute_flux,097K,1,6,5,165,84.72,480.2682,6000,0.080044,0.077919,1.502035
cuda_compute_flux,097K,1,6,6,166,68.52,192.4798,6000,0.032079,0.029759,1.938384
cuda_compute_flux,097K,2,0,0,200,68.38,193.8476,6000,0.032307,0.030656,0.035808
cuda_compute_flux,097K,2,0,1,201,67.44,192.5202,6000,0.032086,0.030176,1.402165
cuda_compute_flux,097K,2,0,2,202,68.5,192.1363,6000,0.032022,0.030304,1.342613
cuda_compute_flux,097K,2,0,3,203,75.97,279.2018,6000,0.046533,0.044447,0.352446
cuda_compute_flux,097K,2,0,4,204,68.49,191.9139,6000,0.031985,0.029887,1.272566
cuda_compute_flux,097K,2,0,5,205,84.36,479.3486,6000,0.079891,0.077824,1.315253
cuda_compute_flux,097K,2,0,6,206,68.52,192.4265,6000,0.032071,0.030175,1.514803
cuda_compute_flux,097K,2,1,0,210,68.14,192.5034,6000,0.032083,0.030431,0.635739
cuda_compute_flux,097K,2,1,1,211,68.59,194.1902,6000,0.032365,0.030464,1.948464
cuda_compute_flux,097K,2,1,2,212,68.49,194.2023,6000,0.032367,0.030463,1.9252
cuda_compute_flux,097K,2,1,3,213,77.47,303.461,6000,0.050576,0.048447,0.754266
cuda_compute_flux,097K,2,1,4,214,68.56,194.2202,6000,0.03237,0.030528,1.23311
cuda_compute_flux,097K,2,1,5,215,84.59,482.5473,6000,0.080424,0.078336,1.794033
cuda_compute_flux,097K,2,1,6,216,68.49,194.3625,6000,0.032393,0.030335,2.01848
cuda_compute_flux,097K,2,2,0,220,68.19,192.245,6000,0.03204,0.030463,0.641019
cuda_compute_flux,097K,2,2,1,221,68.72,193.483,6000,0.032247,0.030207,1.772593
cuda_compute_flux,097K,2,2,2,222,68.43,193.9409,6000,0.032323,0.030399,1.760882
cuda_compute_flux,097K,2,2,3,223,77.87,310.7726,6000,0.051795,0.0496,0.765401
cuda_compute_flux,097K,2,2,4,224,68.63,194.2563,6000,0.032376,0.030304,1.225846
cuda_compute_flux,097K,2,2,5,225,84.81,481.8418,6000,0.080306,0.078144,1.709073
cuda_compute_flux,097K,2,2,6,226,68.59,194.2117,6000,0.032368,0.030495,1.821008
cuda_compute_flux,097K,2,3,0,230,68.78,199.8551,6000,0.033309,0.03136,0.197438
cuda_compute_flux,097K,2,3,1,231,68.81,202.4795,6000,0.033746,0.031744,1.413396
cuda_compute_flux,097K,2,3,2,232,69.43,200.0243,6000,0.033337,0.031328,1.626738
cuda_compute_flux,097K,2,3,3,233,80.35,360.9325,6000,0.060155,0.058143,0.43542
cuda_compute_flux,097K,2,3,4,234,69.31,199.0544,6000,0.033175,0.030944,1.20191
cuda_compute_flux,097K,2,3,5,235,86.22,563.6816,6000,0.093946,0.091743,1.311349
cuda_compute_flux,097K,2,3,6,236,69.44,200.1387,6000,0.033356,0.031488,1.529971
cuda_compute_flux,097K,2,4,0,240,68.14,191.9582,6000,0.031993,0.030336,0.373949
cuda_compute_flux,097K,2,4,1,241,68.28,192.7985,6000,0.032133,0.029983,1.290229
cuda_compute_flux,097K,2,4,2,242,67.62,192.2485,6000,0.032041,0.030208,1.296469
cuda_compute_flux,097K,2,4,3,243,78.45,321.3846,6000,0.053564,0.051456,0.603291
cuda_compute_flux,097K,2,4,4,244,68.52,193.6904,6000,0.032281,0.030496,1.430228
cuda_compute_flux,097K,2,4,5,245,84.6,482.1296,6000,0.080354,0.078175,1.114486
cuda_compute_flux,097K,2,4,6,246,68.53,194.6016,6000,0.032433,0.030592,1.91352
cuda_compute_flux,097K,2,5,0,250,72.09,236.5753,6000,0.039429,0.037472,0.776473
cuda_compute_flux,097K,2,5,1,251,72.31,237.6286,6000,0.039604,0.037567,1.980655
cuda_compute_flux,097K,2,5,2,252,72.24,236.8797,6000,0.039479,0.037568,1.949712
cuda_compute_flux,097K,2,5,3,253,82.33,427.5889,6000,0.071264,0.068896,0.794585
cuda_compute_flux,097K,2,5,4,254,72.34,238.7636,6000,0.039793,0.03776,1.799665
cuda_compute_flux,097K,2,5,5,255,88.5,615.9264,6000,0.102654,0.100639,1.67269
cuda_compute_flux,097K,2,5,6,256,72.28,238.3826,6000,0.03973,0.037536,2.236365
cuda_compute_flux,097K,2,6,0,260,67.85,192.8801,6000,0.032146,0.03024,0.749977
cuda_compute_flux,097K,2,6,1,261,68.39,193.7462,6000,0.032291,0.030048,1.889456
cuda_compute_flux,097K,2,6,2,262,68.58,192.8874,6000,0.032147,0.030048,2.015919
cuda_compute_flux,097K,2,6,3,263,77.77,310.0806,6000,0.05168,0.0496,0.914168
cuda_compute_flux,097K,2,6,4,264,68.9,195.7047,6000,0.032617,0.03056,1.161206
cuda_compute_flux,097K,2,6,5,265,84.81,482.7205,6000,0.080453,0.078015,1.785041
cuda_compute_flux,097K,2,6,6,266,68.57,193.0153,6000,0.032169,0.030112,2.160014
cuda_compute_flux,097K,3,0,0,300,66.31,193.5727,6000,0.032262,0.030304,0.035391
cuda_compute_flux,097K,3,0,1,301,66.54,195.4439,6000,0.032573,0.030656,1.497716
cuda_compute_flux,097K,3,0,2,302,66.65,193.8961,6000,0.032316,0.030272,1.43058
cuda_compute_flux,097K,3,0,3,303,76.44,288.6046,6000,0.0481,0.046207,0.354525
