Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,097K,h_areas,0,cuda_compute_step_factor,738805970.15,40.07,11734,1091433457.71,40.07,10720,11.91,8114.86,18.7,11.22,1.06,0.74,1.08,26.96,26.96,303122388059.7,11.91,40.07,14.39,5.19,0.0,7.94,0.5,72.22,1,0.28,27.78,28.19,32.0,29.05,28.6,28.6,2153.66,689172,2187.58,700026,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.84,48.18,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_step_factor,738805970.15,40.07,11734,1091433457.71,40.07,10720,11.91,8114.86,18.7,11.22,1.06,0.74,1.08,26.96,26.96,303122388059.7,11.91,40.07,14.39,5.19,0.0,7.94,0.5,72.22,1,0.28,27.78,28.19,32.0,29.05,28.6,28.6,2153.66,689172,2187.58,700026,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.84,48.18,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_step_factor,738805970.15,40.07,11734,1091433457.71,40.07,10720,11.91,8114.86,18.7,11.22,1.06,0.74,1.08,26.96,26.96,303122388059.7,11.91,40.07,14.39,5.19,0.0,7.94,0.5,72.22,1,0.28,27.78,28.19,32.0,29.05,28.6,28.6,2153.66,689172,2187.58,700026,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.84,48.18,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,851632653.06,34.51,49400,1254689625.85,34.51,39200,30.89,37367.66,26.01,29.04,1.36,1.03,1.37,34.23,34.23,300965714285.71,30.89,34.51,71.9,6.02,28.67,6.16,0.58,65.52,1,0.34,34.48,28.48,31.33,18.02,17.86,17.86,12676.78,4056569,12789.1,4092511,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.78,38.71,30,46.88,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_flux,851632653.06,34.51,49400,1254689625.85,34.51,39200,30.89,37367.66,26.01,29.04,1.36,1.03,1.37,34.23,34.23,300965714285.71,30.89,34.51,71.9,6.02,28.67,6.16,0.58,65.52,1,0.34,34.48,28.48,31.33,18.02,17.86,17.86,12676.78,4056569,12789.1,4092511,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.78,38.71,30,46.88,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_flux,851632653.06,34.51,49400,1254689625.85,34.51,39200,30.89,37367.66,26.01,29.04,1.36,1.03,1.37,34.23,34.23,300965714285.71,30.89,34.51,71.9,6.02,28.67,6.16,0.58,65.52,1,0.34,34.48,28.48,31.33,18.02,17.86,17.86,12676.78,4056569,12789.1,4092511,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.78,38.71,30,46.88,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_time_step,836633663.37,61.4,16092,1241478444.72,61.4,12928,19.81,11468.31,4.74,14.56,0.26,0.19,0.27,6.63,6.63,526054455445.54,19.81,61.4,31.29,4.49,0.0,8.41,0.11,93.74,1,0.06,6.26,30.78,32.0,136.19,134.25,134.25,749.51,239844,760.32,243302,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.11,53.3,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_time_step,836633663.37,61.4,16092,1241478444.72,61.4,12928,19.81,11468.31,4.74,14.56,0.26,0.19,0.27,6.63,6.63,526054455445.54,19.81,61.4,31.29,4.49,0.0,8.41,0.11,93.74,1,0.06,6.26,30.78,32.0,136.19,134.25,134.25,749.51,239844,760.32,243302,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.11,53.3,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_time_step,836633663.37,61.4,16092,1241478444.72,61.4,12928,19.81,11468.31,4.74,14.56,0.26,0.19,0.27,6.63,6.63,526054455445.54,19.81,61.4,31.29,4.49,0.0,8.41,0.11,93.74,1,0.06,6.26,30.78,32.0,136.19,134.25,134.25,749.51,239844,760.32,243302,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.11,53.3,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,844814534.44,32.33,52897,1244795609.39,32.33,42272,28.91,38937.8,26.49,27.98,1.42,1.05,1.43,35.79,35.79,279647993943.98,28.91,32.33,72.51,6.07,28.24,6.33,0.63,62.67,1,0.37,37.33,22.14,23.31,17.09,16.96,16.96,13825.49,4424157,13935.81,4459460,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.03,37.54,30,46.88,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
