kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
Fan1,1008,0,5,0,50,4.15,4.102615,1007,0.004070000000000001,0.00346,0.0049299999999999995
Fan1,1024,0,2,0,20,4.19,4.338257,1023,0.00424,0.00346,0.00502
Fan1,112,0,3,0,30,38.65,0.398425,111,0.00359,0.00345,0.0041600000000000005
Fan1,128,0,4,0,40,37.32,0.456796,127,0.0036,0.00346,0.0041
Fan1,144,0,2,0,20,36.16,0.516475,143,0.00361,0.00349,0.00406
Fan1,16,0,3,0,30,22.4,0.053087999999999996,15,0.0035399999999999997,0.00346,0.00394
Fan1,160,0,2,0,20,35.47,0.578137,159,0.00364,0.00346,0.00413
Fan1,176,0,3,0,30,34.29,0.637436,175,0.00364,0.00349,0.00451
Fan1,192,0,2,0,20,32.69,0.698843,191,0.00366,0.00346,0.00413
Fan1,208,0,4,0,40,31.59,0.75705,207,0.00366,0.00346,0.00419
Fan1,224,0,4,0,40,30.28,0.8213360000000001,223,0.0036799999999999997,0.00349,0.00426
Fan1,240,0,3,0,30,28.57,0.882007,239,0.0036899999999999997,0.00349,0.00426
Fan1,256,0,4,0,40,27.29,0.9462309999999999,255,0.00371,0.00349,0.004379999999999999
Fan1,272,0,2,0,20,26.03,1.005205,271,0.00371,0.00349,0.00432
Fan1,288,0,4,0,40,24.88,1.080885,287,0.0037700000000000003,0.00349,0.00451
Fan1,304,0,3,0,30,23.53,1.130419,303,0.00373,0.00349,0.00435
Fan1,32,0,2,0,20,31.13,0.10988599999999998,31,0.0035399999999999997,0.00346,0.00406
Fan1,320,0,4,0,40,22.64,1.212275,319,0.0038,0.00349,0.00445
Fan1,336,0,3,0,30,21.29,1.2601799999999999,335,0.0037600000000000003,0.00349,0.004379999999999999
Fan1,352,0,4,0,40,20.45,1.340657,351,0.0038200000000000005,0.00349,0.00458
Fan1,368,0,3,0,30,19.3,1.388723,367,0.0037799999999999995,0.00349,0.00445
Fan1,384,0,4,0,40,18.52,1.472561,383,0.0038399999999999997,0.00349,0.00464
Fan1,400,0,3,0,30,17.41,1.5153780000000001,399,0.0038,0.00346,0.00448
Fan1,416,0,4,0,40,16.95,1.620464,415,0.0039,0.00352,0.00477
Fan1,432,0,3,0,30,15.79,1.645304,431,0.0038200000000000005,0.00349,0.00458
Fan1,448,0,4,0,40,15.37,1.753296,447,0.00392,0.00349,0.00477
Fan1,464,0,4,0,40,14.38,1.778414,463,0.0038399999999999997,0.00349,0.00454
Fan1,48,0,2,0,20,35.58,0.16658900000000001,47,0.0035399999999999997,0.00349,0.0041
Fan1,480,0,3,0,30,14.02,1.892971,479,0.00395,0.00349,0.00496
Fan1,496,0,4,0,40,13.17,1.917994,495,0.00387,0.00349,0.00461
Fan1,512,0,4,0,40,12.84,2.033426,511,0.00398,0.00346,0.0049
Fan1,528,0,1,0,10,11.9,2.116302,527,0.0040100000000000005,0.00358,0.00486
Fan1,544,0,1,0,10,11.71,2.25137,543,0.00415,0.00358,0.00518
Fan1,560,0,1,0,10,10.95,2.2634369999999997,559,0.00405,0.00358,0.0049
Fan1,576,0,1,0,10,10.8,2.408613,575,0.00419,0.00358,0.00573
Fan1,592,0,1,0,10,10.16,2.430541,591,0.00411,0.00365,0.0049
Fan1,608,0,1,0,10,9.96,2.560941,607,0.004220000000000001,0.00358,0.005379999999999999
Fan1,624,0,1,0,10,9.28,2.54548,623,0.00409,0.00358,0.0049299999999999995
Fan1,64,0,2,0,20,37.59,0.223423,63,0.00355,0.0034200000000000003,0.0041
Fan1,640,0,1,0,10,9.19,2.7070529999999997,639,0.00424,0.00358,0.00512
Fan1,656,0,1,0,10,8.57,2.6866,655,0.0041,0.00355,0.00486
Fan1,672,0,2,0,20,8.23,3.0425020000000003,671,0.004529999999999999,0.00381,0.00573
Fan1,688,0,3,0,30,7.7,3.0249919999999997,687,0.0044,0.00381,0.0053100000000000005
Fan1,704,0,2,0,20,7.65,3.209028,703,0.00456,0.0038399999999999997,0.0056
Fan1,720,0,5,0,50,7.17,3.187004,719,0.00443,0.00381,0.00528
Fan1,736,0,4,0,40,7.11,3.374175,735,0.0045899999999999995,0.00381,0.00557
Fan1,752,0,1,0,10,6.63,3.326432,751,0.00443,0.0037799999999999995,0.00528
Fan1,768,0,4,0,40,6.62,3.531073,767,0.0046,0.00381,0.00659
Fan1,784,0,1,0,10,6.19,3.4790739999999998,783,0.0044399999999999995,0.00381,0.0053100000000000005
Fan1,80,0,4,0,40,37.73,0.2832,79,0.00358,0.00346,0.0041600000000000005
Fan1,800,0,0,0,0,6.19,3.6792290000000003,799,0.0046,0.0038399999999999997,0.00557
Fan1,816,0,3,0,30,5.8,3.641781,815,0.00447,0.00381,0.00528
Fan1,832,0,2,0,20,5.8,3.856349,831,0.00464,0.00381,0.0056
Fan1,848,0,5,0,50,5.48,3.663649,847,0.00433,0.0036799999999999997,0.00509
Fan1,864,0,4,0,40,5.53,3.794622,863,0.0044,0.00365,0.00528
Fan1,880,0,1,0,10,5.31,3.5747809999999998,879,0.004070000000000001,0.00349,0.00477
Fan1,896,0,2,0,20,5.29,3.7625910000000005,895,0.0042,0.00349,0.00506
Fan1,912,0,2,0,20,4.96,3.698752,911,0.00406,0.00349,0.00474
Fan1,928,0,0,0,0,4.99,3.900099,927,0.00421,0.00349,0.0053100000000000005
Fan1,944,0,1,0,10,4.68,3.8419779999999997,943,0.004070000000000001,0.00349,0.00474
Fan1,96,0,3,0,30,39.29,0.341563,95,0.00359,0.00346,0.00403
Fan1,960,0,2,0,20,4.7,4.050461,959,0.004220000000000001,0.00349,0.00499
Fan1,976,0,5,0,50,4.39,3.962071,975,0.00406,0.00349,0.00477
Fan1,992,0,4,0,40,4.44,4.1991309999999995,991,0.00424,0.00349,0.00576
