kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
Fan1,16,0,0,0,0,45.05,0.054655,15,3.64E-03,3.58E-03,4.00E-03
Fan1,16,0,0,1,1,74.92,0.186431,15,0.012428,3.52E-03,0.136799
Fan1,16,0,0,2,2,72.48,0.162717,15,0.010847,3.42E-03,0.114399
Fan1,16,0,0,3,3,72.74,0.170878,15,0.011391,3.61E-03,0.120159
Fan1,16,0,0,4,4,76.53,0.203551,15,0.01357,3.49E-03,0.154303
Fan1,16,0,0,5,5,74.67,0.183327,15,0.012221,3.49E-03,0.133951
Fan1,16,0,0,6,6,75.78,0.193343,15,0.012889,3.49E-03,0.144127
Fan1,16,0,1,0,10,23.84,0.055072,15,3.67E-03,3.58E-03,4.29E-03
Fan1,16,0,2,0,20,21.52,0.053343,15,3.56E-03,3.46E-03,4.16E-03
Fan1,16,0,3,0,30,22.4,0.053088,15,3.54E-03,3.46E-03,3.94E-03
Fan1,16,0,4,0,40,23.48,0.053504,15,3.57E-03,3.49E-03,4.03E-03
Fan1,16,0,5,0,50,23.44,0.053568,15,3.57E-03,3.46E-03,4.29E-03
Fan1,16,0,6,0,60,23.71,0.053952,15,3.60E-03,3.49E-03,4.19E-03
Fan1,16,1,0,0,100,75.13,0.185726,15,0.012381,3.46E-03,0.136799
Fan1,16,1,1,0,110,75.85,0.184637,15,0.012309,3.49E-03,0.135614
Fan1,16,1,2,0,120,73.38,0.161631,15,0.010775,3.49E-03,0.112351
Fan1,16,1,3,0,130,75.5,0.180926,15,0.012061,3.46E-03,0.132351
Fan1,16,1,4,0,140,75.5,0.182431,15,0.012162,3.46E-03,0.133663
Fan1,16,1,5,0,150,75.77,0.18595,15,0.012396,3.46E-03,0.137086
Fan1,16,1,6,0,160,74.64,0.174238,15,0.011615,3.45E-03,0.125407
Fan1,16,2,0,0,200,74.82,0.183935,15,0.012262,3.49E-03,0.134719
Fan1,16,2,1,0,210,77.96,0.208127,15,0.013875,3.46E-03,0.159199
Fan1,16,2,2,0,220,77.54,0.203711,15,0.01358,3.46E-03,0.154751
Fan1,16,2,3,0,230,76.51,0.191327,15,0.012755,3.49E-03,0.142271
Fan1,16,2,4,0,240,76.65,0.194239,15,0.012949,3.49E-03,0.145023
Fan1,16,2,5,0,250,76.69,0.194686,15,0.012979,3.46E-03,0.146046
Fan1,16,2,6,0,260,77.48,0.200959,15,0.013397,3.49E-03,0.151935
Fan1,16,3,0,0,300,74.25,0.183967,15,0.012264,3.58E-03,0.133407
Fan1,16,3,1,0,310,75.77,0.184572,15,0.012304,3.46E-03,0.135551
Fan1,16,3,2,0,320,75.17,0.184734,15,0.012315,3.62E-03,0.133438
Fan1,16,3,3,0,330,75.77,0.185311,15,0.012354,3.46E-03,0.136607
Fan1,16,3,4,0,340,74.83,0.174687,15,0.011645,3.42E-03,0.126079
Fan1,16,3,5,0,350,75.02,0.183486,15,0.012232,3.58E-03,0.132831
Fan1,16,3,6,0,360,75.65,0.183135,15,0.012209,3.49E-03,0.134047
Fan1,16,4,0,0,400,74.69,0.187871,15,0.012524,3.62E-03,0.137055
Fan1,16,4,1,0,410,74.71,0.17443,15,0.011628,3.46E-03,0.125439
Fan1,16,4,2,0,420,75.79,0.183423,15,0.012228,3.46E-03,0.134751
Fan1,16,4,3,0,430,75.61,0.187487,15,0.012499,3.55E-03,0.137215
Fan1,16,4,4,0,440,74.53,0.171774,15,0.011451,3.49E-03,0.122463
Fan1,16,4,5,0,450,74.25,0.186494,15,0.012432,3.78E-03,0.133118
Fan1,16,4,6,0,460,74.49,0.171294,15,0.011419,3.46E-03,0.122463
Fan1,16,5,0,0,500,78.73,0.22835,15,0.015223,3.46E-03,0.179294
Fan1,16,5,1,0,510,75.75,0.184639,15,0.012309,3.52E-03,0.134911
Fan1,16,5,2,0,520,76.2,0.187934,15,0.012528,3.49E-03,0.138751
Fan1,16,5,3,0,530,75.96,0.18707,15,0.012471,3.49E-03,0.137727
Fan1,16,5,4,0,540,75.81,0.185118,15,0.012341,3.52E-03,0.135391
Fan1,16,5,5,0,550,75.55,0.181854,15,0.012123,3.49E-03,0.132543
Fan1,16,5,6,0,560,75.94,0.186175,15,0.012411,3.46E-03,0.137183
Fan1,16,6,0,0,600,74.51,0.181021,15,0.012068,3.49E-03,0.131871
