Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
gaussian,1008,a,0,Fan2,870821114.37,9.31,142073,1301556390.52,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492668.62,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50,111,0x200060000000,0x2000603e0400,4064256,23,46,4032.0,4032.0,0.0
gaussian,1008,b,1,Fan2,870821114.37,9.31,142073,1301556390.52,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492668.62,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50,111,0x200060400000,0x200060400fc0,4032,2,256,64.0,64.0,0.0
gaussian,1008,m,2,Fan2,870821114.37,9.31,142073,1301556390.52,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492668.62,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50,111,0x200060600000,0x2000609e0400,4064256,12,47,4032.0,0.0,0.0
gaussian,1008,a,0,Fan1,742097701.15,6.89,6203,1113505747.13,6.89,5568,0.94,68.71,0.09,57.8,0.29,0.0,0.3,7.46,7.46,52339080459.77,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100,111,0x200060000000,0x2000603e0400,4064256,23,46,4032.0,4032.0,0.0
gaussian,1008,b,1,Fan1,742097701.15,6.89,6203,1113505747.13,6.89,5568,0.94,68.71,0.09,57.8,0.29,0.0,0.3,7.46,7.46,52339080459.77,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100,111,0x200060400000,0x200060400fc0,4032,2,256,64.0,64.0,0.0
gaussian,1008,m,2,Fan1,742097701.15,6.89,6203,1113505747.13,6.89,5568,0.94,68.71,0.09,57.8,0.29,0.0,0.3,7.46,7.46,52339080459.77,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100,111,0x200060600000,0x2000609e0400,4064256,12,47,4032.0,0.0,0.0
gaussian,1008,a,0,Fan2,871294393.89,9.33,142046,1302094034.34,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415027.88,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50,111,0x200060000000,0x2000603e0400,4064256,23,46,4032.0,4032.0,0.0
gaussian,1008,b,1,Fan2,871294393.89,9.33,142046,1302094034.34,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415027.88,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50,111,0x200060400000,0x200060400fc0,4032,2,256,64.0,64.0,0.0
gaussian,1008,m,2,Fan2,871294393.89,9.33,142046,1302094034.34,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415027.88,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50,111,0x200060600000,0x2000609e0400,4064256,12,47,4032.0,0.0,0.0
gaussian,1008,a,0,Fan1,728070175.44,7.17,5970,1090704191.03,7.17,5472,0.98,68.33,0.09,58.07,0.29,0.0,0.3,7.5,7.5,53456140350.88,0.7,7.17,50.75,0.09,1.47,3.68,0.12,92.22,1,0.08,7.78,28.93,31.5,49.47,47.3,47.3,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.17,20.58,64,100,111,0x200060000000,0x2000603e0400,4064256,23,46,4032.0,4032.0,0.0
