kernel,InputData,advise0,advise1,variant,TimePerc,Time,calls,AVG,MIN,MAX
calculate_temp,64,0,0,0,37.95,0.0057,1,0.0057,0.0057,0.0057
calculate_temp,64,4,0,40,68.77,0.007679999999999999,1,0.007679999999999999,0.007679999999999999,0.007679999999999999
calculate_temp,64,0,4,4,54.85,0.00778,1,0.00778,0.00778,0.00778
calculate_temp,64,4,4,44,100.0,0.0089,1,0.0089,0.0089,0.0089
calculate_temp,64,1,4,14,100.0,0.009059999999999999,1,0.009059999999999999,0.009059999999999999,0.009059999999999999
calculate_temp,64,0,3,3,58.9,0.00922,1,0.00922,0.00922,0.00922
calculate_temp,64,4,1,41,100.0,0.00922,1,0.00922,0.00922,0.00922
calculate_temp,64,4,5,45,100.0,0.00928,1,0.00928,0.00928,0.00928
calculate_temp,64,0,5,5,59.35,0.009340000000000001,1,0.009340000000000001,0.009340000000000001,0.009340000000000001
calculate_temp,64,6,4,64,100.0,0.00957,1,0.00957,0.00957,0.00957
calculate_temp,64,3,0,30,73.77,0.00963,1,0.00963,0.00963,0.00963
calculate_temp,64,6,0,60,74.39,0.00976,1,0.00976,0.00976,0.00976
calculate_temp,64,0,6,6,60.66,0.010015999999999999,1,0.010015999999999999,0.010015999999999999,0.010015999999999999
calculate_temp,64,4,6,46,100.0,0.010015999999999999,1,0.010015999999999999,0.010015999999999999,0.010015999999999999
calculate_temp,64,5,0,50,74.52,0.010015999999999999,1,0.010015999999999999,0.010015999999999999,0.010015999999999999
calculate_temp,64,0,2,2,61.36,0.010111,1,0.010111,0.010111,0.010111
calculate_temp,64,5,4,54,100.0,0.010431999999999999,1,0.010431999999999999,0.010431999999999999,0.010431999999999999
calculate_temp,64,5,1,51,100.0,0.010879999999999999,1,0.010879999999999999,0.010879999999999999,0.010879999999999999
calculate_temp,64,3,3,33,100.0,0.011040000000000001,1,0.011040000000000001,0.011040000000000001,0.011040000000000001
calculate_temp,64,3,4,34,100.0,0.011040000000000001,1,0.011040000000000001,0.011040000000000001,0.011040000000000001
calculate_temp,64,5,6,56,100.0,0.011072,1,0.011072,0.011072,0.011072
calculate_temp,64,6,3,63,100.0,0.011136,1,0.011136,0.011136,0.011136
calculate_temp,64,1,3,13,100.0,0.011231999999999999,1,0.011231999999999999,0.011231999999999999,0.011231999999999999
calculate_temp,64,3,1,31,100.0,0.011231999999999999,1,0.011231999999999999,0.011231999999999999,0.011231999999999999
calculate_temp,64,3,5,35,100.0,0.011231999999999999,1,0.011231999999999999,0.011231999999999999,0.011231999999999999
calculate_temp,64,5,3,53,100.0,0.011359999999999999,1,0.011359999999999999,0.011359999999999999,0.011359999999999999
calculate_temp,64,1,5,15,100.0,0.011584,1,0.011584,0.011584,0.011584
calculate_temp,64,3,6,36,100.0,0.011616,1,0.011616,0.011616,0.011616
calculate_temp,64,1,6,16,100.0,0.011807999999999999,1,0.011807999999999999,0.011807999999999999,0.011807999999999999
calculate_temp,64,5,5,55,100.0,0.012128,1,0.012128,0.012128,0.012128
calculate_temp,64,6,5,65,100.0,0.012319,1,0.012319,0.012319,0.012319
calculate_temp,64,6,6,66,100.0,0.012448,1,0.012448,0.012448,0.012448
calculate_temp,64,6,1,61,100.0,0.012608,1,0.012608,0.012608,0.012608
calculate_temp,64,2,2,22,100.0,0.206463,1,0.206463,0.206463,0.206463
calculate_temp,64,6,2,62,100.0,0.20729499999999998,1,0.20729499999999998,0.20729499999999998,0.20729499999999998
calculate_temp,64,2,3,23,100.0,0.207488,1,0.207488,0.207488,0.207488
calculate_temp,64,2,6,26,100.0,0.208767,1,0.208767,0.208767,0.208767
calculate_temp,64,3,2,32,100.0,0.20995100000000003,1,0.20995100000000003,0.20995100000000003,0.20995100000000003
calculate_temp,64,2,1,21,100.0,0.21635100000000002,1,0.21635100000000002,0.21635100000000002,0.21635100000000002
calculate_temp,64,2,5,25,100.0,0.216383,1,0.216383,0.216383,0.216383
calculate_temp,64,2,4,24,100.0,0.217183,1,0.217183,0.217183,0.217183
calculate_temp,64,1,2,12,100.0,0.21987199999999998,1,0.21987199999999998,0.21987199999999998,0.21987199999999998
calculate_temp,64,5,2,52,100.0,0.224415,1,0.224415,0.224415,0.224415
calculate_temp,64,2,0,20,98.59,0.236607,1,0.236607,0.236607,0.236607
calculate_temp,64,4,3,43,100.0,0.281695,1,0.281695,0.281695,0.281695
calculate_temp,64,1,0,10,98.84,0.288959,1,0.288959,0.288959,0.288959
calculate_temp,64,1,1,11,100.0,0.333951,1,0.333951,0.333951,0.333951
calculate_temp,64,0,1,1,98.12,0.346654,1,0.346654,0.346654,0.346654
calculate_temp,64,4,2,42,100.0,0.35059,1,0.35059,0.35059,0.35059
calculate_temp,128,0,0,0,22.63,0.00611,1,0.00611,0.00611,0.00611
calculate_temp,128,0,4,4,51.68,0.013312000000000001,1,0.013312000000000001,0.013312000000000001,0.013312000000000001
calculate_temp,128,0,6,6,54.96,0.015424,1,0.015424,0.015424,0.015424
calculate_temp,128,0,5,5,55.23,0.015552000000000002,1,0.015552000000000002,0.015552000000000002,0.015552000000000002
calculate_temp,128,0,3,3,55.88,0.015808000000000003,1,0.015808000000000003,0.015808000000000003,0.015808000000000003
calculate_temp,128,0,2,2,56.03,0.015903999999999998,1,0.015903999999999998,0.015903999999999998,0.015903999999999998
calculate_temp,128,3,3,33,100.0,0.182111,1,0.182111,0.182111,0.182111
calculate_temp,128,5,3,53,100.0,0.246943,1,0.246943,0.246943,0.246943
calculate_temp,128,4,4,44,100.0,0.252671,1,0.252671,0.252671,0.252671
calculate_temp,128,4,0,40,96.69,0.256063,1,0.256063,0.256063,0.256063
calculate_temp,128,5,2,52,100.0,0.262687,1,0.262687,0.262687,0.262687
calculate_temp,128,5,5,55,100.0,0.262943,1,0.262943,0.262943,0.262943
calculate_temp,128,5,1,51,100.0,0.264063,1,0.264063,0.264063,0.264063
calculate_temp,128,2,6,26,100.0,0.264287,1,0.264287,0.264287,0.264287
calculate_temp,128,5,6,56,100.0,0.265023,1,0.265023,0.265023,0.265023
calculate_temp,128,5,0,50,96.79,0.267455,1,0.267455,0.267455,0.267455
calculate_temp,128,6,0,60,96.85,0.272831,1,0.272831,0.272831,0.272831
calculate_temp,128,3,0,30,96.89,0.272959,1,0.272959,0.272959,0.272959
calculate_temp,128,2,5,25,100.0,0.27426999999999996,1,0.27426999999999996,0.27426999999999996,0.27426999999999996
calculate_temp,128,2,0,20,96.9,0.274719,1,0.274719,0.274719,0.274719
calculate_temp,128,6,1,61,100.0,0.276735,1,0.276735,0.276735,0.276735
calculate_temp,128,2,2,22,100.0,0.277023,1,0.277023,0.277023,0.277023
calculate_temp,128,3,5,35,100.0,0.279423,1,0.279423,0.279423,0.279423
calculate_temp,128,2,3,23,100.0,0.282975,1,0.282975,0.282975,0.282975
calculate_temp,128,3,2,32,100.0,0.283231,1,0.283231,0.283231,0.283231
calculate_temp,128,1,5,15,100.0,0.283423,1,0.283423,0.283423,0.283423
calculate_temp,128,6,5,65,100.0,0.283871,1,0.283871,0.283871,0.283871
calculate_temp,128,1,6,16,100.0,0.287487,1,0.287487,0.287487,0.287487
calculate_temp,128,6,2,62,100.0,0.287487,1,0.287487,0.287487,0.287487
calculate_temp,128,2,1,21,100.0,0.287711,1,0.287711,0.287711,0.287711
calculate_temp,128,1,2,12,100.0,0.289919,1,0.289919,0.289919,0.289919
calculate_temp,128,3,6,36,100.0,0.290271,1,0.290271,0.290271,0.290271
calculate_temp,128,3,1,31,100.0,0.29135900000000003,1,0.29135900000000003,0.29135900000000003,0.29135900000000003
calculate_temp,128,1,3,13,100.0,0.291646,1,0.291646,0.291646,0.291646
calculate_temp,128,6,6,66,100.0,0.297695,1,0.297695,0.297695,0.297695
calculate_temp,128,6,3,63,100.0,0.307199,1,0.307199,0.307199,0.307199
calculate_temp,128,1,0,10,97.89,0.407647,1,0.407647,0.407647,0.407647
calculate_temp,128,0,1,1,97.02,0.418174,1,0.418174,0.418174,0.418174
calculate_temp,128,4,5,45,100.0,0.41919799999999996,1,0.41919799999999996,0.41919799999999996,0.41919799999999996
calculate_temp,128,4,1,41,100.0,0.43763,1,0.43763,0.43763,0.43763
calculate_temp,128,2,4,24,100.0,0.44550200000000006,1,0.44550200000000006,0.44550200000000006,0.44550200000000006
calculate_temp,128,4,3,43,100.0,0.448862,1,0.448862,0.448862,0.448862
calculate_temp,128,4,2,42,100.0,0.450462,1,0.450462,0.450462,0.450462
calculate_temp,128,5,4,54,100.0,0.46006199999999997,1,0.46006199999999997,0.46006199999999997,0.46006199999999997
calculate_temp,128,3,4,34,100.0,0.469438,1,0.469438,0.469438,0.469438
calculate_temp,128,1,4,14,100.0,0.48143800000000003,1,0.48143800000000003,0.48143800000000003,0.48143800000000003
calculate_temp,128,6,4,64,100.0,0.508126,1,0.508126,0.508126,0.508126
calculate_temp,128,4,6,46,100.0,0.508286,1,0.508286,0.508286,0.508286
calculate_temp,128,1,1,11,100.0,0.6197739999999999,1,0.6197739999999999,0.6197739999999999,0.6197739999999999
calculate_temp,256,0,0,0,25.12,0.00835,1,0.00835,0.00835,0.00835
calculate_temp,256,0,4,4,61.71,0.028416000000000004,1,0.028416000000000004,0.028416000000000004,0.028416000000000004
calculate_temp,256,0,5,5,64.97,0.031807999999999996,1,0.031807999999999996,0.031807999999999996,0.031807999999999996
calculate_temp,256,0,6,6,65.74,0.031807999999999996,1,0.031807999999999996,0.031807999999999996,0.031807999999999996
calculate_temp,256,0,3,3,65.9,0.031968,1,0.031968,0.031968,0.031968
calculate_temp,256,0,2,2,66.24,0.032895999999999995,1,0.032895999999999995,0.032895999999999995,0.032895999999999995
calculate_temp,256,5,0,50,97.07,0.31161500000000003,1,0.31161500000000003,0.31161500000000003,0.31161500000000003
calculate_temp,256,3,0,30,97.36,0.348607,1,0.348607,0.348607,0.348607
calculate_temp,256,3,3,33,100.0,0.351679,1,0.351679,0.351679,0.351679
calculate_temp,256,3,2,32,100.0,0.361406,1,0.361406,0.361406,0.361406
calculate_temp,256,5,5,55,100.0,0.380766,1,0.380766,0.380766,0.380766
calculate_temp,256,3,5,35,100.0,0.384862,1,0.384862,0.384862,0.384862
calculate_temp,256,5,6,56,100.0,0.395838,1,0.395838,0.395838,0.395838
calculate_temp,256,3,6,36,100.0,0.433406,1,0.433406,0.433406,0.433406
calculate_temp,256,1,6,16,100.0,0.43382200000000004,1,0.43382200000000004,0.43382200000000004,0.43382200000000004
calculate_temp,256,1,5,15,100.0,0.44098999999999994,1,0.44098999999999994,0.44098999999999994,0.44098999999999994
calculate_temp,256,5,3,53,100.0,0.45155,1,0.45155,0.45155,0.45155
calculate_temp,256,3,1,31,100.0,0.46258999999999995,1,0.46258999999999995,0.46258999999999995,0.46258999999999995
calculate_temp,256,5,2,52,100.0,0.465791,1,0.465791,0.465791,0.465791
calculate_temp,256,5,1,51,100.0,0.48569399999999996,1,0.48569399999999996,0.48569399999999996,0.48569399999999996
calculate_temp,256,6,5,65,100.0,0.49587,1,0.49587,0.49587,0.49587
calculate_temp,256,6,0,60,98.09,0.521886,1,0.521886,0.521886,0.521886
calculate_temp,256,1,3,13,100.0,0.5270699999999999,1,0.5270699999999999,0.5270699999999999,0.5270699999999999
calculate_temp,256,0,1,1,96.93,0.551934,1,0.551934,0.551934,0.551934
calculate_temp,256,4,0,40,98.41,0.57491,1,0.57491,0.57491,0.57491
calculate_temp,256,1,0,10,98.3,0.582461,1,0.582461,0.582461,0.582461
calculate_temp,256,6,3,63,100.0,0.59939,1,0.59939,0.59939,0.59939
calculate_temp,256,6,2,62,100.0,0.612318,1,0.612318,0.612318,0.612318
calculate_temp,256,4,4,44,100.0,0.644925,1,0.644925,0.644925,0.644925
calculate_temp,256,6,6,66,100.0,0.645213,1,0.645213,0.645213,0.645213
calculate_temp,256,1,2,12,100.0,0.669502,1,0.669502,0.669502,0.669502
calculate_temp,256,6,1,61,100.0,0.689757,1,0.689757,0.689757,0.689757
calculate_temp,256,4,2,42,100.0,0.6982689999999999,1,0.6982689999999999,0.6982689999999999,0.6982689999999999
