InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,Costs,label
097K,cuda_compute_flux,h_areas,0,855612379.1818607,35.504186046511634,48253.906976744176,1260954128.7597673,35.504186046511634,38140.279069767435,31.70139534883721,36773.15720930233,23.682093023255817,29.556511627906985,1.2325581395348837,0.9432558139534885,1.2362790697674415,30.930232558139533,30.930232558139533,311041577410.956,31.70139534883721,35.504186046511634,72.77418604651164,5.659767441860465,28.141162790697685,6.285581395348838,0.5130232558139532,68.47558139534884,1.0,0.31558139534883745,31.52441860465117,26.61418604651163,27.793953488372086,20.078604651162788,19.99255813953488,19.99255813953488,11336.228837209304,3627593.23255814,11387.350930232556,3643952.3255813965,192.0,506.0,60.0,0.0,0.0,0.0,97152.0,1.2700000000000011,32.0,5.0,32.0,10.0,24.589069767441863,38.41883720930233,30.0,46.88000000000007,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0,"0.18245946938775512, 0.18218779591836737, 0.18229148979591833, 0.18222269387755102, 0.18252606122448978, 0.18249561224489788, 0.18223942857142855", 6
097K,cuda_compute_flux,h_elements_surrounding_elements,1,855612379.1818607,35.504186046511634,48253.906976744176,1260954128.7597673,35.504186046511634,38140.279069767435,31.70139534883721,36773.15720930233,23.682093023255817,29.556511627906985,1.2325581395348837,0.9432558139534885,1.2362790697674415,30.930232558139533,30.930232558139533,311041577410.956,31.70139534883721,35.504186046511634,72.77418604651164,5.659767441860465,28.141162790697685,6.285581395348838,0.5130232558139532,68.47558139534884,1.0,0.31558139534883745,31.52441860465117,26.61418604651163,27.793953488372086,20.078604651162788,19.99255813953488,19.99255813953488,11336.228837209304,3627593.23255814,11387.350930232556,3643952.3255813965,192.0,506.0,60.0,0.0,0.0,0.0,97152.0,1.2700000000000011,32.0,5.0,32.0,10.0,24.589069767441863,38.41883720930233,30.0,46.88000000000007,111,0x7fd20205ee00,0x7fd2021da600,1554432,10,17,1536.0,0.0,0.0,"0.14619495918367348, 0.14668677551020404, 0.14630908163265305, 0.14624171428571425, 0.27202385714285715, 0.2723681632653061, 0.146598", 0
097K,cuda_compute_flux,h_normals,2,855612379.1818607,35.504186046511634,48253.906976744176,1260954128.7597673,35.504186046511634,38140.279069767435,31.70139534883721,36773.15720930233,23.682093023255817,29.556511627906985,1.2325581395348837,0.9432558139534885,1.2362790697674415,30.930232558139533,30.930232558139533,311041577410.956,31.70139534883721,35.504186046511634,72.77418604651164,5.659767441860465,28.141162790697685,6.285581395348838,0.5130232558139532,68.47558139534884,1.0,0.31558139534883745,31.52441860465117,26.61418604651163,27.793953488372086,20.078604651162788,19.99255813953488,19.99255813953488,11336.228837209304,3627593.23255814,11387.350930232556,3643952.3255813965,192.0,506.0,60.0,0.0,0.0,0.0,97152.0,1.2700000000000011,32.0,5.0,32.0,10.0,24.589069767441863,38.41883720930233,30.0,46.88000000000007,111,0x7fd202200000,0x7fd202672800,4663296,33,24,4556.0,0.0,0.0,"0.06621830612244901, 0.06638185714285713, 0.06622595918367348, 0.06632020408163268, 0.4721775714285713, 0.4726891020408165, 0.06640955102040817", 2
097K,cuda_compute_step_factor,h_areas,0,787314688.5766665,45.43999999999999,10506.2,1164327823.9353333,45.43999999999999,9011.2,13.316666666666665,8074.781333333332,19.166,11.28133333333333,0.9826666666666666,0.7586666666666666,0.994,24.875999999999998,24.875999999999998,366295905221.2373,13.316666666666665,45.43999999999999,15.373999999999995,5.429999999999999,0.0,7.751333333333332,0.45799999999999996,74.42,1.0,0.25533333333333336,25.58,25.808,27.694666666666667,30.80133333333333,30.448666666666664,30.448666666666664,1987.178,635897.0,2010.4226666666666,643334.6,192.0,506.0,20.0,0.0,0.0,0.0,97152.0,0.6300000000000001,32.0,14.0,32.0,10.0,30.26466666666667,47.288,60.0,93.75,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0,"0.0039726530612244895, 0.005205714285714285, 0.00433061224489796, 0.0047375510204081634, 0.040355020408163265, 0.04078577551020409, 0.0051142857142857144", 0
097K,cuda_compute_step_factor,h_elements_surrounding_elements,1,787314688.5766665,45.43999999999999,10506.2,1164327823.9353333,45.43999999999999,9011.2,13.316666666666665,8074.781333333332,19.166,11.28133333333333,0.9826666666666666,0.7586666666666666,0.994,24.875999999999998,24.875999999999998,366295905221.2373,13.316666666666665,45.43999999999999,15.373999999999995,5.429999999999999,0.0,7.751333333333332,0.45799999999999996,74.42,1.0,0.25533333333333336,25.58,25.808,27.694666666666667,30.80133333333333,30.448666666666664,30.448666666666664,1987.178,635897.0,2010.4226666666666,643334.6,192.0,506.0,20.0,0.0,0.0,0.0,97152.0,0.6300000000000001,32.0,14.0,32.0,10.0,30.26466666666667,47.288,60.0,93.75,111,0x7fd20205ee00,0x7fd2021da600,1554432,10,17,1536.0,0.0,0.0,"0.014676877551020411, 0.014712224489795915, 0.014689714285714285, 0.014690244897959184, 0.015302714285714288, 0.015703530612244894, 0.014726306122448985", 0
097K,cuda_compute_step_factor,h_normals,2,787314688.5766665,45.43999999999999,10506.2,1164327823.9353333,45.43999999999999,9011.2,13.316666666666665,8074.781333333332,19.166,11.28133333333333,0.9826666666666666,0.7586666666666666,0.994,24.875999999999998,24.875999999999998,366295905221.2373,13.316666666666665,45.43999999999999,15.373999999999995,5.429999999999999,0.0,7.751333333333332,0.45799999999999996,74.42,1.0,0.25533333333333336,25.58,25.808,27.694666666666667,30.80133333333333,30.448666666666664,30.448666666666664,1987.178,635897.0,2010.4226666666666,643334.6,192.0,506.0,20.0,0.0,0.0,0.0,97152.0,0.6300000000000001,32.0,14.0,32.0,10.0,30.26466666666667,47.288,60.0,93.75,111,0x7fd202200000,0x7fd202672800,4663296,33,24,4556.0,0.0,0.0,"0.015245387755102044, 0.014942183673469387, 0.014945408163265306, 0.0149615306122449, 0.01471822448979592, 0.014721428571428573, 0.014967448979591833", 5
097K,cuda_time_step,h_areas,0,805145272.4666666,67.36285714285717,14589.166666666664,1193814573.575,67.36285714285717,12204.952380952383,21.89809523809524,11644.456190476192,5.292142857142856,14.343809523809524,0.2592857142857141,0.20809523809523814,0.2657142857142855,6.6138095238095245,6.6138095238095245,555065178339.4012,21.89809523809524,67.36285714285717,31.450000000000024,4.956428571428573,0.0,8.627857142857144,0.1135714285714286,93.23357142857141,1.0,0.06999999999999998,6.766428571428572,30.799999999999976,32.0,129.3385714285714,127.50166666666672,127.50166666666672,759.0,242880.0,769.937380952381,246380.02380952387,192.0,506.0,22.0,0.0,0.0,0.0,97152.0,0.6299999999999999,32.0,14.0,32.0,10.0,33.84642857142857,52.88499999999999,60.0,93.75,111,0x7fd202000000,0x7fd20205ee00,388608,3,11,512.0,0.0,0.0,"0.007168979591836731, 0.007126530612244898, 0.007125714285714285, 0.007131428571428571, 0.007102244897959186, 0.007108163265306123, 0.007126326530612248", 4
097K,cuda_time_step,h_elements_surrounding_elements,1,805145272.4666666,67.36285714285717,14589.166666666664,1193814573.575,67.36285714285717,12204.952380952383,21.89809523809524,11644.456190476192,5.292142857142856,14.343809523809524,0.2592857142857141,0.20809523809523814,0.2657142857142855,6.6138095238095245,6.6138095238095245,555065178339.4012,21.89809523809524,67.36285714285717,31.450000000000024,4.956428571428573,0.0,8.627857142857144,0.1135714285714286,93.23357142857141,1.0,0.06999999999999998,6.766428571428572,30.799999999999976,32.0,129.3385714285714,127.50166666666672,127.50166666666672,759.0,242880.0,769.937380952381,246380.02380952387,192.0,506.0,22.0,0.0,0.0,0.0,97152.0,0.6299999999999999,32.0,14.0,32.0,10.0,33.84642857142857,52.88499999999999,60.0,93.75,111,0x7fd20205ee00,0x7fd2021da600,1554432,10,17,1536.0,0.0,0.0,"0.007271428571428567, 0.00726469387755102, 0.007264285714285712, 0.007261428571428573, 0.006786122448979592, 0.006788367346938776, 0.007253061224489798", 5
097K,cuda_time_step,h_normals,2,805145272.4666666,67.36285714285717,14589.166666666664,1193814573.575,67.36285714285717,12204.952380952383,21.89809523809524,11644.456190476192,5.292142857142856,14.343809523809524,0.2592857142857141,0.20809523809523814,0.2657142857142855,6.6138095238095245,6.6138095238095245,555065178339.4012,21.89809523809524,67.36285714285717,31.450000000000024,4.956428571428573,0.0,8.627857142857144,0.1135714285714286,93.23357142857141,1.0,0.06999999999999998,6.766428571428572,30.799999999999976,32.0,129.3385714285714,127.50166666666672,127.50166666666672,759.0,242880.0,769.937380952381,246380.02380952387,192.0,506.0,22.0,0.0,0.0,0.0,97152.0,0.6299999999999999,32.0,14.0,32.0,10.0,33.84642857142857,52.88499999999999,60.0,93.75,111,0x7fd202200000,0x7fd202672800,4663296,33,24,4556.0,0.0,0.0,"0.00810673469387755, 0.00730408163265306, 0.007293673469387756, 0.007308979591836733, 0.006284897959183674, 0.006281020408163266, 0.0073100000000000005", 4
193K,cuda_compute_flux,h_areas,0,853553352.414884,42.013953488372096,75625.11627906977,1259914435.4074414,43.38976744186048,59753.67441860465,43.38976744186048,68291.49023255815,30.696046511627898,34.22,1.3479069767441858,1.223255813953488,1.3527906976744184,33.82837209302326,33.82837209302326,367192776126.3772,43.38976744186048,42.013953488372096,75.1446511627907,7.253953488372092,24.00744186046511,6.523720930232557,0.5560465116279072,65.80744186046512,1.0,0.3420930232558139,34.19255813953489,26.175348837209306,27.34441860465116,19.201627906976746,19.126511627906975,19.126511627906975,23030.33906976744,7369708.7441860465,23124.826279069766,7399944.465116279,192.0,1008.0,60.0,0.0,0.0,0.0,193536.0,2.519999999999999,32.0,5.0,32.0,10.0,25.83255813953488,40.36372093023256,30.0,46.88000000000007,111,0x7f5d52000000,0x7f5d520bd000,774144,5,60,1024.0,0.0,0.0,"0.3529995918367346, 0.3534157142857143, 0.35343906122448976, 0.35333067346938773, 0.352954469387755, 0.35305453061224484, 0.35336781632653064", 0
