Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,Costs,label,predicted label,Predicted cost,Predicted cost differential
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,23,46,4032,4032,"0.09308984615384616, 0.09314071428571429, 0.09314900000000001, 0.09313857142857143, 0.09315442857142857, 0.09313542857142856, 0.09316871428571427",0,0,0.09308984615384616,0.0
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,2,256,64,64,"0.09300346153846153, 0.09318657142857144, 0.09316928571428572, 0.09317542857142856, 0.09315542857142857, 0.09318257142857143, 0.093178",0,0,0.09300346153846153,0.0
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,12,47,4032,0,"0.09314914285714285, 0.092971, 0.093026, 0.093052, 0.092976, 0.093021, 0.09302200000000001",1,1,0.092971,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,"0.004470769230769231, 0.004965714285714287, 0.0049871428571428575, 0.005005714285714286, 0.004961428571428572, 0.0049557142857142855, 0.004968571428571429",0,0,0.004470769230769231,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.004883846153846154, 0.004847142857142857, 0.004842857142857143, 0.004847142857142857, 0.00483, 0.004847142857142857, 0.004862857142857143",5,5,0.004847142857142857,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,"0.004847755102040817, 0.00489, 0.00492, 0.00495, 0.0049, 0.0049, 0.0049299999999999995",0,0,0.004847755102040817,0.0
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,23,46,4032,4032,"0.09308984615384616, 0.09314071428571429, 0.09314900000000001, 0.09313857142857143, 0.09315442857142857, 0.09313542857142856, 0.09316871428571427",0,0,0.09308984615384616,0.0
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,2,256,64,64,"0.09300346153846153, 0.09318657142857144, 0.09316928571428572, 0.09317542857142856, 0.09315542857142857, 0.09318257142857143, 0.093178",0,0,0.09300346153846153,0.0
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,12,47,4032,0,"0.09314914285714285, 0.092971, 0.093026, 0.093052, 0.092976, 0.093021, 0.09302200000000001",1,1,0.092971,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,"0.004470769230769231, 0.004965714285714287, 0.0049871428571428575, 0.005005714285714286, 0.004961428571428572, 0.0049557142857142855, 0.004968571428571429",0,0,0.004470769230769231,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.004883846153846154, 0.004847142857142857, 0.004842857142857143, 0.004847142857142857, 0.00483, 0.004847142857142857, 0.004862857142857143",5,5,0.004847142857142857,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,"0.004847755102040817, 0.00489, 0.00492, 0.00495, 0.0049, 0.0049, 0.0049299999999999995",0,0,0.004847755102040817,0.0
0.18,0.08,6537.8,16,16,1016064,24.81,128,64,23,46,4032,4032,"0.09308984615384616, 0.09314071428571429, 0.09314900000000001, 0.09313857142857143, 0.09315442857142857, 0.09313542857142856, 0.09316871428571427",0,0,0.09308984615384616,0.0
0.18,0.08,6537.8,16,16,1016064,24.81,128,64,2,256,64,64,"0.09300346153846153, 0.09318657142857144, 0.09316928571428572, 0.09317542857142856, 0.09315542857142857, 0.09318257142857143, 0.093178",0,0,0.09300346153846153,0.0
0.18,0.08,6537.8,16,16,1016064,24.81,128,64,12,47,4032,0,"0.09314914285714285, 0.092971, 0.093026, 0.093052, 0.092976, 0.093021, 0.09302200000000001",1,1,0.092971,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,"0.004470769230769231, 0.004965714285714287, 0.0049871428571428575, 0.005005714285714286, 0.004961428571428572, 0.0049557142857142855, 0.004968571428571429",0,0,0.004470769230769231,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.004883846153846154, 0.004847142857142857, 0.004842857142857143, 0.004847142857142857, 0.00483, 0.004847142857142857, 0.004862857142857143",5,5,0.004847142857142857,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,"0.004847755102040817, 0.00489, 0.00492, 0.00495, 0.0049, 0.0049, 0.0049299999999999995",0,0,0.004847755102040817,0.0
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,23,46,4032,4032,"0.09308984615384616, 0.09314071428571429, 0.09314900000000001, 0.09313857142857143, 0.09315442857142857, 0.09313542857142856, 0.09316871428571427",0,0,0.09308984615384616,0.0
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,2,256,64,64,"0.09300346153846153, 0.09318657142857144, 0.09316928571428572, 0.09317542857142856, 0.09315542857142857, 0.09318257142857143, 0.093178",0,0,0.09300346153846153,0.0
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,12,47,4032,0,"0.09314914285714285, 0.092971, 0.093026, 0.093052, 0.092976, 0.093021, 0.09302200000000001",1,1,0.092971,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,"0.004470769230769231, 0.004965714285714287, 0.0049871428571428575, 0.005005714285714286, 0.004961428571428572, 0.0049557142857142855, 0.004968571428571429",0,0,0.004470769230769231,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.004883846153846154, 0.004847142857142857, 0.004842857142857143, 0.004847142857142857, 0.00483, 0.004847142857142857, 0.004862857142857143",5,5,0.004847142857142857,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,"0.004847755102040817, 0.00489, 0.00492, 0.00495, 0.0049, 0.0049, 0.0049299999999999995",0,0,0.004847755102040817,0.0
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,23,46,4032,4032,"0.09308984615384616, 0.09314071428571429, 0.09314900000000001, 0.09313857142857143, 0.09315442857142857, 0.09313542857142856, 0.09316871428571427",0,0,0.09308984615384616,0.0
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,2,256,64,64,"0.09300346153846153, 0.09318657142857144, 0.09316928571428572, 0.09317542857142856, 0.09315542857142857, 0.09318257142857143, 0.093178",0,0,0.09300346153846153,0.0
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,12,47,4032,0,"0.09314914285714285, 0.092971, 0.093026, 0.093052, 0.092976, 0.093021, 0.09302200000000001",1,1,0.092971,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,"0.004470769230769231, 0.004965714285714287, 0.0049871428571428575, 0.005005714285714286, 0.004961428571428572, 0.0049557142857142855, 0.004968571428571429",0,0,0.004470769230769231,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.004883846153846154, 0.004847142857142857, 0.004842857142857143, 0.004847142857142857, 0.00483, 0.004847142857142857, 0.004862857142857143",5,5,0.004847142857142857,0.0
0.0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,"0.004847755102040817, 0.00489, 0.00492, 0.00495, 0.0049, 0.0049, 0.0049299999999999995",0,0,0.004847755102040817,0.0
0.18,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,"0.09596830769230769, 0.096013, 0.09601328571428572, 0.09600957142857143, 0.09602057142857143, 0.09600857142857143, 0.09604957142857141",2,2,0.09601328571428572,0.0
0.18,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,"0.09588407692307693, 0.09606085714285716, 0.0960432857142857, 0.09604485714285714, 0.09603271428571428, 0.09605257142857142, 0.09603671428571428",0,0,0.09588407692307693,0.0
0.18,0.08,6765.6,16,16,1048576,25.6,128,64,12,46,4096,0,"0.09602146938775515, 0.09585199999999999, 0.095903, 0.095917, 0.095847, 0.095927, 0.09589199999999999",0,0,0.09602146938775515,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,"0.00467923076923077, 0.005151428571428571, 0.005152857142857142, 0.005138571428571429, 0.005121428571428571, 0.005137142857142857, 0.005127142857142857",0,0,0.00467923076923077,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.005088461538461537, 0.005014285714285714, 0.0050100000000000006, 0.005014285714285714, 0.00499, 0.005018571428571429, 0.005021428571428572",2,5,0.005018571428571429,8.571428571428098e-06
0.0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,"0.005011632653061225, 0.0051600000000000005, 0.00515, 0.005229999999999999, 0.00515, 0.0052, 0.00517",0,0,0.005011632653061225,0.0
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,"0.09596830769230769, 0.096013, 0.09601328571428572, 0.09600957142857143, 0.09602057142857143, 0.09600857142857143, 0.09604957142857141",2,0,0.09596830769230769,-4.497802197803158e-05
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,"0.09588407692307693, 0.09606085714285716, 0.0960432857142857, 0.09604485714285714, 0.09603271428571428, 0.09605257142857142, 0.09603671428571428",0,0,0.09588407692307693,0.0
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,12,46,4096,0,"0.09602146938775515, 0.09585199999999999, 0.095903, 0.095917, 0.095847, 0.095927, 0.09589199999999999",0,0,0.09602146938775515,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,"0.00467923076923077, 0.005151428571428571, 0.005152857142857142, 0.005138571428571429, 0.005121428571428571, 0.005137142857142857, 0.005127142857142857",0,0,0.00467923076923077,0.0
0.0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,"0.005088461538461537, 0.005014285714285714, 0.0050100000000000006, 0.005014285714285714, 0.00499, 0.005018571428571429, 0.005021428571428572",2,5,0.005018571428571429,8.571428571428098e-06
0.0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,"0.005011632653061225, 0.0051600000000000005, 0.00515, 0.005229999999999999, 0.00515, 0.0052, 0.00517",0,0,0.005011632653061225,0.0
