Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,Costs,label,predicted label
0.58,0.19,1270.87,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.58,0.19,1270.87,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.58,0.19,1270.87,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.58,0.19,1270.87,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.33,0.17,1184.25,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.33,0.17,1184.25,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.33,0.17,1184.25,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.33,0.17,1184.25,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.56,0.2,1275.18,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.56,0.2,1275.18,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.56,0.2,1275.18,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.56,0.2,1275.18,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.3,0.16,1238.73,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.3,0.16,1238.73,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.3,0.16,1238.73,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.3,0.16,1238.73,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.56,0.19,1302.13,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.56,0.19,1302.13,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.56,0.19,1302.13,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.56,0.19,1302.13,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.33,0.13,1562.42,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.33,0.13,1562.42,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.33,0.13,1562.42,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.33,0.13,1562.42,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.51,0.19,1444.31,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.51,0.19,1444.31,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.51,0.19,1444.31,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.51,0.19,1444.31,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
0.4,0.12,3284.85,512,21,1000448,6.11,5,4,24,6,7816.0,0.0,"14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089",0,0
0.4,0.12,3284.85,512,21,1000448,6.11,5,4,6,49,1024.0,0.0,"13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324",0,0
0.4,0.12,3284.85,512,21,1000448,6.11,5,4,4,1,1024.0,0.0,"1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538",0,0
0.4,0.12,3284.85,512,21,1000448,6.11,5,4,5,3,1024.0,0.0,"11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677",0,0
0.21,0.06,2019.23,512,16,1000448,6.11,8,4,24,6,7816.0,0.0,"1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747",4,4
0.21,0.06,2019.23,512,16,1000448,6.11,8,4,6,49,1024.0,0.0,"0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392",1,1
0.21,0.06,2019.23,512,16,1000448,6.11,8,4,4,1,1024.0,0.0,"0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724",1,1
0.21,0.06,2019.23,512,16,1000448,6.11,8,4,5,3,1024.0,0.0,"0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272",1,1
