Benchmark,Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
bfs,0.58,0.19,1270.87,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.58,0.19,1270.87,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.58,0.19,1270.87,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.58,0.19,1270.87,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.33,0.17,1184.25,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.33,0.17,1184.25,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.33,0.17,1184.25,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.33,0.17,1184.25,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.56,0.2,1275.18,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.56,0.2,1275.18,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.56,0.2,1275.18,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.56,0.2,1275.18,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.3,0.16,1238.73,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.3,0.16,1238.73,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.3,0.16,1238.73,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.3,0.16,1238.73,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.56,0.19,1302.13,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.56,0.19,1302.13,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.56,0.19,1302.13,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.56,0.19,1302.13,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.33,0.13,1562.42,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.33,0.13,1562.42,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.33,0.13,1562.42,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.33,0.13,1562.42,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.51,0.19,1444.31,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.51,0.19,1444.31,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.51,0.19,1444.31,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.51,0.19,1444.31,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.4,0.12,3284.85,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.4,0.12,3284.85,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.4,0.12,3284.85,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.4,0.12,3284.85,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.21,0.06,2019.23,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.21,0.06,2019.23,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.21,0.06,2019.23,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.21,0.06,2019.23,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.61,0.17,10642.59,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.61,0.17,10642.59,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.61,0.17,10642.59,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.61,0.17,10642.59,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.15,0.04,2707.78,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.15,0.04,2707.78,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.15,0.04,2707.78,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.15,0.04,2707.78,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.56,0.15,22622.66,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.56,0.15,22622.66,512,21,1000448,6.11,5,4,6,49,1024,0,A
