Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,23,46,4032,4032,A
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,2,256,64,64,A
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,12,47,4032,0,B
0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,A
0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,F
0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,A
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,23,46,4032,4032,A
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,2,256,64,64,A
0.18,0.08,6555.94,16,16,1016064,24.81,128,64,12,47,4032,0,B
0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,A
0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,F
0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,A
0.18,0.08,6537.8,16,16,1016064,24.81,128,64,23,46,4032,4032,A
0.18,0.08,6537.8,16,16,1016064,24.81,128,64,2,256,64,64,A
0.18,0.08,6537.8,16,16,1016064,24.81,128,64,12,47,4032,0,B
0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,A
0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,F
0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,A
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,23,46,4032,4032,A
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,2,256,64,64,A
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,12,47,4032,0,B
0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,A
0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,F
0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,A
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,23,46,4032,4032,A
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,2,256,64,64,A
0.18,0.08,6524.46,16,16,1016064,24.81,128,64,12,47,4032,0,B
0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,A
0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,F
0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,A
0.18,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,C
0.18,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,A
0.18,0.08,6765.6,16,16,1048576,25.6,128,64,12,46,4096,0,A
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,C
0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,C
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,A
0.19,0.08,6765.6,16,16,1048576,25.6,128,64,12,46,4096,0,A
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,C
0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,A
0.18,0.08,6747.17,16,16,1048576,25.6,128,64,26,282,4160,4160,C
0.18,0.08,6747.17,16,16,1048576,25.6,128,64,2,256,64,64,A
0.18,0.08,6747.17,16,16,1048576,25.6,128,64,12,46,4096,0,A
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,C
0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,C
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,A
0.18,0.08,6733.62,16,16,1048576,25.6,128,64,12,46,4096,0,A
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,C
0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,A
0.18,0.09,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,C
0.18,0.09,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,A
0.18,0.09,6733.62,16,16,1048576,25.6,128,64,12,46,4096,0,A
0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,A
0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,C
0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,A
0.05,0.04,81.64,16,16,12544,0.31,128,64,2,56,64,64,B
0.05,0.04,81.64,16,16,12544,0.31,128,64,0,0,0,0,E
0.05,0.04,81.64,16,16,12544,0.31,128,64,1,8,64,0,A
0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,A
0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,D
0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,A
0.05,0.04,81.64,16,16,12544,0.31,128,64,2,56,64,64,B
0.05,0.04,81.64,16,16,12544,0.31,128,64,0,0,0,0,E
0.05,0.04,81.64,16,16,12544,0.31,128,64,1,8,64,0,A
0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,A
0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,D
0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,A
0.05,0.04,79.6,16,16,12544,0.31,128,64,2,56,64,64,B
0.05,0.04,79.6,16,16,12544,0.31,128,64,0,0,0,0,E
0.05,0.04,79.6,16,16,12544,0.31,128,64,1,8,64,0,A
0,0.06,0.99,512,17,512,0,5,4,2,56,64,64,A
0,0.06,0.99,512,17,512,0,5,4,0,0,0,0,D
0,0.06,0.99,512,17,512,0,5,4,1,8,64,0,A
0.05,0.04,78.16,16,16,12544,0.31,128,64,2,56,64,64,B
0.05,0.04,78.16,16,16,12544,0.31,128,64,0,0,0,0,E
0.05,0.04,78.16,16,16,12544,0.31,128,64,1,8,64,0,A
0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,A
0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,D
0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,A
0.05,0.04,78.16,16,16,12544,0.31,128,64,2,56,64,64,B
0.05,0.04,78.16,16,16,12544,0.31,128,64,0,0,0,0,E
0.05,0.04,78.16,16,16,12544,0.31,128,64,1,8,64,0,A
0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,A
0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,D
0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,A
0.06,0.05,106.5,16,16,16384,0.4,128,64,4,64,128,128,A
0.06,0.05,106.5,16,16,16384,0.4,128,64,2,8,64,64,A
0.06,0.05,106.5,16,16,16384,0.4,128,64,1,1,64,0,G
0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,A
0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,E
0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,A
0.06,0.04,106.5,16,16,16384,0.4,128,64,4,64,128,128,A
0.06,0.04,106.5,16,16,16384,0.4,128,64,2,8,64,64,A
0.06,0.04,106.5,16,16,16384,0.4,128,64,1,1,64,0,G
0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,A
0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,E
0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,A
0.06,0.04,104.17,16,16,16384,0.4,128,64,4,64,128,128,A
0.06,0.04,104.17,16,16,16384,0.4,128,64,2,8,64,64,A
0.06,0.04,104.17,16,16,16384,0.4,128,64,1,1,64,0,G
0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,A
0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,E
0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,A
0.06,0.05,102.53,16,16,16384,0.4,128,64,4,64,128,128,A
0.06,0.05,102.53,16,16,16384,0.4,128,64,2,8,64,64,A
0.06,0.05,102.53,16,16,16384,0.4,128,64,1,1,64,0,G
0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,A
0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,E
0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,A
0.06,0.04,102.53,16,16,16384,0.4,128,64,4,64,128,128,A
0.06,0.04,102.53,16,16,16384,0.4,128,64,2,8,64,64,A
0.06,0.04,102.53,16,16,16384,0.4,128,64,1,1,64,0,G
0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,A
0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,E
0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,A
0.07,0.05,134.66,16,16,20736,0.51,128,64,4,68,128,128,B
0.07,0.05,134.66,16,16,20736,0.51,128,64,0,0,0,0,A
0.07,0.05,134.66,16,16,20736,0.51,128,64,1,6,64,0,A
0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,A
0.07,0.05,134.66,16,16,20736,0.51,128,64,4,68,128,128,B
0.07,0.05,134.66,16,16,20736,0.51,128,64,0,0,0,0,A
0.07,0.05,134.66,16,16,20736,0.51,128,64,1,6,64,0,A
0,0.05,1.11,512,17,512,0,5,4,4,68,128,128,A
0,0.05,1.11,512,17,512,0,5,4,0,0,0,0,C
