@relation AWS_top5_2689data-weka.filters.unsupervised.instance.RemovePercentage-P40.0

@attribute Benchmark {bfs,cfd,hotspot,gaussian}
@attribute InputData {graph1MW.6,graph4096,graph65536,097K,193K,missile0.2M,1024,128,2048,256,4096,512,64,8192,1008,112,144,16,160,176,192,208,224,240,272,288,304,32,320,336,352,368,384,400,416,432,448,464,48,480,496,528,544,560,576,592,608,624,640,656,672,688,704,720,736,752,768,784,80,800,816,832,848,864,880,896,912,928,944,96,960,976,992,matrix1024,matrix16,matrix208,matrix3,matrix304,matrix32,matrix320,matrix336,matrix368,matrix384,matrix4}
@attribute Data {h_graph_nodes,h_graph_mask,h_updating_graph_mask,h_graph_visited,h_areas,h_elements_surrounding_elements,h_normals,FilesavingTemp,FilesavingPower,a,b,m}
@attribute DataID numeric
@attribute Kernel {Kernel2,Kernel,cuda_compute_step_factor,cuda_compute_flux,cuda_time_step,calculate_temp,Fan2,Fan1}
@attribute 'Memory Frequency' numeric
@attribute 'SOL FB' numeric
@attribute 'Elapsed Cycles' numeric
@attribute 'SM Frequency' numeric
@attribute 'Memory [\%]' numeric
@attribute Duration numeric
@attribute 'SOL L2' numeric
@attribute 'SM Active Cycles' numeric
@attribute 'SM [\%]' numeric
@attribute 'SOL TEX' numeric
@attribute 'Executed Ipc Active' numeric
@attribute 'Executed Ipc Elapsed' numeric
@attribute 'Issued Ipc Active' numeric
@attribute 'Issue Slots Busy' numeric
@attribute 'SM Busy' numeric
@attribute 'Memory Throughput' numeric
@attribute 'Mem Busy' numeric
@attribute 'Max Bandwidth' numeric
@attribute 'L2 Hit Rate' numeric
@attribute 'Mem Pipes Busy' numeric
@attribute 'L1 Hit Rate' numeric
@attribute 'Active Warps Per Scheduler' numeric
@attribute 'Eligible Warps Per Scheduler' numeric
@attribute 'No Eligible' numeric
@attribute 'Instructions Per Active Issue Slot' numeric
@attribute 'Issued Warp Per Scheduler' numeric
@attribute 'One or More Eligible' numeric
@attribute 'Avg. Not Predicated Off Threads Per Warp' numeric
@attribute 'Avg. Active Threads Per Warp' numeric
@attribute 'Warp Cycles Per Executed Instruction' numeric
@attribute 'Warp Cycles Per Issued Instruction' numeric
@attribute 'Warp Cycles Per Issue Active' numeric
@attribute 'Avg. Executed Instructions Per Scheduler' numeric
@attribute 'Executed Instructions' numeric
@attribute 'Avg. Issued Instructions Per Scheduler' numeric
@attribute 'Issued Instructions' numeric
@attribute 'Block Size' numeric
@attribute 'Grid Size' numeric
@attribute 'Registers Per Thread' numeric
@attribute 'Shared Memory Configuration Size' numeric
@attribute 'Dynamic Shared Memory Per Block' numeric
@attribute 'Static Shared Memory Per Block' numeric
@attribute Threads numeric
@attribute 'Waves Per SM' numeric
@attribute 'Block Limit SM' numeric
@attribute 'Block Limit Registers' numeric
@attribute 'Block Limit Shared Mem' numeric
@attribute 'Block Limit Warps' numeric
@attribute 'Achieved Active Warps Per SM' numeric
@attribute 'Achieved Occupancy' numeric
@attribute 'Theoretical Active Warps per SM' numeric
@attribute 'Theoretical Occupancy' numeric
@attribute variant numeric
@attribute BeginAddr {0x7f70b6000000,0x7f70b6800000,0x7f70b68f4400,0x7f70b6a00000,0x7f24c2000000,0x7f24c2008000,0x7f24c2009000,0x7f24c200a000,0x7f8c98000000,0x7f8c98080000,0x7f8c98090000,0x7f8c980a0000,0x7fd202000000,0x7fd20205ee00,0x7fd202200000,0x7f5d52000000,0x7f5d52200000,0x7f5d52600000,0x7f0c92000000,0x7f0c92200000,0x7f0c92600000,0x7fe8b2000000,0x7fe8b2400000,0x7f79d6000000,0x7f79d6010000,0x7f8376000000,0x7f8377000000,0x7f513e000000,0x7f513e040000,0x7fa626000000,0x7fa622000000,0x7f6ba6000000,0x7f6ba6100000,0x7fa782000000,0x7fa782004000,0x7f0f4a000000,0x7f0f34000000,0x200060000000,0x200060400000,0x200060600000,0x20006000c400,0x20006000c600,0x200060010000,0x200060010200,0x200060014400,0x200060014800,0x200060000400,0x200060000600,0x200060019000,0x200060019400,0x20006001e400,0x20006001e800,0x200060024000,0x200060024400,0x20006002a400,0x20006002a800,0x200060031000,0x200060031400,0x200060038400,0x200060038800,0x200060040000,0x200060040400,0x200060048400,0x200060048a00,0x200060051000,0x200060051600,0x20006005a400,0x20006005aa00,0x200060001000,0x200060001200,0x200060064000,0x200060064600,0x20006006e400,0x20006006ea00,0x200060079000,0x200060079600,0x200060084400,0x200060084a00,0x200060090000,0x200060090600,0x20006009c400,0x20006009cc00,0x2000600a9000,0x2000600a9800,0x2000600b6400,0x2000600b6c00,0x2000600c4000,0x2000600c4800,0x2000600d2400,0x2000600d2c00,0x200060002400,0x200060002600,0x2000600e1000,0x2000600e1800,0x2000600f0400,0x2000600f0c00,0x200060100000,0x200060200000,0x200060110400,0x200060121000,0x200060132400,0x200060144000,0x200060156400,0x200060169000,0x20006017c400,0x200060004000,0x200060004200,0x200060190000,0x2000601a4400,0x2000601b9000,0x2000601ce400,0x2000601e4000,0x2000601fa400,0x200060006400,0x200060006600,0x200060009000,0x200060009200,0x200060000200}
@attribute EndAddr {0x7f70b67a1200,0x7f70b68f4240,0x7f70b69e8640,0x7f70b6af4240,0x7f24c2008000,0x7f24c2009000,0x7f24c200a000,0x7f24c200b000,0x7f8c98080000,0x7f8c98090000,0x7f8c980a0000,0x7f8c980b0000,0x7fd20205ee00,0x7fd2021da600,0x7fd202672800,0x7f5d520bd000,0x7f5d524f4000,0x7f5d52edc000,0x7f0c920e3400,0x7f0c9258d000,0x7f0c930a7000,0x7fe8b2400000,0x7fe8b2800000,0x7f79d6010000,0x7f79d6020000,0x7f8377000000,0x7f8378000000,0x7f513e040000,0x7f513e080000,0x7fa62a000000,0x7fa626000000,0x7f6ba6100000,0x7f6ba6200000,0x7fa782004000,0x7fa782008000,0x7f0f5a000000,0x7f0f44000000,0x2000603e0400,0x200060400fc0,0x2000609e0400,0x200060400000,0x200060401000,0x200060a00000,0x20006000c400,0x20006000c5c0,0x200060018a00,0x200060010000,0x200060010200,0x200060020200,0x200060014400,0x200060014640,0x200060028c00,0x200060000400,0x200060000440,0x200060000a00,0x200060019000,0x200060019280,0x200060032400,0x20006001e400,0x20006001e6c0,0x20006003cc00,0x200060024000,0x200060024300,0x200060048400,0x20006002a400,0x20006002a740,0x200060054c00,0x200060031000,0x200060031380,0x200060062400,0x200060038400,0x2000600387c0,0x200060070c00,0x200060040000,0x200060040400,0x200060080400,0x200060048840,0x200060090e00,0x200060051000,0x200060051480,0x2000600a2600,0x20006005a400,0x20006005a8c0,0x2000600b4e00,0x200060001000,0x200060001080,0x200060002200,0x200060064000,0x200060064500,0x2000600c8600,0x20006006e400,0x20006006e940,0x2000600dce00,0x200060079000,0x200060079580,0x2000600f2600,0x200060084400,0x2000600849c0,0x200060108e00,0x200060090000,0x200060090600,0x200060120600,0x20006009c400,0x20006009ca40,0x200060139000,0x2000600a9000,0x2000600a9680,0x200060152800,0x2000600b6400,0x2000600b6ac0,0x20006016d000,0x2000600c4000,0x2000600c4700,0x200060188800,0x2000600d2400,0x2000600d2b40,0x2000601a5000,0x200060002400,0x2000600024c0,0x200060004a00,0x2000600e1000,0x2000600e1780,0x2000601c2800,0x2000600f0400,0x2000600f0bc0,0x2000601e1000,0x200060100000,0x200060100800,0x200060300000,0x200060110400,0x200060110c40,0x200060310400,0x200060121000,0x200060121880,0x200060321000,0x200060132400,0x200060132cc0,0x200060332400,0x200060144000,0x200060144900,0x200060344000,0x200060156400,0x200060156d40,0x200060356400,0x200060169000,0x200060169980,0x200060369000,0x20006017c400,0x20006017cdc0,0x20006037c400,0x200060004000,0x200060004100,0x200060008200,0x200060190000,0x200060190a00,0x200060390000,0x2000601a4400,0x2000601a4e40,0x2000603a4400,0x2000601b9000,0x2000601b9a80,0x2000603b9000,0x2000601ce400,0x2000601ceec0,0x2000603ce400,0x2000601e4000,0x2000601e4b00,0x2000603e4000,0x2000601fa400,0x2000601faf40,0x2000603fa400,0x200060211000,0x200060400b80,0x200060811000,0x200060228400,0x200060400bc0,0x200060828400,0x200060240000,0x200060400c00,0x200060840000,0x200060258400,0x200060400c40,0x200060858400,0x200060006400,0x200060006540,0x20006000ca00,0x200060271000,0x200060400c80,0x200060871000,0x20006028a400,0x200060400cc0,0x20006088a400,0x2000602a4000,0x200060400d00,0x2000608a4000,0x2000602be400,0x200060400d40,0x2000608be400,0x2000602d9000,0x200060400d80,0x2000608d9000,0x2000602f4400,0x200060400dc0,0x2000608f4400,0x200060310000,0x200060400e00,0x200060910000,0x20006032c400,0x200060400e40,0x20006092c400,0x200060349000,0x200060400e80,0x200060949000,0x200060366400,0x200060400ec0,0x200060966400,0x200060009000,0x200060009180,0x200060012200,0x200060384000,0x200060400f00,0x200060984000,0x2000603a2400,0x200060400f40,0x2000609a2400,0x2000603c1000,0x200060400f80,0x2000609c1000,0x200060000024,0x20006000020c,0x200060000424,0x200060000040,0x200060000210}
@attribute DataSize numeric
@attribute CPUPageFault numeric
@attribute GPUPagePault numeric
@attribute HtoD numeric
@attribute DtoH numeric
@attribute RemoteMap numeric
@attribute label numeric

@data
gaussian,352,b,1,Fan2,828729281.8,12.62,21512,1236849678,16.61,17376,16.61,16625.54,3.7,9.27,0.19,0.15,0.19,4.78,4.78,107057000000,16.61,12.62,87.94,3.13,46.83,1.58,0.05,94.67,1,0.05,5.33,14.48,15.93,29.77,29.59,29.59,790.1,252832,794.92,254376,16,7744,16,0,0,0,123904,3.02,32,128,32,64,5.71,8.92,32,50,111,0x200060079000,0x200060079580,1408,0,0,0,0,0,6
gaussian,352,m,2,Fan2,828729281.8,12.62,21512,1236849678,16.61,17376,16.61,16625.54,3.7,9.27,0.19,0.15,0.19,4.78,4.78,107057000000,16.61,12.62,87.94,3.13,46.83,1.58,0.05,94.67,1,0.05,5.33,14.48,15.93,29.77,29.59,29.59,790.1,252832,794.92,254376,16,7744,16,0,0,0,123904,3.02,32,128,32,64,5.71,8.92,32,50,111,0x200060079600,0x2000600f2600,495616,1,5,512,0,0,2
gaussian,352,a,0,Fan1,673529411.8,2.92,5468,1004718137,2.92,5440,0.46,32.9,0.04,45.55,0.22,0,0.24,5.94,5.94,20170588235,0.35,2.92,51.1,0.03,1.42,2.96,0.09,93.02,1,0.07,6.98,28.97,31.6,45.02,42.43,42.43,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.31,16.11,64,100,111,0x200060000000,0x200060079000,495616,8,43,512,512,0,0
gaussian,352,b,1,Fan1,673529411.8,2.92,5468,1004718137,2.92,5440,0.46,32.9,0.04,45.55,0.22,0,0.24,5.94,5.94,20170588235,0.35,2.92,51.1,0.03,1.42,2.96,0.09,93.02,1,0.07,6.98,28.97,31.6,45.02,42.43,42.43,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.31,16.11,64,100,111,0x200060079000,0x200060079580,1408,0,0,0,0,0,0
gaussian,352,m,2,Fan1,673529411.8,2.92,5468,1004718137,2.92,5440,0.46,32.9,0.04,45.55,0.22,0,0.24,5.94,5.94,20170588235,0.35,2.92,51.1,0.03,1.42,2.96,0.09,93.02,1,0.07,6.98,28.97,31.6,45.02,42.43,42.43,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.31,16.11,64,100,111,0x200060079600,0x2000600f2600,495616,1,5,512,0,0,0
gaussian,352,a,0,Fan2,834879406.3,12.66,21493,1244037956,18.75,17248,18.75,16465.56,3.7,10.16,0.19,0.15,0.19,4.83,4.83,108219000000,18.75,12.66,91.73,3.13,52.14,1.51,0.05,94.69,1,0.05,5.31,14.43,15.88,28.53,28.36,28.36,790.1,252832,794.96,254386,16,7744,16,0,0,0,123904,3.02,32,128,32,64,5.66,8.84,32,50,111,0x200060000000,0x200060079000,495616,8,43,512,512,0,2
gaussian,352,b,1,Fan2,834879406.3,12.66,21493,1244037956,18.75,17248,18.75,16465.56,3.7,10.16,0.19,0.15,0.19,4.83,4.83,108219000000,18.75,12.66,91.73,3.13,52.14,1.51,0.05,94.69,1,0.05,5.31,14.43,15.88,28.53,28.36,28.36,790.1,252832,794.96,254386,16,7744,16,0,0,0,123904,3.02,32,128,32,64,5.66,8.84,32,50,111,0x200060079000,0x200060079580,1408,0,0,0,0,0,6
gaussian,352,m,2,Fan2,834879406.3,12.66,21493,1244037956,18.75,17248,18.75,16465.56,3.7,10.16,0.19,0.15,0.19,4.83,4.83,108219000000,18.75,12.66,91.73,3.13,52.14,1.51,0.05,94.69,1,0.05,5.31,14.43,15.88,28.53,28.36,28.36,790.1,252832,794.96,254386,16,7744,16,0,0,0,123904,3.02,32,128,32,64,5.66,8.84,32,50,111,0x200060079600,0x2000600f2600,495616,1,5,512,0,0,2
gaussian,352,a,0,Fan1,731250000,2.83,5576,1088899740,2.83,5120,0.44,29.25,0.04,51.11,0.25,0,0.27,6.68,6.68,21168750000,0.34,2.83,51.11,0.03,1.43,2.75,0.09,93.26,1,0.07,6.74,28.91,31.54,43.37,40.87,40.87,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.79,16.86,64,100,111,0x200060000000,0x200060079000,495616,8,43,512,512,0,0
gaussian,352,b,1,Fan1,731250000,2.83,5576,1088899740,2.83,5120,0.44,29.25,0.04,51.11,0.25,0,0.27,6.68,6.68,21168750000,0.34,2.83,51.11,0.03,1.43,2.75,0.09,93.26,1,0.07,6.74,28.91,31.54,43.37,40.87,40.87,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.79,16.86,64,100,111,0x200060079000,0x200060079580,1408,0,0,0,0,0,0
gaussian,352,m,2,Fan1,731250000,2.83,5576,1088899740,2.83,5120,0.44,29.25,0.04,51.11,0.25,0,0.27,6.68,6.68,21168750000,0.34,2.83,51.11,0.03,1.43,2.75,0.09,93.26,1,0.07,6.74,28.91,31.54,43.37,40.87,40.87,1.84,589,1.95,625,512,1,17,0,0,0,512,0,32,5,32,4,10.79,16.86,64,100,111,0x200060079600,0x2000600f2600,495616,1,5,512,0,0,0
gaussian,368,a,0,Fan2,838821490.5,12.5,23131,1250649913,22.08,18464,22.08,18723.11,3.81,9.87,0.19,0.15,0.19,4.7,4.7,107407000000,22.08,12.5,93.15,3.23,52.57,1.6,0.05,95,1,0.05,5,14.44,15.88,32.08,31.93,31.93,875.44,280140,879.5,281439,16,8464,16,0,0,0,135424,3.31,32,128,32,64,6.13,9.58,32,50,111,0x200060000000,0x200060084400,541696,10,38,576,576,0,1
gaussian,368,b,1,Fan2,838821490.5,12.5,23131,1250649913,22.08,18464,22.08,18723.11,3.81,9.87,0.19,0.15,0.19,4.7,4.7,107407000000,22.08,12.5,93.15,3.23,52.57,1.6,0.05,95,1,0.05,5,14.44,15.88,32.08,31.93,31.93,875.44,280140,879.5,281439,16,8464,16,0,0,0,135424,3.31,32,128,32,64,6.13,9.58,32,50,111,0x200060084400,0x2000600849c0,1472,0,0,0,0,0,5
gaussian,368,m,2,Fan2,838821490.5,12.5,23131,1250649913,22.08,18464,22.08,18723.11,3.81,9.87,0.19,0.15,0.19,4.7,4.7,107407000000,22.08,12.5,93.15,3.23,52.57,1.6,0.05,95,1,0.05,5,14.44,15.88,32.08,31.93,31.93,875.44,280140,879.5,281439,16,8464,16,0,0,0,135424,3.31,32,128,32,64,6.13,9.58,32,50,111,0x200060084a00,0x200060108e00,541696,1,9,512,0,0,0
gaussian,368,a,0,Fan1,662721893.5,3.12,5377,994206114.4,3.12,5408,0.48,30.01,0.04,52.31,0.26,0,0.28,6.91,6.91,21177514793,0.36,3.12,51.05,0.04,1.48,2.78,0.1,92.83,1,0.07,7.17,28.26,30.82,40.98,38.76,38.76,1.96,628,2.08,664,512,1,17,0,0,0,512,0,32,5,32,4,11.32,17.68,64,100,111,0x200060000000,0x200060084400,541696,10,38,576,576,0,0
gaussian,368,b,1,Fan1,662721893.5,3.12,5377,994206114.4,3.12,5408,0.48,30.01,0.04,52.31,0.26,0,0.28,6.91,6.91,21177514793,0.36,3.12,51.05,0.04,1.48,2.78,0.1,92.83,1,0.07,7.17,28.26,30.82,40.98,38.76,38.76,1.96,628,2.08,664,512,1,17,0,0,0,512,0,32,5,32,4,11.32,17.68,64,100,111,0x200060084400,0x2000600849c0,1472,0,0,0,0,0,0
gaussian,368,m,2,Fan1,662721893.5,3.12,5377,994206114.4,3.12,5408,0.48,30.01,0.04,52.31,0.26,0,0.28,6.91,6.91,21177514793,0.36,3.12,51.05,0.04,1.48,2.78,0.1,92.83,1,0.07,7.17,28.26,30.82,40.98,38.76,38.76,1.96,628,2.08,664,512,1,17,0,0,0,512,0,32,5,32,4,11.32,17.68,64,100,111,0x200060084a00,0x200060108e00,541696,1,9,512,0,0,0
gaussian,368,a,0,Fan2,833620689.7,12.32,23098,1242241379,22.37,18560,22.37,18508.61,3.81,9.79,0.19,0.15,0.19,4.75,4.75,105155000000,22.37,12.32,93.07,3.23,52.76,1.65,0.05,94.92,1,0.05,5.08,14.39,15.83,32.67,32.52,32.52,875.44,280140,879.5,281440,16,8464,16,0,0,0,135424,3.31,32,128,32,64,6.17,9.64,32,50,111,0x200060000000,0x200060084400,541696,10,38,576,576,0,1
gaussian,368,b,1,Fan2,833620689.7,12.32,23098,1242241379,22.37,18560,22.37,18508.61,3.81,9.79,0.19,0.15,0.19,4.75,4.75,105155000000,22.37,12.32,93.07,3.23,52.76,1.65,0.05,94.92,1,0.05,5.08,14.39,15.83,32.67,32.52,32.52,875.44,280140,879.5,281440,16,8464,16,0,0,0,135424,3.31,32,128,32,64,6.17,9.64,32,50,111,0x200060084400,0x2000600849c0,1472,0,0,0,0,0,5
gaussian,368,m,2,Fan2,833620689.7,12.32,23098,1242241379,22.37,18560,22.37,18508.61,3.81,9.79,0.19,0.15,0.19,4.75,4.75,105155000000,22.37,12.32,93.07,3.23,52.76,1.65,0.05,94.92,1,0.05,5.08,14.39,15.83,32.67,32.52,32.52,875.44,280140,879.5,281440,16,8464,16,0,0,0,135424,3.31,32,128,32,64,6.17,9.64,32,50,111,0x200060084a00,0x200060108e00,541696,1,9,512,0,0,0
