@relation IBM_2688-weka.filters.unsupervised.instance.RemovePercentage-P40.0-V

@attribute Benchmark {gaussian,bfs,cfd,hotspot}
@attribute InputData string
@attribute Data {a,b,m,h_graph_nodes,h_graph_mask,h_updating_graph_mask,h_graph_visited,h_areas,h_elements_surrounding_elements,h_normals,calculate_temp}
@attribute DataID string
@attribute Kernel {Fan2,Fan1,Kernel2,Kernel,cuda_compute_step_factor,cuda_compute_flux,cuda_time_step,0,1}
@attribute 'Memory Frequency' numeric
@attribute 'SOL FB' numeric
@attribute 'Elapsed Cycles' numeric
@attribute 'SM Frequency' numeric
@attribute 'Memory [\%]' numeric
@attribute Duration numeric
@attribute 'SOL L2' numeric
@attribute 'SM Active Cycles' numeric
@attribute 'SM [\%]' numeric
@attribute 'SOL TEX' numeric
@attribute 'Executed Ipc Active' numeric
@attribute 'Executed Ipc Elapsed' numeric
@attribute 'Issued Ipc Active' numeric
@attribute 'Issue Slots Busy' numeric
@attribute 'SM Busy' numeric
@attribute 'Memory Throughput' numeric
@attribute 'Mem Busy' numeric
@attribute 'Max Bandwidth' numeric
@attribute 'L2 Hit Rate' numeric
@attribute 'Mem Pipes Busy' numeric
@attribute 'L1 Hit Rate' numeric
@attribute 'Active Warps Per Scheduler' numeric
@attribute 'Eligible Warps Per Scheduler' numeric
@attribute 'No Eligible' numeric
@attribute 'Instructions Per Active Issue Slot' numeric
@attribute 'Issued Warp Per Scheduler' numeric
@attribute 'One or More Eligible' numeric
@attribute 'Avg. Not Predicated Off Threads Per Warp' numeric
@attribute 'Avg. Active Threads Per Warp' numeric
@attribute 'Warp Cycles Per Executed Instruction' numeric
@attribute 'Warp Cycles Per Issued Instruction' numeric
@attribute 'Warp Cycles Per Issue Active' numeric
@attribute 'Avg. Executed Instructions Per Scheduler' numeric
@attribute 'Executed Instructions' numeric
@attribute 'Avg. Issued Instructions Per Scheduler' numeric
@attribute 'Issued Instructions' numeric
@attribute 'Block Size' numeric
@attribute 'Grid Size' numeric
@attribute 'Registers Per Thread' numeric
@attribute 'Shared Memory Configuration Size' numeric
@attribute 'Dynamic Shared Memory Per Block' numeric
@attribute 'Static Shared Memory Per Block' numeric
@attribute Threads numeric
@attribute 'Waves Per SM' numeric
@attribute 'Block Limit SM' numeric
@attribute 'Block Limit Registers' numeric
@attribute 'Block Limit Shared Mem' numeric
@attribute 'Block Limit Warps' numeric
@attribute 'Achieved Active Warps Per SM' numeric
@attribute 'Achieved Occupancy' numeric
@attribute 'Theoretical Active Warps per SM' numeric
@attribute 'Theoretical Occupancy' numeric
@attribute variant numeric
@attribute BeginAddr {0x200060000000,0x200060400000,0x200060600000,0x20006000c400,0x20006000c600,0x200060010000,0x200060010200,0x200060014400,0x200060014800,0x200060000400,0x200060000600,0x200060019000,0x200060019400,0x20006001e400,0x20006001e800,0x200060024000,0x200060024400,0x20006002a400,0x20006002a800,0x200060031000,0x200060031400,0x200060038400,0x200060038800,0x200060040000,0x200060040400,0x200060048400,0x200060048a00,0x200060051000,0x200060051600,0x20006005a400,0x20006005aa00,0x200060001000,0x200060001200,0x200060064000,0x200060064600,0x20006006e400,0x20006006ea00,0x200060079000,0x200060079600,0x200060084400,0x200060084a00,0x200060090000,0x200060090600,0x20006009c400,0x20006009cc00,0x2000600a9000,0x2000600a9800,0x2000600b6400,0x2000600b6c00,0x2000600c4000,0x2000600c4800,0x2000600d2400,0x2000600d2c00,0x200060002400,0x200060002600,0x2000600e1000,0x2000600e1800,0x2000600f0400,0x2000600f0c00,0x200060100000,0x200060200000,0x200060110400,0x200060121000,0x200060132400,0x200060144000,0x200060156400,0x200060169000,0x20006017c400,0x200060004000,0x200060004200,0x200060190000,0x2000601a4400,0x2000601b9000,0x2000601ce400,0x2000601e4000,0x2000601fa400,0x200060006400,0x200060006600,0x200060009000,0x200060009200,0x200060000200,0x200060800000,0x2000608f4400,0x200060a00000,0x200060008000,0x20006000a000,0x200060080000,0x2000600a0000,0x20006005ee00,0x200061000000,0x200064000000,0x200070000000}
@attribute EndAddr {0x2000603e0400,0x200060400fc0,0x2000609e0400,0x200060400000,0x200060401000,0x200060a00000,0x20006000c400,0x20006000c5c0,0x200060018a00,0x200060010000,0x200060010200,0x200060020200,0x200060014400,0x200060014640,0x200060028c00,0x200060000400,0x200060000440,0x200060000a00,0x200060019000,0x200060019280,0x200060032400,0x20006001e400,0x20006001e6c0,0x20006003cc00,0x200060024000,0x200060024300,0x200060048400,0x20006002a400,0x20006002a740,0x200060054c00,0x200060031000,0x200060031380,0x200060062400,0x200060038400,0x2000600387c0,0x200060070c00,0x200060040000,0x200060040400,0x200060080400,0x200060048840,0x200060090e00,0x200060051000,0x200060051480,0x2000600a2600,0x20006005a400,0x20006005a8c0,0x2000600b4e00,0x200060001000,0x200060001080,0x200060002200,0x200060064000,0x200060064500,0x2000600c8600,0x20006006e400,0x20006006e940,0x2000600dce00,0x200060079000,0x200060079580,0x2000600f2600,0x200060084400,0x2000600849c0,0x200060108e00,0x200060090000,0x200060090600,0x200060120600,0x20006009c400,0x20006009ca40,0x200060139000,0x2000600a9000,0x2000600a9680,0x200060152800,0x2000600b6400,0x2000600b6ac0,0x20006016d000,0x2000600c4000,0x2000600c4700,0x200060188800,0x2000600d2400,0x2000600d2b40,0x2000601a5000,0x200060002400,0x2000600024c0,0x200060004a00,0x2000600e1000,0x2000600e1780,0x2000601c2800,0x2000600f0400,0x2000600f0bc0,0x2000601e1000,0x200060100000,0x200060100800,0x200060300000,0x200060110400,0x200060110c40,0x200060310400,0x200060121000,0x200060121880,0x200060321000,0x200060132400,0x200060132cc0,0x200060332400,0x200060144000,0x200060144900,0x200060344000,0x200060156400,0x200060156d40,0x200060356400,0x200060169000,0x200060169980,0x200060369000,0x20006017c400,0x20006017cdc0,0x20006037c400,0x200060004000,0x200060004100,0x200060008200,0x200060190000,0x200060190a00,0x200060390000,0x2000601a4400,0x2000601a4e40,0x2000603a4400,0x2000601b9000,0x2000601b9a80,0x2000603b9000,0x2000601ce400,0x2000601ceec0,0x2000603ce400,0x2000601e4000,0x2000601e4b00,0x2000603e4000,0x2000601fa400,0x2000601faf40,0x2000603fa400,0x200060211000,0x200060400b80,0x200060811000,0x200060228400,0x200060400bc0,0x200060828400,0x200060240000,0x200060400c00,0x200060840000,0x200060258400,0x200060400c40,0x200060858400,0x200060006400,0x200060006540,0x20006000ca00,0x200060271000,0x200060400c80,0x200060871000,0x20006028a400,0x200060400cc0,0x20006088a400,0x2000602a4000,0x200060400d00,0x2000608a4000,0x2000602be400,0x200060400d40,0x2000608be400,0x2000602d9000,0x200060400d80,0x2000608d9000,0x2000602f4400,0x200060400dc0,0x2000608f4400,0x200060310000,0x200060400e00,0x200060910000,0x20006032c400,0x200060400e40,0x20006092c400,0x200060349000,0x200060400e80,0x200060949000,0x200060366400,0x200060400ec0,0x200060966400,0x200060009000,0x200060009180,0x200060012200,0x200060384000,0x200060400f00,0x200060984000,0x2000603a2400,0x200060400f40,0x2000609a2400,0x2000603c1000,0x200060400f80,0x2000609c1000,0x200060000024,0x20006000020c,0x200060000424,0x200060000040,0x200060000210,0x2000607a1200,0x2000608f4240,0x2000609e8640,0x200060af4240,0x200060008000,0x20006000a000,0x20006000b000,0x200060080000,0x2000600a0000,0x2000600b0000,0x20006005ee00,0x2000601da600,0x200060672800,0x2000600bd000,0x2000604f4000,0x200060edc000,0x2000600e3400,0x20006058d000,0x2000610a7000,0x200060020000,0x200060200000,0x200060800000,0x200061000000,0x200062000000,0x200064000000,0x200068000000,0x200070000000,0x200080000000}
@attribute DataSize numeric
@attribute CPUPageFault numeric
@attribute GPUPagePault numeric
@attribute HtoD numeric
@attribute DtoH numeric
@attribute RemoteMap numeric
@attribute label numeric

@data
gaussian,1008,a,0,Fan2,870821114.4,9.31,142073,1301556391,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492669,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50,111,0x200060000000,0x2000603e0400,4064256,23,46,4032,4032,0,0
gaussian,1008,b,1,Fan2,870821114.4,9.31,142073,1301556391,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492669,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50,111,0x200060400000,0x200060400fc0,4032,2,256,64,64,0,0
gaussian,1008,m,2,Fan2,870821114.4,9.31,142073,1301556391,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492669,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50,111,0x200060600000,0x2000609e0400,4064256,12,47,4032,0,0,1
gaussian,1008,a,0,Fan1,742097701.2,6.89,6203,1113505747,6.89,5568,0.94,68.71,0.09,57.8,0.29,0,0.3,7.46,7.46,52339080460,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100,111,0x200060000000,0x2000603e0400,4064256,23,46,4032,4032,0,0
gaussian,1008,b,1,Fan1,742097701.2,6.89,6203,1113505747,6.89,5568,0.94,68.71,0.09,57.8,0.29,0,0.3,7.46,7.46,52339080460,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100,111,0x200060400000,0x200060400fc0,4032,2,256,64,64,0,5
gaussian,1008,m,2,Fan1,742097701.2,6.89,6203,1113505747,6.89,5568,0.94,68.71,0.09,57.8,0.29,0,0.3,7.46,7.46,52339080460,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100,111,0x200060600000,0x2000609e0400,4064256,12,47,4032,0,0,0
gaussian,1008,a,0,Fan2,871294393.9,9.33,142046,1302094034,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415028,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50,111,0x200060000000,0x2000603e0400,4064256,23,46,4032,4032,0,0
gaussian,1008,b,1,Fan2,871294393.9,9.33,142046,1302094034,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415028,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50,111,0x200060400000,0x200060400fc0,4032,2,256,64,64,0,0
gaussian,1008,m,2,Fan2,871294393.9,9.33,142046,1302094034,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415028,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50,111,0x200060600000,0x2000609e0400,4064256,12,47,4032,0,0,1
gaussian,1008,a,0,Fan1,728070175.4,7.17,5970,1090704191,7.17,5472,0.98,68.33,0.09,58.07,0.29,0,0.3,7.5,7.5,53456140351,0.7,7.17,50.75,0.09,1.47,3.68,0.12,92.22,1,0.08,7.78,28.93,31.5,49.47,47.3,47.3,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.17,20.58,64,100,111,0x200060000000,0x2000603e0400,4064256,23,46,4032,4032,0,0
gaussian,1008,b,1,Fan1,728070175.4,7.17,5970,1090704191,7.17,5472,0.98,68.33,0.09,58.07,0.29,0,0.3,7.5,7.5,53456140351,0.7,7.17,50.75,0.09,1.47,3.68,0.12,92.22,1,0.08,7.78,28.93,31.5,49.47,47.3,47.3,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.17,20.58,64,100,111,0x200060400000,0x200060400fc0,4032,2,256,64,64,0,5
gaussian,1008,m,2,Fan1,728070175.4,7.17,5970,1090704191,7.17,5472,0.98,68.33,0.09,58.07,0.29,0,0.3,7.5,7.5,53456140351,0.7,7.17,50.75,0.09,1.47,3.68,0.12,92.22,1,0.08,7.78,28.93,31.5,49.47,47.3,47.3,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.17,20.58,64,100,111,0x200060600000,0x2000609e0400,4064256,12,47,4032,0,0,0
gaussian,1008,a,0,Fan2,870709885.6,9.28,142035,1301241505,10.6,109088,10.6,106092.98,4.61,10.74,0.25,0.18,0.25,6.17,6.17,82752420065,9.98,10.6,90.94,3.91,75.4,1.4,0.08,91.88,1,0.08,8.12,14.51,15.96,17.31,17.29,17.29,6537.8,2092095,6543.06,2093778,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.39,6.85,32,50,111,0x200060000000,0x2000603e0400,4064256,23,46,4032,4032,0,0
gaussian,1008,b,1,Fan2,870709885.6,9.28,142035,1301241505,10.6,109088,10.6,106092.98,4.61,10.74,0.25,0.18,0.25,6.17,6.17,82752420065,9.98,10.6,90.94,3.91,75.4,1.4,0.08,91.88,1,0.08,8.12,14.51,15.96,17.31,17.29,17.29,6537.8,2092095,6543.06,2093778,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.39,6.85,32,50,111,0x200060400000,0x200060400fc0,4032,2,256,64,64,0,0
gaussian,1008,m,2,Fan2,870709885.6,9.28,142035,1301241505,10.6,109088,10.6,106092.98,4.61,10.74,0.25,0.18,0.25,6.17,6.17,82752420065,9.98,10.6,90.94,3.91,75.4,1.4,0.08,91.88,1,0.08,8.12,14.51,15.96,17.31,17.29,17.29,6537.8,2092095,6543.06,2093778,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.39,6.85,32,50,111,0x200060600000,0x2000609e0400,4064256,12,47,4032,0,0,1
gaussian,1008,a,0,Fan1,710714285.7,7.19,5944,1060952381,7.19,5600,0.98,67.67,0.09,58.57,0.29,0,0.3,7.57,7.57,52291428571,0.7,7.19,50.75,0.09,1.47,3.59,0.12,92.09,1,0.08,7.91,28.91,31.48,47.52,45.43,45.43,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.98,20.29,64,100,111,0x200060000000,0x2000603e0400,4064256,23,46,4032,4032,0,0
