Benchmark,withProf,input,time(s),Mem(KB)
CFD,No,fvcorr.domn.097K,1.69,148288
CFD,Yes,fvcorr.domn.097K,133.27,288448
bfs,No,graph1MW_6,2.53,182272
bfs,Yes,graph1MW_6,30.22,302144
bfs,No,graph4096,0.54,147840
bfs,Yes,graph4096,17.24,262272
bfs,No,graph65536,0.63,150208
bfs,Yes,graph65536,22.05,265984
gaussian,No,matrix1024,1.54,156224
gaussian,Yes,matrix1024,124.19,271616
gaussian,No,matrix16,0.50,147904
gaussian,Yes,matrix16,33.78,261568
gaussian,No,matrix208,0.53,148224
gaussian,Yes,matrix208,121.42,263232
gaussian,No,matrix3,0.50,147904
gaussian,Yes,matrix3,2.55,254080
gaussian,No,matrix4,0.52,147904
gaussian,Yes,matrix4,4.95,260608
gaussian,No,16,0.49,147904
gaussian,Yes,16,33.85,261696
gaussian,No,32,0.50,147904
gaussian,Yes,32,72.46,287488
gaussian,No,48,0.50,147840
gaussian,Yes,48,110.57,262272
gaussian,No,64,0.50,147968
gaussian,Yes,64,120.74,262016
gaussian,No,80,0.50,148032
gaussian,Yes,80,125.23,262400
gaussian,No,96,0.51,147840
gaussian,Yes,96,121.64,262272
gaussian,No,112,0.51,147968
gaussian,Yes,112,122.23,262336
gaussian,No,128,0.51,147904
gaussian,Yes,128,121.19,262656
gaussian,No,144,0.51,148032
gaussian,Yes,144,121.14,262656
gaussian,No,160,0.52,148096
gaussian,Yes,160,121.12,262912
gaussian,No,176,0.52,148224
gaussian,Yes,176,121.33,262976
gaussian,No,192,0.53,148096
gaussian,Yes,192,121.45,263232
gaussian,No,208,0.53,148224
gaussian,Yes,208,121.49,288576
gaussian,No,224,0.54,148416
gaussian,Yes,224,121.20,263488
gaussian,No,240,0.54,148416
gaussian,Yes,240,122.21,263744
gaussian,No,256,0.62,148544
gaussian,Yes,256,126.94,263744
gaussian,No,272,0.55,148544
gaussian,Yes,272,122.24,263808
gaussian,No,288,0.55,148672
gaussian,Yes,288,126.66,263808
gaussian,No,304,0.56,148672
gaussian,Yes,304,121.96,264000
gaussian,No,320,0.57,148800
gaussian,Yes,320,126.88,264128
gaussian,No,336,0.57,148800
gaussian,Yes,336,121.88,264192
gaussian,No,352,0.63,148928
gaussian,Yes,352,121.49,289728
gaussian,No,368,0.59,149056
gaussian,Yes,368,127.28,264256
gaussian,No,384,0.60,149184
gaussian,Yes,384,121.56,290240
gaussian,No,400,0.60,149184
gaussian,Yes,400,122.79,264512
gaussian,No,416,0.61,149312
gaussian,Yes,416,121.78,264832
gaussian,No,432,0.63,149440
gaussian,Yes,432,121.73,264704
gaussian,No,448,0.64,149568
gaussian,Yes,448,121.55,264896
gaussian,No,464,0.64,149696
gaussian,Yes,464,121.81,265216
gaussian,No,480,0.65,149824
gaussian,Yes,480,124.73,265344
gaussian,No,496,0.70,149952
gaussian,Yes,496,122.66,265408
gaussian,No,512,0.73,150080
gaussian,Yes,512,121.95,265536
gaussian,No,528,0.76,150208
gaussian,Yes,528,127.96,265600
gaussian,No,544,0.70,150336
