@relation 'lassen_data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,11-15,17,19-32,37,39,42-45,47-49-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.Remove-R9'

@attribute 'Elapsed Cycles' numeric
@attribute Duration numeric
@attribute 'SM Active Cycles' numeric
@attribute 'Memory Throughput' numeric
@attribute 'Max Bandwidth' numeric
@attribute 'Avg. Executed Instructions Per Scheduler' numeric
@attribute 'Grid Size' numeric
@attribute Threads numeric
@attribute 'Achieved Active Warps Per SM' numeric
@attribute class {RM,UM,PL,AB,UMC}

@data
0.054384,0.059932,0.057399,0.667845,0.734959,0.155678,0.018479,0.221734,0.90625,RM
0.310554,0.315977,0.285291,0.526715,0.524263,0.916918,0.018479,0.221734,0.509146,RM
0.092343,0.098947,0.088179,0.913041,0.978212,0.054167,0.018479,0.221734,0.956555,RM
0.319865,0.322652,0.296823,0.516736,0.508789,1,0.018479,0.221734,0.50362,RM
0.093789,0.095386,0.087838,0.940127,0.961377,0.054167,0.018479,0.221734,0.940358,RM
0.315726,0.323543,0.290061,0.51531,0.515474,0.944274,0.018479,0.221734,0.503049,RM
0.092303,0.092865,0.088739,0.96151,0.973756,0.054167,0.018479,0.221734,0.957889,RM
0.058652,0.063492,0.05922,0.635057,0.688289,0.161932,0.018479,0.221734,0.906059,RM
0.313729,0.315829,0.294307,0.526715,0.518445,0.941666,0.018479,0.221734,0.499809,RM
0.092343,0.090491,0.087347,0.982893,0.973508,0.054167,0.018479,0.221734,0.932546,RM
0.313743,0.31301,0.287996,0.530991,0.518198,0.931445,0.018479,0.221734,0.500381,RM
0.091982,0.093755,0.086574,0.955808,0.978955,0.054167,0.018479,0.221734,0.943026,RM
0.312615,0.308856,0.289644,0.538119,0.519931,0.917462,0.018479,0.221734,0.499047,RM
0.091707,0.09687,0.087423,0.928722,0.981431,0.054167,0.018479,0.221734,0.935595,RM
0.055416,0.061564,0.0573,0.655015,0.723694,0.156952,0.018479,0.221734,0.888529,RM
0.310379,0.307966,0.286656,0.54097,0.524387,0.91734,0.018479,0.221734,0.501715,RM
0.093885,0.090046,0.088486,0.990021,0.962491,0.054167,0.018479,0.221734,0.920541,RM
0.309904,0.304851,0.285936,0.545247,0.525006,0.90337,0.018479,0.221734,0.502096,RM
0.090971,0.090046,0.087344,0.988596,0.986383,0.054167,0.018479,0.221734,0.946075,RM
0.303086,0.308263,0.285829,0.539545,0.536024,0.894917,0.018479,0.221734,0.501143,RM
0.0946,0.089898,0.087853,0.990021,0.954073,0.054167,0.018479,0.221734,0.941883,RM
0.055356,0.059042,0.057421,0.673547,0.722085,0.152201,0.018479,0.221734,0.89577,RM
0.30754,0.309895,0.288908,0.536694,0.527853,0.893523,0.018479,0.221734,0.499428,RM
0.089846,0.090194,0.087788,0.98717,0.9974,0.054167,0.018479,0.221734,0.930831,RM
0.302275,0.312417,0.283808,0.532417,0.537262,0.882985,0.018479,0.221734,0.499428,RM
0.092796,0.092271,0.08758,0.965787,0.9667,0.054167,0.018479,0.221734,0.942073,RM
0.304718,0.31123,0.285546,0.533842,0.533053,0.875223,0.018479,0.221734,0.500953,RM
0.092085,0.094793,0.088726,0.951531,0.983164,0.054167,0.018479,0.221734,0.926067,RM
0.055256,0.060525,0.058267,0.663568,0.726046,0.149735,0.018479,0.221734,0.906822,RM
0.306447,0.305296,0.285275,0.545247,0.530205,0.881052,0.018479,0.221734,0.500191,RM
0.092785,0.094645,0.087393,0.947254,0.97128,0.054167,0.018479,0.221734,0.934451,RM
0.299936,0.308263,0.284162,0.54097,0.541842,0.866416,0.018479,0.221734,0.500191,RM
0.092646,0.095386,0.08751,0.940127,0.972642,0.054167,0.018479,0.221734,0.95484,RM
0.302411,0.304703,0.284056,0.545247,0.536395,0.860163,0.018479,0.221734,0.5,RM
0.09395,0.091826,0.085324,0.97434,0.960015,0.054167,0.018479,0.221734,0.954268,RM
0.054338,0.059932,0.056827,0.666419,0.734093,0.146283,0.018479,0.221734,0.889482,RM
0.303904,0.304258,0.282077,0.546672,0.533672,0.863277,0.018479,0.221734,0.501905,RM
0.093107,0.091381,0.087141,0.97434,0.965214,0.054167,0.018479,0.221734,0.947409,RM
0.300361,0.300104,0.283347,0.5538,0.540975,0.85365,0.018479,0.221734,0.499809,RM
0.089589,0.092716,0.088124,0.962935,1,0.054167,0.018479,0.221734,0.92016,RM
0.302032,0.302774,0.278707,0.549524,0.538252,0.847755,0.018479,0.221734,0.500953,RM
0.09206,0.095535,0.089044,0.940127,0.978089,0.054167,0.018479,0.221734,0.915968,RM
0.055116,0.058448,0.056349,0.683526,0.727532,0.144064,0.018479,0.221734,0.893102,RM
0.303714,0.305593,0.28004,0.545247,0.535281,0.852453,0.018479,0.221734,0.500381,RM
0.096018,0.092716,0.088169,0.965787,0.941693,0.054167,0.018479,0.221734,0.927591,RM
0.303186,0.310488,0.279664,0.536694,0.536519,0.841032,0.018479,0.221734,0.500572,RM
0.091432,0.090343,0.08817,0.98717,0.984897,0.054167,0.018479,0.221734,0.936547,RM
0.299471,0.301291,0.280844,0.552375,0.542709,0.836075,0.018479,0.221734,0.500953,RM
0.091571,0.09242,0.08861,0.967212,0.982545,0.054167,0.018479,0.221734,0.925114,RM
0.055666,0.05741,0.056742,0.693505,0.723446,0.141397,0.018479,0.221734,0.901677,RM
0.302404,0.302477,0.278884,0.549524,0.537509,0.839718,0.018479,0.221734,0.500953,RM
0.08981,0.094793,0.087616,0.942978,0.995667,0.054167,0.018479,0.221734,0.932736,RM
0.301996,0.314345,0.277468,0.529566,0.537757,0.831059,0.018479,0.221734,0.501334,RM
0.092957,0.095238,0.088095,0.941552,0.9667,0.054167,0.018479,0.221734,0.924162,RM
0.297589,0.295802,0.277907,0.560928,0.54568,0.826305,0.018479,0.221734,0.501334,RM
0.091971,0.094645,0.089109,0.947254,0.977841,0.054167,0.018479,0.221734,0.922828,RM
0.059031,0.061564,0.056399,0.655015,0.687794,0.139961,0.018479,0.221734,0.898628,RM
0.299311,0.300549,0.278376,0.5538,0.542956,0.832499,0.018479,0.221734,0.502858,RM
0.091328,0.090491,0.088214,0.982893,0.982793,0.054167,0.018479,0.221734,0.924924,RM
0.304493,0.300697,0.279297,0.552375,0.5333,0.821481,0.018479,0.221734,0.500953,RM
0.092618,0.094496,0.087703,0.947254,0.972147,0.054167,0.018479,0.221734,0.919398,RM
0.296039,0.302329,0.276289,0.550949,0.549022,0.817626,0.018479,0.221734,0.501524,RM
0.090771,0.092271,0.089209,0.971489,0.991953,0.054167,0.018479,0.221734,0.907965,RM
0.053755,0.061415,0.057007,0.650738,0.738302,0.137773,0.018479,0.221734,0.910252,RM
0.301993,0.302922,0.277778,0.549524,0.538623,0.821941,0.018479,0.221734,0.502477,RM
0.093553,0.092865,0.087568,0.962935,0.962367,0.054167,0.018479,0.221734,0.931974,RM
0.299586,0.295208,0.277287,0.562354,0.54209,0.813615,0.018479,0.221734,0.500572,RM
0.092489,0.090343,0.08882,0.985744,0.972889,0.054167,0.018479,0.221734,0.915396,RM
0.301229,0.299659,0.27614,0.555226,0.539738,0.81025,0.018479,0.221734,0.504383,RM
0.093403,0.091233,0.086768,0.978617,0.964471,0.054167,0.018479,0.221734,0.937881,RM
0.056284,0.058448,0.058241,0.684952,0.718247,0.136765,0.018479,0.221734,0.886433,RM
0.297018,0.300697,0.281812,0.552375,0.546175,0.816455,0.018479,0.221734,0.500762,RM
0.094328,0.091381,0.093057,0.975766,0.955187,0.054167,0.018479,0.221734,0.896151,RM
0.295875,0.294615,0.276953,0.563779,0.548651,0.806308,0.018479,0.221734,0.502287,RM
0.092125,0.091084,0.087135,0.980042,0.975613,0.054167,0.018479,0.221734,0.931593,RM
0.296736,0.298769,0.276656,0.556651,0.547413,0.803056,0.018479,0.221734,0.500953,RM
0.091025,0.088859,0.087547,1,0.985269,0.054167,0.018479,0.221734,0.921303,RM
0.054806,0.057855,0.058632,0.687803,0.730874,0.134912,0.018479,0.221734,0.904345,RM
0.300268,0.299955,0.27576,0.5538,0.540975,0.807544,0.018479,0.221734,0.5,RM
0.090857,0.095831,0.086722,0.93585,0.987373,0.054167,0.018479,0.221734,0.945313,RM
0.300154,0.297137,0.276547,0.559503,0.541718,0.800227,0.018479,0.221734,0.500191,RM
0.094775,0.093606,0.087584,0.955808,0.94974,0.054167,0.018479,0.221734,0.931021,RM
0.291307,0.297582,0.277605,0.558077,0.557069,0.796861,0.018479,0.221734,0.499238,RM
0.091346,0.091084,0.087589,0.978617,0.983907,0.054167,0.018479,0.221734,0.934261,RM
0.055248,0.058003,0.056065,0.683526,0.722704,0.133913,0.018479,0.221734,0.88872,RM
0.296853,0.296247,0.276435,0.560928,0.547413,0.802751,0.018479,0.221734,0.502668,RM
0.093175,0.093161,0.089856,0.960084,0.965833,0.054167,0.018479,0.221734,0.9133,RM
0.300396,0.297582,0.277548,0.558077,0.541223,0.793867,0.018479,0.221734,0.500762,RM
0.092439,0.092568,0.087964,0.958659,0.967442,0.054167,0.018479,0.221734,0.920351,RM
0.299414,0.299807,0.276675,0.5538,0.542585,0.790862,0.018479,0.221734,0.502096,RM
0.091807,0.093458,0.087925,0.957233,0.978708,0.054167,0.018479,0.221734,0.931402,RM
0.053877,0.057558,0.055853,0.692079,0.742387,0.132292,0.018479,0.221734,0.888338,RM
0.295511,0.29773,0.274127,0.558077,0.549393,0.795148,0.018479,0.221734,0.500953,RM
0.091418,0.09242,0.088204,0.964361,0.981307,0.054167,0.018479,0.221734,0.931021,RM
0.290896,0.301884,0.275589,0.550949,0.557192,0.787771,0.018479,0.221734,0.502477,RM
0.090768,0.094793,0.087935,0.947254,0.990344,0.054167,0.018479,0.221734,0.925114,RM
0.297714,0.300846,0.276717,0.552375,0.545432,0.785505,0.018479,0.221734,0.503239,RM
0.091807,0.094051,0.087186,0.950105,0.977841,0.054167,0.018479,0.221734,0.935976,RM
0.058091,0.057262,0.056402,0.692079,0.696088,0.131344,0.018479,0.221734,0.888338,RM
0.300504,0.29951,0.274754,0.555226,0.540852,0.790371,0.018479,0.221734,0.503239,RM
0.021594,0.020472,0.024876,0.354222,0.370017,0.038339,0.029801,0.95409,0.887386,UM
0.041301,0.039015,0.027517,0.231624,0.231741,0.035725,0.029801,0.95409,0.792873,UM
0.022069,0.020768,0.025769,0.358499,0.373112,0.038469,0.029801,0.95409,0.89577,UM
0.048387,0.046877,0.037145,0.211666,0.213048,0.037369,0.029801,0.95409,0.601181,UM
0.022262,0.020917,0.02522,0.364201,0.379426,0.039282,0.029801,0.95409,0.881288,UM
0.056956,0.053553,0.052336,0.244454,0.239168,0.047139,0.029801,0.95409,0.495427,UM
0.031208,0.031894,0.029876,0.331413,0.3564,0.043574,0.029801,0.95409,0.892912,UM
0.108382,0.108144,0.105864,0.378457,0.379178,0.099125,0.029801,0.95409,0.48247,UM
0.12564,0.124462,0.118865,0.190283,0.189032,0.060926,0.029801,0.95409,0.860137,UM
0.238555,0.239875,0.240801,0.478246,0.476232,0.321198,0.029801,0.95409,0.660442,UM
0.241173,0.238392,0.234963,0.139643,0.136172,0.081708,0.029801,0.95409,0.855945,UM
0.570153,0.563566,0.570862,0.649313,0.630354,0.682782,0.029801,0.95409,0.916921,UM
0.245755,0.242842,0.239364,0.139544,0.136049,0.08252,0.029801,0.95409,0.863567,UM
1,1,1,0.767634,0.751671,0.79616,0.029801,0.95409,1,UM
0.245198,0.242694,0.240965,0.138751,0.13543,0.082518,0.029801,0.95409,0.862233,UM
0.401829,0.391188,0.399675,0.583737,0.559421,0.693863,0.029801,0.95409,0.968369,UM
0.098211,0.097167,0.089846,0.215943,0.215524,0.055912,0.029801,0.95409,0.897485,UM
0.104818,0.102655,0.10601,0.388436,0.384377,0.157535,0.029801,0.95409,0.625191,UM
0.021715,0.020917,0.025205,0.355648,0.375093,0.038347,0.029801,0.95409,0.886433,UM
0.028297,0.026109,0.026237,0.308604,0.311092,0.035521,0.029801,0.95409,0.867569,UM
0.021576,0.021065,0.024569,0.344243,0.368037,0.038308,0.029801,0.95409,0.886814,UM
0.000846,0.001483,0.000498,0.011742,0.015598,0.000208,0.000107,0.003663,0.261052,PL
0.023712,0.024477,0.002662,0.016984,0.018198,0.001002,0.000107,0.003663,0.110328,PL
0.00145,0.001335,0.000491,0.01589,0.019683,0.000311,0.000107,0.003663,0.266387,PL
0.028669,0.028037,0.00311,0.036828,0.038128,0.002669,0.000107,0.003663,0.219512,PL
0.001693,0.000297,0.000509,0.018436,0.021045,0.000319,0.000107,0.003663,0.265244,PL
0.032305,0.030263,0.00344,0.057077,0.057192,0.003566,0.000107,0.003663,0.247713,PL
0.001336,0.000742,0.000487,0.01843,0.022407,0.000319,0.000107,0.003663,0.268674,PL
0.030773,0.029669,0.003221,0.058986,0.060659,0.003239,0.000107,0.003663,0.24314,PL
0.000996,0.000742,0.000505,0.017267,0.021664,0.000294,0.000107,0.003663,0.266006,PL
0.017776,0.017208,0.002038,0.023663,0.025006,0.001366,0.000107,0.003663,0.196456,PL
0.000857,0.001632,0.000467,0.005591,0.00718,0.000141,0.000107,0.003663,0.266959,PL
0.007315,0.007714,0.000617,0.004017,0.004209,0.000136,0.000107,0.003663,0.208651,PL
0.000646,0,0.000454,0.007198,0.008542,0.000138,0.000107,0.003663,0.269055,PL
0.002164,0.002225,0.005852,0.090045,0.114013,0.002558,0.001938,0.062271,0.42359,RM
0.033501,0.032191,0.014633,0.049235,0.050012,0.003121,0.001938,0.062271,0.183308,RM
0.002747,0.00267,0.006079,0.110914,0.139391,0.002872,0.001938,0.062271,0.417111,RM
0.035251,0.035306,0.029247,0.104121,0.109433,0.00716,0.001938,0.062271,0.115473,RM
0.008415,0.008307,0.006587,0.146091,0.168977,0.004182,0.001938,0.062271,0.40625,RM
0.045259,0.04302,0.039032,0.171751,0.170834,0.024676,0.001938,0.062271,0.236662,RM
0.01494,0.014983,0.00715,0.13113,0.147066,0.005365,0.001938,0.062271,0.396151,RM
0.069185,0.067349,0.05771,0.217369,0.252662,0.049942,0.001938,0.062271,0.390434,RM
0.015093,0.014983,0.007321,0.13254,0.146942,0.00539,0.001938,0.062271,0.392721,RM
0.08156,0.085447,0.072782,0.237326,0.347982,0.057358,0.001938,0.062271,0.428544,RM
0.015101,0.014983,0.007411,0.1316,0.146076,0.00539,0.001938,0.062271,0.39253,RM
0.046041,0.0448,0.046269,0.311455,0.316167,0.045275,0.001938,0.062271,0.404726,RM
0.004832,0.004747,0.005961,0.13472,0.162664,0.003495,0.001938,0.062271,0.408346,RM
0.022922,0.021955,0.02002,0.126233,0.13283,0.007562,0.001938,0.062271,0.205221,RM
0.002507,0.002225,0.005526,0.087933,0.109804,0.002501,0.001938,0.062271,0.428163,RM
0.008436,0.007862,0.007746,0.063115,0.071676,0.002323,0.001938,0.062271,0.414444,RM
0.001961,0.002077,0.00647,0.08711,0.112404,0.002492,0.001938,0.062271,0.429116,RM
0.026837,0.026702,0.028579,0.521012,0.552736,0.064983,0.007706,0.09243,0.573742,UM
0.174467,0.178312,0.139892,0.406968,0.410745,0.382592,0.007706,0.09243,0.455221,UM
0.041259,0.041537,0.042187,0.808975,0.847239,0.022603,0.007706,0.09243,0.627858,UM
0.165974,0.171785,0.146145,0.421223,0.430305,0.417263,0.007706,0.09243,0.442264,UM
0.042744,0.043465,0.041834,0.78189,0.825452,0.022603,0.007706,0.09243,0.629192,UM
0.174563,0.17312,0.145495,0.418372,0.41025,0.395618,0.007706,0.09243,0.438262,UM
0.040612,0.042575,0.044843,0.791868,0.856153,0.022603,0.007706,0.09243,0.62862,UM
0.028397,0.027296,0.030187,0.512459,0.528472,0.066875,0.007706,0.09243,0.557736,UM
0.166867,0.168669,0.142989,0.428351,0.427705,0.38953,0.007706,0.09243,0.434832,UM
0.040737,0.040202,0.043751,0.830359,0.857019,0.022603,0.007706,0.09243,0.624238,UM
0.163184,0.17312,0.145209,0.416947,0.435999,0.381248,0.007706,0.09243,0.431212,UM
0.043348,0.040498,0.042386,0.821805,0.811587,0.022603,0.007706,0.09243,0.628239,UM
0.171049,0.164812,0.141165,0.43833,0.417925,0.371079,0.007706,0.09243,0.434451,UM
0.042852,0.03946,0.041892,0.841763,0.821367,0.022603,0.007706,0.09243,0.625,UM
0.027087,0.028631,0.029325,0.498204,0.548898,0.063398,0.007706,0.09243,0.553925,UM
0.163545,0.163329,0.14091,0.441181,0.435504,0.371734,0.007706,0.09243,0.439405,UM
0.044944,0.041389,0.04342,0.806124,0.785838,0.022603,0.007706,0.09243,0.626334,UM
0.164042,0.16229,0.140585,0.444032,0.435132,0.362603,0.007706,0.09243,0.437691,UM
0.04143,0.041982,0.043378,0.803273,0.842783,0.022603,0.007706,0.09243,0.631098,UM
0.167017,0.166741,0.139158,0.434053,0.427705,0.357638,0.007706,0.09243,0.437309,UM
0.043784,0.042724,0.042186,0.796145,0.811092,0.022603,0.007706,0.09243,0.627477,UM
0.028855,0.027444,0.029498,0.511034,0.523149,0.060672,0.007706,0.09243,0.551829,UM
0.172017,0.173713,0.137864,0.418372,0.416192,0.358358,0.007706,0.09243,0.436357,UM
0.042105,0.041982,0.042485,0.804699,0.835108,0.022603,0.007706,0.09243,0.624809,UM
0.158831,0.162439,0.136499,0.444032,0.447883,0.351523,0.007706,0.09243,0.448933,UM
0.040373,0.04124,0.042561,0.814677,0.862961,0.022603,0.007706,0.09243,0.626524,UM
0.163284,0.162735,0.134472,0.444032,0.437361,0.348072,0.007706,0.09243,0.448552,UM
0.040073,0.043317,0.043105,0.791868,0.874969,0.022603,0.007706,0.09243,0.634909,UM
0.027687,0.026406,0.02948,0.523864,0.539119,0.059544,0.007706,0.09243,0.554306,UM
0.164534,0.164961,0.137815,0.43833,0.433771,0.352962,0.007706,0.09243,0.44455,UM
0.041034,0.041389,0.042519,0.814677,0.85281,0.022603,0.007706,0.09243,0.62843,UM
0.163167,0.160659,0.137393,0.448309,0.43637,0.344517,0.007706,0.09243,0.448742,UM
0.041255,0.041537,0.044015,0.813252,0.851077,0.022603,0.007706,0.09243,0.630335,UM
0.164306,0.159769,0.134154,0.45116,0.434513,0.341579,0.007706,0.09243,0.450267,UM
0.041016,0.041389,0.043832,0.813252,0.852563,0.022603,0.007706,0.09243,0.626905,UM
