@relation 'IBM_2688-weka.filters.unsupervised.attribute.Remove-R2-16,18-30,32-37,39-41,43,45-47,50,52,54-61,66'

@attribute Benchmark {gaussian,bfs,cfd,hotspot}
@attribute 'Executed Ipc Elapsed' numeric
@attribute 'Issued Warp Per Scheduler' numeric
@attribute 'Avg. Executed Instructions Per Scheduler' numeric
@attribute 'Block Size' numeric
@attribute 'Registers Per Thread' numeric
@attribute Threads numeric
@attribute 'Waves Per SM' numeric
@attribute 'Block Limit Registers' numeric
@attribute 'Block Limit Warps' numeric
@attribute CPUPageFault numeric
@attribute GPUPagePault numeric
@attribute HtoD numeric
@attribute DtoH numeric
@attribute label numeric

@data
gaussian,0.18,0.08,6555.94,16,16,1016064,24.81,128,64,23,46,4032,4032,0
gaussian,0.18,0.08,6555.94,16,16,1016064,24.81,128,64,2,256,64,64,0
gaussian,0.18,0.08,6555.94,16,16,1016064,24.81,128,64,12,47,4032,0,1
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,0
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,5
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,0
gaussian,0.18,0.08,6555.94,16,16,1016064,24.81,128,64,23,46,4032,4032,0
gaussian,0.18,0.08,6555.94,16,16,1016064,24.81,128,64,2,256,64,64,0
gaussian,0.18,0.08,6555.94,16,16,1016064,24.81,128,64,12,47,4032,0,1
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,0
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,5
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,0
gaussian,0.18,0.08,6537.8,16,16,1016064,24.81,128,64,23,46,4032,4032,0
gaussian,0.18,0.08,6537.8,16,16,1016064,24.81,128,64,2,256,64,64,0
gaussian,0.18,0.08,6537.8,16,16,1016064,24.81,128,64,12,47,4032,0,1
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,0
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,5
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,0
gaussian,0.18,0.08,6524.46,16,16,1016064,24.81,128,64,23,46,4032,4032,0
gaussian,0.18,0.08,6524.46,16,16,1016064,24.81,128,64,2,256,64,64,0
