Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
h_graph_nodes,0,111,graph1MW.6,0x200060000000,0x2000607a1200,8000000,24,5,7872.0,0.0,0.0
h_graph_mask,1,111,graph1MW.6,0x200060800000,0x2000608f4240,1000000,6,532,1024.0,0.0,0.0
h_updating_graph_mask,2,111,graph1MW.6,0x2000608f4400,0x2000609e8640,1000000,4,1,1024.0,0.0,0.0
h_graph_visited,3,111,graph1MW.6,0x200060a00000,0x200060af4240,1000000,5,4,1024.0,0.0,0.0
h_graph_nodes,0,111,graph4096,0x200060000000,0x200060008000,32768,1,128,64.0,0.0,0.0
h_graph_mask,1,111,graph4096,0x200060008000,0x200060009000,4096,0,0,0.0,0.0,0.0
h_updating_graph_mask,2,111,graph4096,0x200060009000,0x20006000a000,4096,0,0,0.0,0.0,0.0
h_graph_visited,3,111,graph4096,0x20006000a000,0x20006000b000,4096,0,0,0.0,0.0,0.0
h_graph_nodes,0,111,graph65536,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0
h_graph_mask,1,111,graph65536,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0
h_updating_graph_mask,2,111,graph65536,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0
h_graph_visited,3,111,graph65536,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0
