Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
bfs,graph1MW.6,h_graph_nodes,0,Kernel2,826568265.68,25.55,10651,1226552890.53,25.55,8672,5.21,7060.77,12.31,17.0,0.72,0.48,0.74,18.54,18.54,216236162361.62,11.28,25.55,50.3,11.03,0.08,11.55,0.32,81.26,1,0.19,18.74,27.06,31.97,63.46,61.61,61.61,1270.87,406678,1309.01,418884,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,48.24,75.37,64,100,111,0x200060000000,0x2000607a1200,8000000,24,5,7872.0,0.0,0.0,0
bfs,graph1MW.6,h_graph_mask,1,Kernel2,826568265.68,25.55,10651,1226552890.53,25.55,8672,5.21,7060.77,12.31,17.0,0.72,0.48,0.74,18.54,18.54,216236162361.62,11.28,25.55,50.3,11.03,0.08,11.55,0.32,81.26,1,0.19,18.74,27.06,31.97,63.46,61.61,61.61,1270.87,406678,1309.01,418884,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,48.24,75.37,64,100,111,0x200060800000,0x2000608f4240,1000000,6,532,1024.0,0.0,0.0,0
bfs,graph1MW.6,h_updating_graph_mask,2,Kernel2,826568265.68,25.55,10651,1226552890.53,25.55,8672,5.21,7060.77,12.31,17.0,0.72,0.48,0.74,18.54,18.54,216236162361.62,11.28,25.55,50.3,11.03,0.08,11.55,0.32,81.26,1,0.19,18.74,27.06,31.97,63.46,61.61,61.61,1270.87,406678,1309.01,418884,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,48.24,75.37,64,100,111,0x2000608f4400,0x2000609e8640,1000000,4,1,1024.0,0.0,0.0,0
bfs,graph1MW.6,h_graph_visited,3,Kernel2,826568265.68,25.55,10651,1226552890.53,25.55,8672,5.21,7060.77,12.31,17.0,0.72,0.48,0.74,18.54,18.54,216236162361.62,11.28,25.55,50.3,11.03,0.08,11.55,0.32,81.26,1,0.19,18.74,27.06,31.97,63.46,61.61,61.61,1270.87,406678,1309.01,418884,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,48.24,75.37,64,100,111,0x200060a00000,0x200060af4240,1000000,5,4,1024.0,0.0,0.0,4
bfs,graph1MW.6,h_graph_nodes,0,Kernel,852185089.97,17.17,15838,1270913667.52,17.17,12448,3.58,7699.84,7.73,15.75,0.62,0.3,0.64,15.89,15.89,149861182519.28,7.67,17.17,50.36,7.5,1.92,11.63,0.25,82.54,1,0.17,17.46,26.41,31.68,68.81,66.6,66.6,1184.25,378961,1223.61,391556,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,42.88,66.99,64,100,111,0x200060000000,0x2000607a1200,8000000,24,5,7872.0,0.0,0.0,0
bfs,graph1MW.6,h_graph_mask,1,Kernel,852185089.97,17.17,15838,1270913667.52,17.17,12448,3.58,7699.84,7.73,15.75,0.62,0.3,0.64,15.89,15.89,149861182519.28,7.67,17.17,50.36,7.5,1.92,11.63,0.25,82.54,1,0.17,17.46,26.41,31.68,68.81,66.6,66.6,1184.25,378961,1223.61,391556,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,42.88,66.99,64,100,111,0x200060800000,0x2000608f4240,1000000,6,532,1024.0,0.0,0.0,0
bfs,graph1MW.6,h_updating_graph_mask,2,Kernel,852185089.97,17.17,15838,1270913667.52,17.17,12448,3.58,7699.84,7.73,15.75,0.62,0.3,0.64,15.89,15.89,149861182519.28,7.67,17.17,50.36,7.5,1.92,11.63,0.25,82.54,1,0.17,17.46,26.41,31.68,68.81,66.6,66.6,1184.25,378961,1223.61,391556,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,42.88,66.99,64,100,111,0x2000608f4400,0x2000609e8640,1000000,4,1,1024.0,0.0,0.0,0
bfs,graph1MW.6,h_graph_visited,3,Kernel,852185089.97,17.17,15838,1270913667.52,17.17,12448,3.58,7699.84,7.73,15.75,0.62,0.3,0.64,15.89,15.89,149861182519.28,7.67,17.17,50.36,7.5,1.92,11.63,0.25,82.54,1,0.17,17.46,26.41,31.68,68.81,66.6,66.6,1184.25,378961,1223.61,391556,512,1954,21,0,0,0,1000448,6.11,32,5,32,4,42.88,66.99,64,100,111,0x200060a00000,0x200060af4240,1000000,5,4,1024.0,0.0,0.0,0
bfs,graph1MW.6,h_graph_nodes,0,Kernel2,806273062.73,26.25,10430,1200818726.94,26.25,8672,5.45,7077.57,12.61,17.02,0.72,0.49,0.74,18.56,18.56,216693726937.27,11.57,26.25,50.87,11.31,0.53,11.99,0.32,81.32,1,0.19,18.68,26.97,31.87,66.1,64.18,64.18,1275.18,408058,1313.33,420264,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,48.67,76.05,64,100,111,0x200060000000,0x2000607a1200,8000000,24,5,7872.0,0.0,0.0,0
bfs,graph1MW.6,h_graph_mask,1,Kernel2,806273062.73,26.25,10430,1200818726.94,26.25,8672,5.45,7077.57,12.61,17.02,0.72,0.49,0.74,18.56,18.56,216693726937.27,11.57,26.25,50.87,11.31,0.53,11.99,0.32,81.32,1,0.19,18.68,26.97,31.87,66.1,64.18,64.18,1275.18,408058,1313.33,420264,512,1954,16,0,0,0,1000448,6.11,32,8,32,4,48.67,76.05,64,100,111,0x200060800000,0x2000608f4240,1000000,6,532,1024.0,0.0,0.0,0
