InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
graph1MW.6,Kernel,h_graph_nodes,0,849971887.344,32.744,76835.9,1268823161.329,32.744,59312.0,15.198999999999998,70170.22499999999,12.592000000000002,19.692999999999998,0.5820000000000001,0.45799999999999996,0.5900000000000001,14.731,14.731,287832918020.913,17.548000000000002,32.744,58.871,12.521,33.442,10.454,0.241,84.31500000000003,1.0,0.156,15.685000000000002,13.704000000000002,16.721000000000004,70.82600000000001,69.83,69.83,9630.203,3081665.1,9676.459,3096466.7,512.0,1954.0,21.0,0.0,0.0,0.0,1000448.0,6.11,32.0,5.0,32.0,4.0,39.825,62.22499999999999,64.0,100.0,111,0x200060000000,0x2000607a1200,8000000,24,5,7872.0,0.0,0.0,0
graph1MW.6,Kernel,h_graph_mask,1,849971887.344,32.744,76835.9,1268823161.329,32.744,59312.0,15.198999999999998,70170.22499999999,12.592000000000002,19.692999999999998,0.5820000000000001,0.45799999999999996,0.5900000000000001,14.731,14.731,287832918020.913,17.548000000000002,32.744,58.871,12.521,33.442,10.454,0.241,84.31500000000003,1.0,0.156,15.685000000000002,13.704000000000002,16.721000000000004,70.82600000000001,69.83,69.83,9630.203,3081665.1,9676.459,3096466.7,512.0,1954.0,21.0,0.0,0.0,0.0,1000448.0,6.11,32.0,5.0,32.0,4.0,39.825,62.22499999999999,64.0,100.0,111,0x200060800000,0x2000608f4240,1000000,6,532,1024.0,0.0,0.0,0
graph1MW.6,Kernel,h_updating_graph_mask,2,849971887.344,32.744,76835.9,1268823161.329,32.744,59312.0,15.198999999999998,70170.22499999999,12.592000000000002,19.692999999999998,0.5820000000000001,0.45799999999999996,0.5900000000000001,14.731,14.731,287832918020.913,17.548000000000002,32.744,58.871,12.521,33.442,10.454,0.241,84.31500000000003,1.0,0.156,15.685000000000002,13.704000000000002,16.721000000000004,70.82600000000001,69.83,69.83,9630.203,3081665.1,9676.459,3096466.7,512.0,1954.0,21.0,0.0,0.0,0.0,1000448.0,6.11,32.0,5.0,32.0,4.0,39.825,62.22499999999999,64.0,100.0,111,0x2000608f4400,0x2000609e8640,1000000,4,1,1024.0,0.0,0.0,0
graph1MW.6,Kernel,h_graph_visited,3,849971887.344,32.744,76835.9,1268823161.329,32.744,59312.0,15.198999999999998,70170.22499999999,12.592000000000002,19.692999999999998,0.5820000000000001,0.45799999999999996,0.5900000000000001,14.731,14.731,287832918020.913,17.548000000000002,32.744,58.871,12.521,33.442,10.454,0.241,84.31500000000003,1.0,0.156,15.685000000000002,13.704000000000002,16.721000000000004,70.82600000000001,69.83,69.83,9630.203,3081665.1,9676.459,3096466.7,512.0,1954.0,21.0,0.0,0.0,0.0,1000448.0,6.11,32.0,5.0,32.0,4.0,39.825,62.22499999999999,64.0,100.0,111,0x200060a00000,0x200060af4240,1000000,5,4,1024.0,0.0,0.0,0
graph1MW.6,Kernel2,h_graph_nodes,0,831860488.7472726,19.80909090909091,32316.545454545456,1240476626.8890913,19.80909090909091,25440.0,6.151818181818182,26888.236363636363,8.740909090909092,12.125454545454545,0.4936363636363636,0.33999999999999997,0.5063636363636362,12.658181818181815,12.658181818181815,167118275356.2973,8.335454545454546,19.80909090909091,61.712727272727264,8.007272727272728,29.90636363636363,11.759090909090908,0.2290909090909091,87.3309090909091,1.0,0.12545454545454546,12.669090909090908,22.56090909090909,26.49727272727273,141.89636363636362,139.24545454545455,139.24545454545455,1807.536363636364,578411.6363636364,1845.757272727273,590641.7272727273,512.0,1954.0,16.0,0.0,0.0,0.0,1000448.0,6.11,32.0,8.0,32.0,4.0,47.40181818181818,74.06545454545454,64.0,100.0,111,0x200060000000,0x2000607a1200,8000000,24,5,7872.0,0.0,0.0,0
graph1MW.6,Kernel2,h_graph_mask,1,831860488.7472726,19.80909090909091,32316.545454545456,1240476626.8890913,19.80909090909091,25440.0,6.151818181818182,26888.236363636363,8.740909090909092,12.125454545454545,0.4936363636363636,0.33999999999999997,0.5063636363636362,12.658181818181815,12.658181818181815,167118275356.2973,8.335454545454546,19.80909090909091,61.712727272727264,8.007272727272728,29.90636363636363,11.759090909090908,0.2290909090909091,87.3309090909091,1.0,0.12545454545454546,12.669090909090908,22.56090909090909,26.49727272727273,141.89636363636362,139.24545454545455,139.24545454545455,1807.536363636364,578411.6363636364,1845.757272727273,590641.7272727273,512.0,1954.0,16.0,0.0,0.0,0.0,1000448.0,6.11,32.0,8.0,32.0,4.0,47.40181818181818,74.06545454545454,64.0,100.0,111,0x200060800000,0x2000608f4240,1000000,6,532,1024.0,0.0,0.0,0
graph1MW.6,Kernel2,h_updating_graph_mask,2,831860488.7472726,19.80909090909091,32316.545454545456,1240476626.8890913,19.80909090909091,25440.0,6.151818181818182,26888.236363636363,8.740909090909092,12.125454545454545,0.4936363636363636,0.33999999999999997,0.5063636363636362,12.658181818181815,12.658181818181815,167118275356.2973,8.335454545454546,19.80909090909091,61.712727272727264,8.007272727272728,29.90636363636363,11.759090909090908,0.2290909090909091,87.3309090909091,1.0,0.12545454545454546,12.669090909090908,22.56090909090909,26.49727272727273,141.89636363636362,139.24545454545455,139.24545454545455,1807.536363636364,578411.6363636364,1845.757272727273,590641.7272727273,512.0,1954.0,16.0,0.0,0.0,0.0,1000448.0,6.11,32.0,8.0,32.0,4.0,47.40181818181818,74.06545454545454,64.0,100.0,111,0x2000608f4400,0x2000609e8640,1000000,4,1,1024.0,0.0,0.0,0
graph1MW.6,Kernel2,h_graph_visited,3,831860488.7472726,19.80909090909091,32316.545454545456,1240476626.8890913,19.80909090909091,25440.0,6.151818181818182,26888.236363636363,8.740909090909092,12.125454545454545,0.4936363636363636,0.33999999999999997,0.5063636363636362,12.658181818181815,12.658181818181815,167118275356.2973,8.335454545454546,19.80909090909091,61.712727272727264,8.007272727272728,29.90636363636363,11.759090909090908,0.2290909090909091,87.3309090909091,1.0,0.12545454545454546,12.669090909090908,22.56090909090909,26.49727272727273,141.89636363636362,139.24545454545455,139.24545454545455,1807.536363636364,578411.6363636364,1845.757272727273,590641.7272727273,512.0,1954.0,16.0,0.0,0.0,0.0,1000448.0,6.11,32.0,8.0,32.0,4.0,47.40181818181818,74.06545454545454,64.0,100.0,111,0x200060a00000,0x200060af4240,1000000,5,4,1024.0,0.0,0.0,4
graph4096,Kernel,h_graph_nodes,0,759484151.4816666,2.4683333333333333,10974.833333333334,1136345606.68,2.4683333333333333,9626.666666666666,0.9816666666666666,706.5966666666666,0.6183333333333334,13.596666666666666,0.3333333333333333,0.021666666666666667,0.3416666666666666,8.545,8.545,19413166196.253338,0.9283333333333332,2.4683333333333333,69.73,0.6150000000000001,59.19333333333334,3.605,0.10333333333333332,90.57,1.0,0.095,9.43,8.288333333333334,10.393333333333333,47.70500000000001,43.81999999999999,43.81999999999999,66.76,21362.333333333332,67.98666666666666,21755.5,512.0,8.0,21.0,0.0,0.0,0.0,4096.0,0.03,32.0,5.0,32.0,4.0,11.756666666666668,18.37,64.0,100.0,111,0x200060000000,0x200060008000,32768,1,128,64.0,0.0,0.0,1
graph4096,Kernel,h_graph_mask,1,759484151.4816666,2.4683333333333333,10974.833333333334,1136345606.68,2.4683333333333333,9626.666666666666,0.9816666666666666,706.5966666666666,0.6183333333333334,13.596666666666666,0.3333333333333333,0.021666666666666667,0.3416666666666666,8.545,8.545,19413166196.253338,0.9283333333333332,2.4683333333333333,69.73,0.6150000000000001,59.19333333333334,3.605,0.10333333333333332,90.57,1.0,0.095,9.43,8.288333333333334,10.393333333333333,47.70500000000001,43.81999999999999,43.81999999999999,66.76,21362.333333333332,67.98666666666666,21755.5,512.0,8.0,21.0,0.0,0.0,0.0,4096.0,0.03,32.0,5.0,32.0,4.0,11.756666666666668,18.37,64.0,100.0,111,0x200060008000,0x200060009000,4096,0,0,0.0,0.0,0.0,5
