kernel,Input,MemLocation,Array,MemAdvise,label,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph4096,Global,none,none,000,50.49,0.620639,8,0.077579,1.34e-03,0.461215
Kernel,graph4096,Global,h_graph_nodes,none,010,55.53,0.805598,8,0.100699,2.18e-03,0.543775
Kernel,graph4096,Global,h_graph_edges,none,020,52.15,0.676319,8,0.084539,2.18e-03,0.394367
Kernel,graph4096,Global,h_graph_mask,none,030,56.25,0.771292,8,0.096411,2.18e-03,0.441150
Kernel,graph4096,Global,h_updating_graph_mask,none,040,50.75,0.647613,8,0.080951,1.34e-03,0.442974
Kernel,graph4096,Global,h_graph_visited,none,050,50.03,0.664959,8,0.083119,2.18e-03,0.389407
Kernel,graph4096,Global,h_cost,none,060,50.27,0.639069,8,0.079883,1.38e-03,0.472926
Kernel,graph4096,Global,none,cudaMemAdviseSetReadMostly,001,51.77,0.681118,8,0.085139,2.18e-03,0.394175
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetReadMostly,011,50.15,0.646974,8,0.080871,2.18e-03,0.359839
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetReadMostly,021,52.09,0.627134,8,0.078391,1.34e-03,0.471262
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetReadMostly,031,50.53,0.688381,8,0.086047,1.38e-03,0.452446
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetReadMostly,041,51.89,0.724191,8,0.090523,2.21e-03,0.488319
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetReadMostly,051,50.77,0.692414,8,0.086551,2.18e-03,0.444158
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetReadMostly,061,95.84,6.470279,8,0.808784,1.92e-03,3.071252
Kernel,graph4096,Global,none,cudaMemAdviseSetPreferredLocationGPU,002,51.79,0.633024,8,0.079128,2.18e-03,0.355840
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,012,51.12,0.667325,8,0.083415,2.18e-03,0.367999
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,022,52.29,0.695997,8,0.086999,2.18e-03,0.457694
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,032,53.50,0.704125,8,0.088015,2.14e-03,0.441406
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationGPU,042,51.58,0.668606,8,0.083575,2.18e-03,0.430111
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetPreferredLocationGPU,052,53.94,0.746653,8,0.093331,2.18e-03,0.504030
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetPreferredLocationGPU,062,64.32,0.853118,8,0.106639,1.34e-03,0.453342
Kernel,graph4096,Global,none,cudaMemAdviseSetAccessedByGPU,003,52.77,0.712511,8,0.089063,2.18e-03,0.389983
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetAccessedByGPU,013,51.88,0.680382,8,0.085047,4.99e-03,0.355359
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetAccessedByGPU,023,52.68,0.630525,8,0.078815,1.34e-03,0.452414
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetAccessedByGPU,033,51.77,0.684348,8,0.085543,5.09e-03,0.379358
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetAccessedByGPU,043,50.45,0.668956,8,0.083619,4.67e-03,0.446494
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetAccessedByGPU,053,56.63,0.879291,8,0.109911,5.89e-03,0.439485
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetAccessedByGPU,063,62.60,0.824478,8,0.103059,1.38e-03,0.462398
Kernel,graph4096,Global,none,cudaMemAdviseSetPreferredLocationGPU,004,50.67,0.613952,8,0.076744,1.34e-03,0.448160
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,014,54.59,0.762335,8,0.095291,5.02e-03,0.362879
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,024,55.30,0.753790,8,0.094223,5.06e-03,0.422719
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,034,54.22,0.769533,8,0.096191,5.06e-03,0.475167
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationGPU,044,52.14,0.736700,8,0.092087,2.18e-03,0.420350
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetPreferredLocationGPU,054,53.67,0.813467,8,0.101683,5.86e-03,0.433246
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetPreferredLocationGPU,064,57.81,0.823933,8,0.102991,1.34e-03,0.462783
Kernel,graph4096,Global,none,cudaMemAdviseSetPreferredLocationCPU,005,53.80,0.682751,8,0.085343,2.18e-03,0.394015
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationCPU,015,52.32,0.705596,8,0.088199,2.18e-03,0.422654
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationCPU,025,50.81,0.637790,8,0.079723,1.34e-03,0.461982
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationCPU,035,52.23,0.712061,8,0.089007,2.14e-03,0.462686
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationCPU,045,54.13,0.724604,8,0.090575,2.18e-03,0.471134
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetPreferredLocationCPU,055,50.37,0.647708,8,0.080963,2.18e-03,0.399678
