kernel,Input,MemLocation,Array,MemAdvise,label,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph4096,Global,none,none,000,98.27,0.659581,8,0.082447,2.02e-03,0.236511
Kernel,graph4096,Global,h_graph_nodes,none,010,98.28,0.651485,8,0.081435,2.05e-03,0.234622
Kernel,graph4096,Global,h_graph_edges,none,020,98.30,0.643740,8,0.080467,2.08e-03,0.230751
Kernel,graph4096,Global,h_graph_mask,none,030,98.27,0.644604,8,0.080575,2.05e-03,0.231039
Kernel,graph4096,Global,h_updating_graph_mask,none,040,98.27,0.650686,8,0.081335,2.08e-03,0.231103
Kernel,graph4096,Global,h_graph_visited,none,050,98.31,0.670622,8,0.083827,2.08e-03,0.243135
Kernel,graph4096,Global,h_cost,none,060,98.30,0.659038,8,0.082379,2.08e-03,0.231743
Kernel,graph4096,Global,none,cudaMemAdviseSetReadMostly,001,98.31,0.663707,8,0.082963,2.02e-03,0.238878
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetReadMostly,011,97.55,0.451452,8,0.056431,2.02e-03,0.231231
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetReadMostly,021,99.02,1.212410,8,0.151551,2.43e-03,0.270206
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetReadMostly,031,97.61,0.460095,8,0.057511,2.02e-03,0.223839
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetReadMostly,041,97.58,0.457503,8,0.057187,2.02e-03,0.222175
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetReadMostly,051,97.60,0.456191,8,0.057023,2.02e-03,0.214495
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetReadMostly,061,50.39,0.146240,8,0.018280,4.16e-03,0.031264
Kernel,graph4096,Global,none,cudaMemAdviseSetPreferredLocationGPU,002,98.37,0.683004,8,0.085375,2.05e-03,0.232830
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,012,50.50,0.151199,8,0.018899,6.46e-03,0.051328
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,022,50.44,0.150304,8,0.018788,6.53e-03,0.049248
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,032,51.18,0.155679,8,0.019459,6.53e-03,0.055264
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationGPU,042,50.34,0.150143,8,0.018767,6.46e-03,0.049376
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetPreferredLocationGPU,052,50.18,0.150400,8,0.018800,6.56e-03,0.049440
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetPreferredLocationGPU,062,50.32,0.150176,8,0.018772,6.53e-03,0.049216
Kernel,graph4096,Global,none,cudaMemAdviseSetAccessedByGPU,003,98.14,0.598014,8,0.074751,2.02e-03,0.219679
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetAccessedByGPU,013,96.48,0.398591,8,0.049823,2.05e-03,0.157151
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetAccessedByGPU,023,84.52,0.249440,8,0.031180,2.43e-03,0.151200
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetAccessedByGPU,033,96.39,0.382335,8,0.047791,2.02e-03,0.148959
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetAccessedByGPU,043,96.54,0.400447,8,0.050055,2.05e-03,0.159327
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetAccessedByGPU,053,96.35,0.382911,8,0.047863,2.05e-03,0.149247
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetAccessedByGPU,063,87.54,0.361630,8,0.045203,2.43e-03,0.177759
Kernel,graph4096,Global,none,cudaMemAdviseSetPreferredLocationGPU,004,98.14,0.599134,8,0.074891,2.08e-03,0.218015
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,014,50.41,0.150719,8,0.018839,6.50e-03,0.050399
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,024,50.04,0.149855,8,0.018731,6.50e-03,0.049855
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,034,50.01,0.147968,8,0.018496,6.53e-03,0.047456
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationGPU,044,50.58,0.150880,8,0.018860,4.54e-03,0.032352
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetPreferredLocationGPU,054,50.36,0.149566,8,0.018695,6.62e-03,0.048799
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetPreferredLocationGPU,064,50.76,0.154367,8,0.019295,6.53e-03,0.052640
Kernel,graph4096,Global,none,cudaMemAdviseSetPreferredLocationCPU,005,98.31,0.666525,8,0.083315,2.02e-03,0.239294
Kernel,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationCPU,015,50.02,0.148223,8,0.018527,6.46e-03,0.046880
Kernel,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationCPU,025,50.17,0.149120,8,0.018640,6.43e-03,0.049184
Kernel,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationCPU,035,50.42,0.153152,8,0.019144,6.50e-03,0.052640
Kernel,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationCPU,045,50.01,0.150207,8,0.018775,4.51e-03,0.032032
Kernel,graph4096,Global,h_graph_visited,cudaMemAdviseSetPreferredLocationCPU,055,50.27,0.150016,8,0.018752,4.51e-03,0.031584
Kernel,graph4096,Global,h_cost,cudaMemAdviseSetPreferredLocationCPU,065,50.08,0.150399,8,0.018799,6.43e-03,0.051039
Kernel,graph4096,Host,none,none,100,98.30,0.661308,8,0.082663,2.05e-03,0.233727
Kernel,graph4096,Host,h_graph_nodes,none,110,98.34,0.662462,8,0.082807,2.05e-03,0.240511
Kernel,graph4096,Host,h_graph_edges,none,120,98.31,0.664700,8,0.083087,2.05e-03,0.237790
Kernel,graph4096,Host,h_graph_mask,none,130,98.39,0.678876,8,0.084859,2.05e-03,0.252639
Kernel,graph4096,Host,h_updating_graph_mask,none,140,98.25,0.637950,8,0.079743,2.08e-03,0.232511
Kernel,graph4096,Host,h_graph_visited,none,150,98.25,0.632061,8,0.079007,2.05e-03,0.232894
Kernel,graph4096,Host,h_cost,none,160,98.28,0.660668,8,0.082583,2.05e-03,0.234367
Kernel,graph4096,Host,none,cudaMemAdviseSetReadMostly,101,98.31,0.653501,8,0.081687,1.98e-03,0.233503
Kernel,graph4096,Host,h_graph_nodes,cudaMemAdviseSetReadMostly,111,97.59,0.455612,8,0.056951,2.02e-03,0.219902
Kernel,graph4096,Host,h_graph_edges,cudaMemAdviseSetReadMostly,121,99.04,1.228440,8,0.153555,2.43e-03,0.261950
Kernel,graph4096,Host,h_graph_mask,cudaMemAdviseSetReadMostly,131,97.50,0.442524,8,0.055315,2.05e-03,0.208479
Kernel,graph4096,Host,h_updating_graph_mask,cudaMemAdviseSetReadMostly,141,97.52,0.442045,8,0.055255,2.02e-03,0.208415
Kernel,graph4096,Host,h_graph_visited,cudaMemAdviseSetReadMostly,151,97.47,0.438687,8,0.054835,2.02e-03,0.211263
Kernel,graph4096,Host,h_cost,cudaMemAdviseSetReadMostly,161,50.23,0.147775,8,0.018471,4.16e-03,0.031680
Kernel,graph4096,Host,none,cudaMemAdviseSetPreferredLocationGPU,102,98.34,0.663610,8,0.082951,2.05e-03,0.234974
Kernel,graph4096,Host,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,112,50.15,0.149183,8,0.018647,6.53e-03,0.049503
Kernel,graph4096,Host,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,122,50.27,0.148320,8,0.018540,4.51e-03,0.031424
Kernel,graph4096,Host,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,132,50.04,0.147839,8,0.018479,4.54e-03,0.031296
Kernel,graph4096,Host,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationGPU,142,50.43,0.150111,8,0.018763,4.51e-03,0.031775
Kernel,graph4096,Host,h_graph_visited,cudaMemAdviseSetPreferredLocationGPU,152,50.01,0.147743,8,0.018467,4.48e-03,0.031231
Kernel,graph4096,Host,h_cost,cudaMemAdviseSetPreferredLocationGPU,162,50.38,0.150015,8,0.018751,4.48e-03,0.031872
Kernel,graph4096,Host,none,cudaMemAdviseSetAccessedByGPU,103,98.20,0.626526,8,0.078315,2.02e-03,0.239455
Kernel,graph4096,Host,h_graph_nodes,cudaMemAdviseSetAccessedByGPU,113,95.86,0.337375,8,0.042171,2.05e-03,0.141727
Kernel,graph4096,Host,h_graph_edges,cudaMemAdviseSetAccessedByGPU,123,84.81,0.251966,8,0.031495,2.40e-03,0.154655
Kernel,graph4096,Host,h_graph_mask,cudaMemAdviseSetAccessedByGPU,133,96.40,0.388125,8,0.048515,2.05e-03,0.148703
Kernel,graph4096,Host,h_updating_graph_mask,cudaMemAdviseSetAccessedByGPU,143,96.52,0.397599,8,0.049699,2.05e-03,0.156255
Kernel,graph4096,Host,h_graph_visited,cudaMemAdviseSetAccessedByGPU,153,96.38,0.386719,8,0.048339,2.05e-03,0.158271
Kernel,graph4096,Host,h_cost,cudaMemAdviseSetAccessedByGPU,163,87.48,0.365951,8,0.045743,2.43e-03,0.187615
Kernel,graph4096,Host,none,cudaMemAdviseSetPreferredLocationGPU,104,98.30,0.645214,8,0.080651,2.05e-03,0.232319
Kernel,graph4096,Host,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,114,50.05,0.148256,8,0.018532,4.54e-03,0.031520
Kernel,graph4096,Host,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,124,50.15,0.150080,8,0.018760,4.51e-03,0.031840
Kernel,graph4096,Host,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,134,50.76,0.150335,8,0.018791,4.51e-03,0.031967
Kernel,graph4096,Host,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationGPU,144,50.11,0.148799,8,0.018599,6.46e-03,0.049024
Kernel,graph4096,Host,h_graph_visited,cudaMemAdviseSetPreferredLocationGPU,154,50.17,0.149983,8,0.018747,4.51e-03,0.031968
Kernel,graph4096,Host,h_cost,cudaMemAdviseSetPreferredLocationGPU,164,50.33,0.150367,8,0.018795,4.54e-03,0.031808
Kernel,graph4096,Host,none,cudaMemAdviseSetPreferredLocationCPU,105,98.30,0.655134,8,0.081891,1.98e-03,0.242015
Kernel,graph4096,Host,h_graph_nodes,cudaMemAdviseSetPreferredLocationCPU,115,50.08,0.148223,8,0.018527,4.51e-03,0.031264
Kernel,graph4096,Host,h_graph_edges,cudaMemAdviseSetPreferredLocationCPU,125,50.70,0.152191,8,0.019023,6.53e-03,0.050880
Kernel,graph4096,Host,h_graph_mask,cudaMemAdviseSetPreferredLocationCPU,135,50.29,0.149280,8,0.018660,6.50e-03,0.048288
Kernel,graph4096,Host,h_updating_graph_mask,cudaMemAdviseSetPreferredLocationCPU,145,50.30,0.149823,8,0.018727,6.50e-03,0.050368
Kernel,graph4096,Host,h_graph_visited,cudaMemAdviseSetPreferredLocationCPU,155,50.37,0.149536,8,0.018692,6.50e-03,0.049088
Kernel,graph4096,Host,h_cost,cudaMemAdviseSetPreferredLocationCPU,165,50.27,0.149503,8,0.018687,6.46e-03,0.048960
Kernel2,graph4096,Global,none,none,000,1.73,0.011616,8,1.45e-03,1.28e-03,1.70e-03
Kernel2,graph4096,Global,h_graph_nodes,none,010,1.72,0.011391,8,1.42e-03,1.22e-03,1.76e-03
Kernel2,graph4096,Global,h_graph_edges,none,020,1.70,0.011136,8,1.39e-03,1.18e-03,1.63e-03
Kernel2,graph4096,Global,h_graph_mask,none,030,1.73,0.011360,8,1.42e-03,1.22e-03,1.63e-03
Kernel2,graph4096,Global,h_updating_graph_mask,none,040,1.73,0.011455,8,1.43e-03,1.25e-03,1.70e-03
Kernel2,graph4096,Global,h_graph_visited,none,050,1.69,0.011520,8,1.44e-03,1.25e-03,1.73e-03
Kernel2,graph4096,Global,h_cost,none,060,1.70,0.011392,8,1.42e-03,1.22e-03,1.66e-03
Kernel2,graph4096,Global,none,cudaMemAdviseSetReadMostly,001,1.69,0.011424,8,1.43e-03,1.25e-03,1.73e-03
Kernel2,graph4096,Global,h_graph_nodes,cudaMemAdviseSetReadMostly,011,2.45,0.011328,8,1.42e-03,1.25e-03,1.70e-03
Kernel2,graph4096,Global,h_graph_edges,cudaMemAdviseSetReadMostly,021,0.98,0.012000,8,1.50e-03,1.28e-03,1.66e-03
Kernel2,graph4096,Global,h_graph_mask,cudaMemAdviseSetReadMostly,031,2.39,0.011264,8,1.41e-03,1.25e-03,1.70e-03
Kernel2,graph4096,Global,h_updating_graph_mask,cudaMemAdviseSetReadMostly,041,2.42,0.011328,8,1.42e-03,1.25e-03,1.73e-03
Kernel2,graph4096,Global,h_graph_visited,cudaMemAdviseSetReadMostly,051,2.40,0.011200,8,1.40e-03,1.25e-03,1.66e-03
Kernel2,graph4096,Global,h_cost,cudaMemAdviseSetReadMostly,061,50.39,0.146240,8,0.018280,4.16e-03,0.031264
Kernel2,graph4096,Global,none,cudaMemAdviseSetPreferredLocationGPU,002,1.63,0.011296,8,1.41e-03,1.22e-03,1.63e-03
Kernel2,graph4096,Global,h_graph_nodes,cudaMemAdviseSetPreferredLocationGPU,012,49.50,0.148191,8,0.018523,4.51e-03,0.031519
Kernel2,graph4096,Global,h_graph_edges,cudaMemAdviseSetPreferredLocationGPU,022,49.56,0.147680,8,0.018460,4.48e-03,0.031264
Kernel2,graph4096,Global,h_graph_mask,cudaMemAdviseSetPreferredLocationGPU,032,48.82,0.148511,8,0.018563,4.51e-03,0.031487
