Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,097K,0,cuda_compute_step_factor,795373665.48,43.86,10608,1177954478.05,43.86,8992,13.22,7953.91,21.73,11.45,192,506,20,0,0,0,97152,0.63,32,14,32,10,31.16,48.68,60,93.75
cfd,097K,1,cuda_compute_flux,831951026.86,34.36,49925,1227924236.44,34.36,40512,30.67,36821.11,25.99,29.33,192,506,60,0,0,0,97152,1.27,32,5,32,10,25.39,39.67,30,46.88
cfd,097K,2,cuda_time_step,813315926.89,66.16,14814,1206252719.76,66.16,12256,21.66,11385.08,5.21,14.67,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.90,52.96,60,93.75
cfd,097K,3,cuda_compute_flux,825019186.49,33.57,50949,1216791378.87,33.57,41696,30.22,39634.04,27.74,27.35,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.06,37.60,30,46.88
cfd,097K,4,cuda_time_step,814973614.78,66.99,14692,1208415787.16,66.99,12128,21.88,11416.54,5.25,14.63,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.15,53.36,60,93.75
cfd,097K,5,cuda_compute_flux,842573649.75,35.13,48800,1242268480.63,35.13,39104,31.51,38750.69,27.42,28.23,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.62,38.46,30,46.88
cfd,097K,6,cuda_time_step,807486631.02,68.34,14345,1195089683.60,68.34,11968,22.39,11480.91,5.39,14.54,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.98,53.09,60,93.75
cfd,097K,7,cuda_compute_step_factor,788927335.64,43.99,10813,1167441609.00,43.99,9248,12.98,8334.40,21.79,10.93,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.32,47.37,60,93.75
cfd,097K,8,cuda_compute_flux,899241146.71,33.95,50526,1325872154.30,33.95,37952,30.38,39171.06,26.06,27.67,192,506,60,0,0,0,97152,1.27,32,5,32,10,23.67,36.98,30,46.88
cfd,097K,9,cuda_time_step,819261213.72,66.49,14777,1215726693.05,66.49,12128,21.70,11780.49,5.22,14.17,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.72,52.69,60,93.75
