kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,1,0,2,102,74.7,189.1934,6000,0.031532,0.028672000000000003,1.8343779999999998
cuda_compute_flux,193K,5,0,3,503,51.71,302.0911,6000,0.050348000000000004,0.046975,3.200413
cuda_compute_flux,missile0.2M,0,2,0,20,69.21,400.8989,6000,0.066816,0.06111799999999999,1.949136
cuda_compute_step_factor,097K,0,0,4,4,0.27,7.340464,2000,0.00367,0.0034200000000000003,0.0055
cuda_compute_step_factor,193K,0,0,4,4,0.32,17.10756,2000,0.00855,0.00797,0.011104000000000001
cuda_compute_step_factor,missile0.2M,0,0,5,5,0.36,23.61009,2000,0.011805,0.010879999999999999,0.013663
cuda_initialize_variables,097K,6,1,4,614,0.0,0.01584,3,0.00528,0.00301,0.00778
cuda_initialize_variables,193K,4,6,5,465,0.0,0.022912000000000002,3,0.007640000000000001,0.00534,0.011744
cuda_initialize_variables,missile0.2M,2,5,1,251,0.0,0.025727999999999997,3,0.008579999999999999,0.006370000000000001,0.012512
cuda_time_step,097K,4,5,4,454,0.88,32.68071,6000,0.00545,0.00483,0.00659
cuda_time_step,193K,5,0,4,504,1.83,102.2531,6000,0.017041999999999998,0.016096,0.019424
cuda_time_step,missile0.2M,0,3,3,33,20.33,119.9756,6000,0.019995,0.018816,0.02192
