kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,0,0,0,000,73.25,193.1573,6000,0.032192,0.029184,0.038976
cuda_compute_flux,193K,0,0,0,000,67.55,304.1622,6000,0.050693,0.046943,0.059038
cuda_compute_flux,missile0.2M,0,0,0,000,69.24,403.5345,6000,0.067255,0.061151,0.075902
cuda_compute_flux,097K,0,0,1,001,75.21,195.1563,6000,0.032526,0.028991,2.375859
cuda_compute_flux,193K,0,0,1,001,67.85,308.0645,6000,0.051344,0.047199,3.639002
cuda_compute_flux,missile0.2M,0,0,1,001,69.90,409.9807,6000,0.068330,0.061407,4.572935
cuda_compute_flux,097K,0,0,2,002,75.12,191.9132,6000,0.031985,0.029023,2.378992
cuda_compute_flux,193K,0,0,2,002,67.95,309.8326,6000,0.051638,0.047455,3.323135
cuda_compute_flux,missile0.2M,0,0,2,002,69.92,410.4134,6000,0.068402,0.061183,4.625725
cuda_compute_flux,097K,0,0,3,003,75.16,195.3054,6000,0.032550,0.029152,2.231223
cuda_compute_flux,193K,0,0,3,003,67.84,308.0640,6000,0.051344,0.047166,3.752541
cuda_compute_flux,missile0.2M,0,0,3,003,70.01,412.0957,6000,0.068682,0.061695,6.244687
cuda_compute_flux,097K,0,0,4,004,97.93,2.65e+03,6000,0.442117,0.427798,0.851852
cuda_compute_flux,193K,0,0,4,004,97.42,5.27e+03,6000,0.877982,0.847722,1.679380
cuda_compute_flux,missile0.2M,0,0,4,004,97.27,6.35e+03,6000,1.058148,1.019204,2.020905
cuda_compute_flux,097K,0,0,5,005,97.95,2.69e+03,6000,0.447535,0.428115,4.316376
cuda_compute_flux,193K,0,0,5,005,97.44,5.29e+03,6000,0.881790,0.848139,7.929497
cuda_compute_flux,missile0.2M,0,0,5,005,97.28,6.36e+03,6000,1.060589,1.020294,8.749629
cuda_compute_flux,097K,0,0,6,006,75.10,194.9808,6000,0.032496,0.028959,2.024070
cuda_compute_flux,193K,0,0,6,006,67.49,304.8379,6000,0.050806,0.046783,3.367153
cuda_compute_flux,missile0.2M,0,0,6,006,69.88,409.9966,6000,0.068332,0.061694,4.074795
cuda_compute_flux,097K,0,1,0,010,73.97,198.5204,6000,0.033086,0.029791,1.432376
cuda_compute_flux,193K,0,1,0,010,67.68,302.8804,6000,0.050480,0.046783,1.633979
cuda_compute_flux,missile0.2M,0,1,0,010,69.41,405.3948,6000,0.067565,0.061278,2.033096
cuda_compute_flux,097K,0,1,1,011,75.36,196.6700,6000,0.032778,0.029311,2.708471
