kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,097K,0,0,0,000,68.93,206.4477,6000,0.034407,0.031936,0.039584
cuda_compute_flux,193K,0,0,0,000,65.32,315.5704,6000,0.052595,0.050688,0.057183
cuda_compute_flux,missile0.2M,0,0,0,000,66.52,402.0485,6000,0.067008,0.058144,0.070687
cuda_compute_flux,097K,0,0,1,001,69.03,195.6157,6000,0.032602,0.030719,1.781681
cuda_compute_flux,193K,0,0,1,001,65.52,325.0238,6000,0.054170,0.049920,2.374826
cuda_compute_flux,missile0.2M,0,0,1,001,66.43,403.0894,6000,0.067181,0.057632,3.379906
cuda_compute_flux,097K,0,0,2,002,68.14,193.6688,6000,0.032278,0.030272,1.827728
cuda_compute_flux,193K,0,0,2,002,65.21,312.0049,6000,0.052000,0.049407,2.527337
cuda_compute_flux,missile0.2M,0,0,2,002,66.62,403.1617,6000,0.067193,0.057792,2.957925
cuda_compute_flux,097K,0,0,3,003,76.04,280.7634,6000,0.046793,0.044992,0.477756
cuda_compute_flux,193K,0,0,3,003,69.76,383.0989,6000,0.063849,0.060639,0.574650
cuda_compute_flux,missile0.2M,0,0,3,003,68.68,438.8570,6000,0.073142,0.064543,0.570619
cuda_compute_flux,097K,0,0,4,004,69.08,196.1377,6000,0.032689,0.030976,1.242901
cuda_compute_flux,193K,0,0,4,004,65.00,313.2437,6000,0.052207,0.049600,3.296675
cuda_compute_flux,missile0.2M,0,0,4,004,66.47,402.8791,6000,0.067146,0.058335,2.999333
cuda_compute_flux,097K,0,0,5,005,84.18,479.1319,6000,0.079855,0.077823,1.659314
cuda_compute_flux,193K,0,0,5,005,84.18,899.7380,6000,0.149956,0.147934,1.904239
cuda_compute_flux,missile0.2M,0,0,5,005,83.86,1.09e+03,6000,0.181678,0.178174,2.742599
cuda_compute_flux,097K,0,0,6,006,69.16,196.3920,6000,0.032732,0.030752,1.750193
cuda_compute_flux,193K,0,0,6,006,65.02,313.0201,6000,0.052170,0.050015,2.922022
cuda_compute_flux,missile0.2M,0,0,6,006,66.32,403.9179,6000,0.067319,0.057631,3.383266
cuda_compute_flux,097K,0,1,0,010,67.86,194.5158,6000,0.032419,0.030496,0.831321
cuda_compute_flux,193K,0,1,0,010,64.39,309.7216,6000,0.051620,0.049504,0.993656
cuda_compute_flux,missile0.2M,0,1,0,010,66.62,401.3729,6000,0.066895,0.058112,1.103670
cuda_compute_flux,097K,0,1,1,011,68.41,194.7801,6000,0.032463,0.030208,1.918576
cuda_compute_flux,193K,0,1,1,011,65.32,315.7000,6000,0.052616,0.050143,2.925062
cuda_compute_flux,missile0.2M,0,1,1,011,66.77,404.8296,6000,0.067471,0.058143,3.635968
cuda_compute_flux,097K,0,1,2,012,67.94,194.6476,6000,0.032441,0.030304,1.872944
cuda_compute_flux,193K,0,1,2,012,65.16,315.7152,6000,0.052619,0.050143,3.402818
cuda_compute_flux,missile0.2M,0,1,2,012,66.90,405.2028,6000,0.067533,0.058496,3.550976
cuda_compute_flux,097K,0,1,3,013,77.57,305.9544,6000,0.050992,0.048959,0.804665
cuda_compute_flux,193K,0,1,3,013,70.61,408.2578,6000,0.068042,0.064255,1.220053
cuda_compute_flux,missile0.2M,0,1,3,013,72.89,533.4613,6000,0.088910,0.080671,1.393524
cuda_compute_flux,097K,0,1,4,014,68.37,195.3348,6000,0.032555,0.030496,1.302133
cuda_compute_flux,193K,0,1,4,014,65.34,314.5150,6000,0.052419,0.049856,3.400162
cuda_compute_flux,missile0.2M,0,1,4,014,66.82,404.5949,6000,0.067432,0.058720,3.656736
cuda_compute_flux,097K,0,1,5,015,84.41,480.6748,6000,0.080112,0.078047,1.926992
cuda_compute_flux,193K,0,1,5,015,84.43,899.6215,6000,0.149936,0.147742,2.935398
cuda_compute_flux,missile0.2M,0,1,5,015,84.01,1.09e+03,6000,0.181046,0.177374,3.364034
cuda_compute_flux,097K,0,1,6,016,68.39,195.0450,6000,0.032507,0.030528,1.973359
cuda_compute_flux,193K,0,1,6,016,65.65,317.3488,6000,0.052891,0.050144,3.537858
cuda_compute_flux,missile0.2M,0,1,6,016,66.73,403.8034,6000,0.067300,0.057407,3.825854
cuda_compute_flux,097K,0,2,0,020,67.86,194.7860,6000,0.032464,0.030623,0.878297
cuda_compute_flux,193K,0,2,0,020,65.12,312.6067,6000,0.052101,0.049920,1.099318
cuda_compute_flux,missile0.2M,0,2,0,020,67.37,423.1551,6000,0.070525,0.064351,1.201205
cuda_compute_flux,097K,0,2,1,021,68.80,192.6389,6000,0.032106,0.030112,1.920687
cuda_compute_flux,193K,0,2,1,021,64.62,311.1578,6000,0.051859,0.049183,2.744648
cuda_compute_flux,missile0.2M,0,2,1,021,66.50,404.4699,6000,0.067411,0.058175,3.533505
cuda_compute_flux,097K,0,2,2,022,68.11,193.5288,6000,0.032254,0.030143,1.998927
cuda_compute_flux,193K,0,2,2,022,65.41,315.0660,6000,0.052510,0.050175,3.275492
cuda_compute_flux,missile0.2M,0,2,2,022,66.72,405.5189,6000,0.067586,0.058655,3.568929
cuda_compute_flux,097K,0,2,3,023,77.56,304.7278,6000,0.050787,0.048479,0.832313
cuda_compute_flux,193K,0,2,3,023,71.44,422.8394,6000,0.070473,0.067839,1.098519
cuda_compute_flux,missile0.2M,0,2,3,023,71.45,505.7573,6000,0.084292,0.075936,1.532243
cuda_compute_flux,097K,0,2,4,024,69.01,195.0802,6000,0.032513,0.030528,1.154198
cuda_compute_flux,193K,0,2,4,024,64.97,311.8294,6000,0.051971,0.049728,2.654249
cuda_compute_flux,missile0.2M,0,2,4,024,66.62,404.9084,6000,0.067484,0.058336,3.768543
cuda_compute_flux,097K,0,2,5,025,84.32,479.5308,6000,0.079921,0.077856,1.685394
cuda_compute_flux,193K,0,2,5,025,84.27,900.8889,6000,0.150148,0.147839,2.856967
cuda_compute_flux,missile0.2M,0,2,5,025,83.90,1.09e+03,6000,0.181088,0.177471,3.247428
cuda_compute_flux,097K,0,2,6,026,68.82,192.6333,6000,0.032105,0.030112,2.266125
cuda_compute_flux,193K,0,2,6,026,64.73,310.8031,6000,0.051800,0.049407,3.381443
cuda_compute_flux,missile0.2M,0,2,6,026,66.51,403.8789,6000,0.067313,0.058272,4.034300
cuda_compute_flux,097K,0,3,0,030,67.97,195.4847,6000,0.032580,0.030848,0.255038
cuda_compute_flux,193K,0,3,0,030,65.21,317.7189,6000,0.052953,0.050464,0.579675
cuda_compute_flux,missile0.2M,0,3,0,030,67.39,412.0227,6000,0.068670,0.059583,0.385693
cuda_compute_flux,097K,0,3,1,031,69.41,202.6092,6000,0.033768,0.031680,1.755025
cuda_compute_flux,193K,0,3,1,031,66.04,328.5317,6000,0.054755,0.052192,2.527850
cuda_compute_flux,missile0.2M,0,3,1,031,67.45,414.0526,6000,0.069008,0.059359,3.661760
