InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
097K,cuda_compute_flux,h_areas,0,860271189.0304649,34.5167441860465,49522.72093023256,1265480108.5430233,34.5167441860465,38958.88372093023,30.828372093023273,36639.627674418596,22.936744186046504,29.62255813953489,1.227906976744186,0.9130232558139536,1.2337209302325578,30.83488372093023,30.83488372093023,304004165958.4853,30.828372093023273,34.5167441860465,72.55,5.521162790697674,28.26209302325582,6.2304651162790705,0.5041860465116278,68.45116279069768,1.0,0.3158139534883723,31.548837209302324,26.63883720930233,27.826976744186048,19.88883720930232,19.80302325581396,19.80302325581396,11259.425348837207,3603016.069767442,11310.535348837207,3619371.325581395,192.0,506.0,58.0,0.0,0.0,0.0,97152.0,1.2700000000000011,32.0,5.0,32.0,10.0,24.449999999999992,38.20348837209303,30.0,46.88000000000007,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0,4
097K,cuda_compute_flux,h_elements_surrounding_elements,1,860271189.0304649,34.5167441860465,49522.72093023256,1265480108.5430233,34.5167441860465,38958.88372093023,30.828372093023273,36639.627674418596,22.936744186046504,29.62255813953489,1.227906976744186,0.9130232558139536,1.2337209302325578,30.83488372093023,30.83488372093023,304004165958.4853,30.828372093023273,34.5167441860465,72.55,5.521162790697674,28.26209302325582,6.2304651162790705,0.5041860465116278,68.45116279069768,1.0,0.3158139534883723,31.548837209302324,26.63883720930233,27.826976744186048,19.88883720930232,19.80302325581396,19.80302325581396,11259.425348837207,3603016.069767442,11310.535348837207,3619371.325581395,192.0,506.0,58.0,0.0,0.0,0.0,97152.0,1.2700000000000011,32.0,5.0,32.0,10.0,24.449999999999992,38.20348837209303,30.0,46.88000000000007,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0,4
097K,cuda_compute_flux,h_normals,2,860271189.0304649,34.5167441860465,49522.72093023256,1265480108.5430233,34.5167441860465,38958.88372093023,30.828372093023273,36639.627674418596,22.936744186046504,29.62255813953489,1.227906976744186,0.9130232558139536,1.2337209302325578,30.83488372093023,30.83488372093023,304004165958.4853,30.828372093023273,34.5167441860465,72.55,5.521162790697674,28.26209302325582,6.2304651162790705,0.5041860465116278,68.45116279069768,1.0,0.3158139534883723,31.548837209302324,26.63883720930233,27.826976744186048,19.88883720930232,19.80302325581396,19.80302325581396,11259.425348837207,3603016.069767442,11310.535348837207,3619371.325581395,192.0,506.0,58.0,0.0,0.0,0.0,97152.0,1.2700000000000011,32.0,5.0,32.0,10.0,24.449999999999992,38.20348837209303,30.0,46.88000000000007,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0,0
097K,cuda_compute_step_factor,h_areas,0,785455868.5713332,39.586,11884.8,1159807779.5806663,39.586,10216.533333333333,11.760666666666667,8045.7013333333325,16.208,11.323333333333332,0.9420000000000002,0.64,0.9533333333333336,23.835333333333335,23.835333333333335,318345786308.79065,11.760666666666667,39.586,14.389999999999993,4.809333333333332,0.0,7.769333333333334,0.4193333333333333,75.5133333333333,1.0,0.24600000000000005,24.486666666666668,25.708,27.68399999999999,32.267999999999994,31.87933333333334,31.87933333333334,1896.147333333333,606767.1333333333,1919.545333333333,614253.9333333332,192.0,506.0,20.0,0.0,0.0,0.0,97152.0,0.6300000000000001,32.0,14.0,32.0,10.0,30.36266666666667,47.43999999999999,60.0,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0,4
097K,cuda_compute_step_factor,h_elements_surrounding_elements,1,785455868.5713332,39.586,11884.8,1159807779.5806663,39.586,10216.533333333333,11.760666666666667,8045.7013333333325,16.208,11.323333333333332,0.9420000000000002,0.64,0.9533333333333336,23.835333333333335,23.835333333333335,318345786308.79065,11.760666666666667,39.586,14.389999999999993,4.809333333333332,0.0,7.769333333333334,0.4193333333333333,75.5133333333333,1.0,0.24600000000000005,24.486666666666668,25.708,27.68399999999999,32.267999999999994,31.87933333333334,31.87933333333334,1896.147333333333,606767.1333333333,1919.545333333333,614253.9333333332,192.0,506.0,20.0,0.0,0.0,0.0,97152.0,0.6300000000000001,32.0,14.0,32.0,10.0,30.36266666666667,47.43999999999999,60.0,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0,4
097K,cuda_compute_step_factor,h_normals,2,785455868.5713332,39.586,11884.8,1159807779.5806663,39.586,10216.533333333333,11.760666666666667,8045.7013333333325,16.208,11.323333333333332,0.9420000000000002,0.64,0.9533333333333336,23.835333333333335,23.835333333333335,318345786308.79065,11.760666666666667,39.586,14.389999999999993,4.809333333333332,0.0,7.769333333333334,0.4193333333333333,75.5133333333333,1.0,0.24600000000000005,24.486666666666668,25.708,27.68399999999999,32.267999999999994,31.87933333333334,31.87933333333334,1896.147333333333,606767.1333333333,1919.545333333333,614253.9333333332,192.0,506.0,20.0,0.0,0.0,0.0,97152.0,0.6300000000000001,32.0,14.0,32.0,10.0,30.36266666666667,47.43999999999999,60.0,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0,6
097K,cuda_time_step,h_areas,0,855715767.0661902,61.106666666666634,16198.404761904761,1267436745.6942856,61.106666666666634,12743.619047619048,19.709761904761905,11654.14,4.714285714285714,14.332142857142859,0.25714285714285695,0.18666666666666673,0.2602380952380951,6.525,6.525,535051302982.2483,19.709761904761905,61.106666666666634,31.289285714285693,4.470714285714287,0.0,8.564761904761907,0.11023809523809527,93.40095238095236,1.0,0.06785714285714285,6.59904761904762,30.77999999999998,32.0,131.67547619047616,129.81595238095238,129.81595238095238,749.5099999999992,239844.0,760.2511904761905,243280.52380952387,192.0,506.0,22.0,0.0,0.0,0.0,97152.0,0.6299999999999999,32.0,14.0,32.0,10.0,34.05119047619047,53.205714285714286,60.0,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0,5
097K,cuda_time_step,h_elements_surrounding_elements,1,855715767.0661902,61.106666666666634,16198.404761904761,1267436745.6942856,61.106666666666634,12743.619047619048,19.709761904761905,11654.14,4.714285714285714,14.332142857142859,0.25714285714285695,0.18666666666666673,0.2602380952380951,6.525,6.525,535051302982.2483,19.709761904761905,61.106666666666634,31.289285714285693,4.470714285714287,0.0,8.564761904761907,0.11023809523809527,93.40095238095236,1.0,0.06785714285714285,6.59904761904762,30.77999999999998,32.0,131.67547619047616,129.81595238095238,129.81595238095238,749.5099999999992,239844.0,760.2511904761905,243280.52380952387,192.0,506.0,22.0,0.0,0.0,0.0,97152.0,0.6299999999999999,32.0,14.0,32.0,10.0,34.05119047619047,53.205714285714286,60.0,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0,5
097K,cuda_time_step,h_normals,2,855715767.0661902,61.106666666666634,16198.404761904761,1267436745.6942856,61.106666666666634,12743.619047619048,19.709761904761905,11654.14,4.714285714285714,14.332142857142859,0.25714285714285695,0.18666666666666673,0.2602380952380951,6.525,6.525,535051302982.2483,19.709761904761905,61.106666666666634,31.289285714285693,4.470714285714287,0.0,8.564761904761907,0.11023809523809527,93.40095238095236,1.0,0.06785714285714285,6.59904761904762,30.77999999999998,32.0,131.67547619047616,129.81595238095238,129.81595238095238,749.5099999999992,239844.0,760.2511904761905,243280.52380952387,192.0,506.0,22.0,0.0,0.0,0.0,97152.0,0.6299999999999999,32.0,14.0,32.0,10.0,34.05119047619047,53.205714285714286,60.0,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0,5
193K,cuda_compute_flux,h_areas,0,852099994.9590697,40.90116279069767,77915.58139534884,1255505292.3979065,42.187441860465114,61701.95348837209,42.187441860465114,69144.07581395347,29.626976744186038,33.936279069767444,1.3227906976744188,1.1802325581395348,1.3267441860465117,33.17906976744187,33.17906976744187,356840656293.49023,42.187441860465114,40.90116279069767,74.62651162790698,7.050697674418606,23.69720930232557,6.517674418604653,0.533953488372093,66.41232558139534,1.0,0.33581395348837223,33.58767441860466,26.20883720930233,27.38651162790697,19.52953488372093,19.453720930232567,19.453720930232567,22866.608604651163,7317315.023255814,22961.18093023256,7347577.790697673,192.0,1008.0,58.0,0.0,0.0,0.0,193536.0,2.519999999999999,32.0,5.0,32.0,10.0,25.79,40.29604651162791,30.0,46.88000000000007,111,0x200060000000,0x2000600bd000,774144,5,636,1024.0,0.0,0.0,3
