kernel,InputData,MemLocation,h_areas,h_elements_surrounding_elements,h_normals,label,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,0.2M,Global,none,none,none,0000,70.58,479.4258,6000,0.079904,0.068800,4.269671
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetReadMostly,0001,70.54,479.8988,6000,0.079983,0.069120,4.143877
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetPreferredLocationGPU,0002,70.60,480.4486,6000,0.080074,0.068607,4.488740
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetAccessedByGPU,0003,96.52,5.52e+03,6000,0.920460,0.907483,2.359409
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetPreferredLocationGPU,0004,96.52,5.53e+03,6000,0.921750,0.907195,8.779017
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetPreferredLocationCPU,0005,70.58,480.4598,6000,0.080076,0.068192,4.609924
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,none,0010,70.57,479.8511,6000,0.079975,0.068575,4.262375
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,0011,70.58,479.8177,6000,0.079969,0.068992,4.293607
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0012,70.61,480.5470,6000,0.080091,0.068575,4.687652
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,0013,96.52,5.52e+03,6000,0.920572,0.907482,2.379154
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0014,96.52,5.53e+03,6000,0.922002,0.907643,9.022921
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,0015,70.59,480.0960,6000,0.080016,0.068384,4.357222
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,none,0020,70.63,480.4755,6000,0.080079,0.068543,4.533766
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0021,70.62,480.1732,6000,0.080028,0.068447,4.483975
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0022,70.59,480.3836,6000,0.080063,0.068640,4.404295
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,0023,96.53,5.54e+03,6000,0.923929,0.907034,2.398226
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0024,96.51,5.52e+03,6000,0.920147,0.907162,9.207080
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0025,70.59,480.1311,6000,0.080021,0.068480,4.476230
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetAccessedByGPU,none,0030,90.58,1.92e+03,6000,0.320291,0.310942,3.922632
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetReadMostly,0031,90.56,1.92e+03,6000,0.319278,0.311646,3.507691
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,0032,90.57,1.92e+03,6000,0.320003,0.311423,3.771977
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetAccessedByGPU,0033,97.34,7.29e+03,6000,1.214892,1.206041,1.372183
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,0034,97.36,7.33e+03,6000,1.221548,1.205561,8.313516
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,0035,90.57,1.92e+03,6000,0.319719,0.311678,3.975944
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,none,0040,90.59,1.92e+03,6000,0.320608,0.311966,5.668417
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0041,90.66,1.94e+03,6000,0.323143,0.311678,5.647102
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0042,90.74,1.96e+03,6000,0.326051,0.311838,6.034171
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,0043,97.35,7.31e+03,6000,1.217965,1.205817,3.938504
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0044,97.36,7.33e+03,6000,1.221342,1.206041,10.82604
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0045,90.70,1.95e+03,6000,0.324925,0.310878,5.591679
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationCPU,none,0050,70.61,480.6643,6000,0.080110,0.068127,4.609604
