kernel,InputData,MemLocation,h_areas,h_elements_surrounding_elements,h_normals,label,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,0.2M,Global,none,none,none,0000,66.23,362.2083,6000,0.060368,0.053024,4.093157
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetReadMostly,0001,67.06,363.7006,6000,0.060616,0.053120,4.028677
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetPreferredLocationGPU,0002,73.78,495.3660,6000,0.082561,0.076000,1.456855
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetAccessedByGPU,0003,68.26,381.5192,6000,0.063586,0.057727,4.273381
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetPreferredLocationGPU,0004,85.82,1.08e+03,6000,0.179750,0.176383,3.617448
cuda_compute_flux,0.2M,Global,none,none,cudaMemAdviseSetPreferredLocationCPU,0005,67.20,363.5687,6000,0.060594,0.052832,4.511044
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,none,0010,67.12,359.8893,6000,0.059981,0.052767,4.063238
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,0011,67.63,368.4538,6000,0.061408,0.053888,4.011559
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0012,73.86,500.6386,6000,0.083439,0.077536,1.423447
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,0013,66.35,358.8803,6000,0.059813,0.052224,3.083949
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0014,85.70,1.08e+03,6000,0.179926,0.176735,3.641034
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,0015,66.98,363.8590,6000,0.060643,0.053439,4.414693
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,none,0020,68.17,386.8220,6000,0.064470,0.058976,3.172140
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0021,67.31,377.2889,6000,0.062881,0.054848,3.366700
cuda_compute_flux,0.2M,Global,none,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0022,75.74,556.5553,6000,0.092759,0.086495,0.796988
