data, label, time
matrix4,0000,0.000340
matrix208,0000,0.004884
matrix1024,0000,0.135777
16,0000,0.000547
32,0000,0.000810
48,0000,0.001085
64,0000,0.001321
80,0000,0.001641
96,0000,0.001991
112,0000,0.002354
128,0000,0.002772
144,0000,0.003045
160,0000,0.003506
176,0000,0.003922
192,0000,0.004356
208,0000,0.004790
224,0000,0.005512
240,0000,0.005812
256,0000,0.006547
272,0000,0.007285
288,0000,0.008116
304,0000,0.008625
320,0000,0.009520
336,0000,0.010176
352,0000,0.011163
368,0000,0.012206
384,0000,0.013449
400,0000,0.014190
416,0000,0.015538
432,0000,0.016687
448,0000,0.018205
464,0000,0.020449
480,0000,0.022141
496,0000,0.023569
512,0000,0.025314
528,0000,0.028139
544,0000,0.029041
560,0000,0.029546
576,0000,0.033373
592,0000,0.035107
608,0000,0.037451
624,0000,0.039709
640,0000,0.042099
656,0000,0.042783
672,0000,0.047327
688,0000,0.050114
704,0000,0.052841
720,0000,0.055677
736,0000,0.058881
752,0000,0.059963
768,0000,0.065503
784,0000,0.068742
800,0000,0.072667
816,0000,0.076307
832,0000,0.077970
848,0000,0.084093
864,0000,0.088393
880,0000,0.092407
896,0000,0.097144
912,0000,0.101038
928,0000,0.106725
944,0000,0.111281
960,0000,0.113743
976,0000,0.121486
992,0000,0.127387
1008,0000,0.132426
1024,0000,0.138216
matrix4,0001,0.000350
matrix208,0001,0.006391
matrix1024,0001,0.157288
16,0001,0.000620
32,0001,0.000808
48,0001,0.001151
64,0001,0.001348
80,0001,0.001639
96,0001,0.002001
112,0001,0.002394
128,0001,0.002654
144,0001,0.003006
160,0001,0.003541
176,0001,0.003797
192,0001,0.004381
208,0001,0.004762
224,0001,0.005390
240,0001,0.005933
256,0001,0.006688
272,0001,0.007230
288,0001,0.007964
304,0001,0.008569
320,0001,0.009500
336,0001,0.010251
352,0001,0.011207
368,0001,0.012224
384,0001,0.013292
400,0001,0.014269
416,0001,0.015521
432,0001,0.016618
448,0001,0.017999
464,0001,0.020377
480,0001,0.021983
496,0001,0.023593
512,0001,0.025502
528,0001,0.027583
544,0001,0.028916
560,0001,0.030961
576,0001,0.031656
592,0001,0.035235
608,0001,0.037623
624,0001,0.039642
640,0001,0.042194
656,0001,0.044386
672,0001,0.047220
688,0001,0.049730
704,0001,0.052526
720,0001,0.055501
736,0001,0.059228
752,0001,0.061990
768,0001,0.065486
784,0001,0.068908
800,0001,0.072479
816,0001,0.075979
832,0001,0.080078
848,0001,0.083860
864,0001,0.088571
880,0001,0.092410
896,0001,0.096946
912,0001,0.101385
928,0001,0.106427
944,0001,0.111470
960,0001,0.115761
976,0001,0.121320
992,0001,0.126911
1008,0001,0.132385
1024,0001,0.138318
matrix4,0002,0.000529
matrix208,0002,0.004840
matrix1024,0002,0.138384
16,0002,0.000545
32,0002,0.000797
48,0002,0.001095
64,0002,0.001348
80,0002,0.001636
96,0002,0.002026
112,0002,0.002464
128,0002,0.002676
144,0002,0.003066
160,0002,0.003490
176,0002,0.003832
192,0002,0.004308
208,0002,0.004979
224,0002,0.005360
240,0002,0.005839
256,0002,0.006596
272,0002,0.007213
288,0002,0.007963
304,0002,0.008610
320,0002,0.009345
336,0002,0.010174
352,0002,0.011176
368,0002,0.012125
384,0002,0.013302
400,0002,0.014296
416,0002,0.015707
432,0002,0.016578
448,0002,0.017963
464,0002,0.020486
480,0002,0.022075
496,0002,0.023698
512,0002,0.025354
528,0002,0.027473
544,0002,0.029043
560,0002,0.030740
576,0002,0.033317
592,0002,0.033530
608,0002,0.037565
624,0002,0.039769
640,0002,0.041919
656,0002,0.044513
672,0002,0.047099
688,0002,0.049621
704,0002,0.052739
720,0002,0.055975
736,0002,0.058577
752,0002,0.062067
768,0002,0.065663
784,0002,0.068797
800,0002,0.072778
816,0002,0.076416
832,0002,0.080270
848,0002,0.083979
864,0002,0.088424
880,0002,0.092203
896,0002,0.097160
912,0002,0.101829
928,0002,0.106412
944,0002,0.111366
960,0002,0.116278
976,0002,0.121560
992,0002,0.127259
1008,0002,0.132278
1024,0002,0.138404
matrix4,0003,0.000107
matrix208,0003,0.013080
matrix1024,0003,0.519649
16,0003,0.000550
32,0003,0.000818
48,0003,0.001082
64,0003,0.001352
80,0003,0.001642
96,0003,0.001954
112,0003,0.002354
128,0003,0.002659
144,0003,0.002965
160,0003,0.003468
176,0003,0.003819
192,0003,0.004441
208,0003,0.004666
224,0003,0.005395
240,0003,0.005858
256,0003,0.006497
272,0003,0.007263
288,0003,0.007783
304,0003,0.008642
320,0003,0.009303
336,0003,0.010134
352,0003,0.011118
368,0003,0.012345
384,0003,0.013338
400,0003,0.014137
416,0003,0.015484
432,0003,0.016593
448,0003,0.018377
464,0003,0.020446
480,0003,0.021993
496,0003,0.023421
512,0003,0.025701
528,0003,0.027547
544,0003,0.029050
560,0003,0.031218
576,0003,0.033183
592,0003,0.034288
608,0003,0.035769
624,0003,0.039743
640,0003,0.042093
656,0003,0.044235
672,0003,0.047259
688,0003,0.050231
704,0003,0.052924
720,0003,0.054960
736,0003,0.058942
752,0003,0.061718
768,0003,0.065553
784,0003,0.066482
800,0003,0.072851
816,0003,0.076078
832,0003,0.080342
848,0003,0.084067
864,0003,0.088262
880,0003,0.092777
896,0003,0.095975
912,0003,0.101645
928,0003,0.106193
944,0003,0.111460
960,0003,0.116507
976,0003,0.121706
992,0003,0.125601
1008,0003,0.132032
1024,0003,0.138622
matrix4,0004,0.000198
matrix208,0004,0.013653
matrix1024,0004,0.522030
16,0004,0.000539
32,0004,0.000842
48,0004,0.001122
64,0004,0.001323
80,0004,0.001630
96,0004,0.002062
112,0004,0.002300
128,0004,0.002678
144,0004,0.003114
160,0004,0.003503
176,0004,0.003784
192,0004,0.004487
208,0004,0.004790
224,0004,0.005268
240,0004,0.005889
256,0004,0.006490
272,0004,0.007118
288,0004,0.007906
304,0004,0.008540
320,0004,0.009528
336,0004,0.010079
352,0004,0.011286
368,0004,0.012379
384,0004,0.013464
400,0004,0.014110
416,0004,0.015546
432,0004,0.016598
448,0004,0.018023
464,0004,0.019218
480,0004,0.022091
496,0004,0.023505
512,0004,0.025606
528,0004,0.027484
544,0004,0.029208
560,0004,0.030925
576,0004,0.033240
592,0004,0.035084
608,0004,0.037498
624,0004,0.039742
640,0004,0.042119
656,0004,0.044546
672,0004,0.047168
688,0004,0.049460
704,0004,0.052744
720,0004,0.055545
736,0004,0.058716
752,0004,0.062279
768,0004,0.065765
784,0004,0.068793
800,0004,0.072867
816,0004,0.076199
832,0004,0.080158
848,0004,0.081750
864,0004,0.088901
880,0004,0.092439
896,0004,0.094555
912,0004,0.101384
928,0004,0.106607
944,0004,0.111139
960,0004,0.114446
976,0004,0.118791
992,0004,0.127252
1008,0004,0.132283
1024,0004,0.135978
matrix4,0005,0.000339
matrix208,0005,0.004910
matrix1024,0005,0.138353
16,0005,0.000559
32,0005,0.000821
48,0005,0.001068
64,0005,0.001339
80,0005,0.001643
96,0005,0.002004
112,0005,0.002320
128,0005,0.002796
144,0005,0.003029
160,0005,0.003393
176,0005,0.003930
192,0005,0.004287
208,0005,0.004889
224,0005,0.005341
240,0005,0.006109
256,0005,0.006691
272,0005,0.007367
288,0005,0.007780
304,0005,0.008671
320,0005,0.009401
336,0005,0.010339
352,0005,0.011059
368,0005,0.012256
384,0005,0.013227
400,0005,0.014405
416,0005,0.015626
432,0005,0.016702
448,0005,0.017979
464,0005,0.020491
480,0005,0.022053
496,0005,0.022174
512,0005,0.025946
528,0005,0.027801
544,0005,0.029043
560,0005,0.030957
576,0005,0.033279
592,0005,0.033458
608,0005,0.037497
624,0005,0.039866
640,0005,0.042187
656,0005,0.044423
672,0005,0.047284
688,0005,0.049874
704,0005,0.052797
720,0005,0.055464
736,0005,0.056899
752,0005,0.061841
768,0005,0.065286
784,0005,0.068784
800,0005,0.072669
816,0005,0.076211
832,0005,0.078007
848,0005,0.083935
864,0005,0.088597
880,0005,0.092361
896,0005,0.097770
912,0005,0.101556
928,0005,0.106596
944,0005,0.111099
960,0005,0.116482
976,0005,0.121725
992,0005,0.127551
1008,0005,0.133094
1024,0005,0.138372
matrix4,0010,0.000359
matrix208,0010,0.004920
matrix1024,0010,0.138492
16,0010,0.000550
32,0010,0.000817
48,0010,0.001100
64,0010,0.001343
80,0010,0.001630
96,0010,0.001971
112,0010,0.002395
128,0010,0.002709
144,0010,0.003005
160,0010,0.003433
176,0010,0.003828
192,0010,0.004334
208,0010,0.004738
224,0010,0.005248
240,0010,0.005870
256,0010,0.006738
272,0010,0.007165
288,0010,0.007900
304,0010,0.008554
320,0010,0.009427
336,0010,0.010133
352,0010,0.011109
368,0010,0.012288
384,0010,0.013192
400,0010,0.014446
416,0010,0.015560
432,0010,0.016573
448,0010,0.017907
464,0010,0.020232
480,0010,0.022081
496,0010,0.023560
512,0010,0.025810
528,0010,0.027443
544,0010,0.029045
560,0010,0.031208
576,0010,0.033303
592,0010,0.035157
608,0010,0.036112
624,0010,0.039356
640,0010,0.040299
656,0010,0.044419
672,0010,0.047212
688,0010,0.049934
704,0010,0.051011
720,0010,0.055516
736,0010,0.058686
752,0010,0.061921
768,0010,0.065480
784,0010,0.068903
800,0010,0.072171
816,0010,0.076204
832,0010,0.078511
848,0010,0.083967
864,0010,0.088469
880,0010,0.092617
896,0010,0.097143
912,0010,0.101259
928,0010,0.106609
944,0010,0.111935
960,0010,0.116087
976,0010,0.121229
992,0010,0.126827
1008,0010,0.130205
1024,0010,0.138808
matrix4,0011,0.000343
matrix208,0011,0.006102
matrix1024,0011,0.155743
16,0011,0.000530
32,0011,0.000857
48,0011,0.001077
64,0011,0.001338
80,0011,0.001840
96,0011,0.001974
112,0011,0.002265
128,0011,0.002665
144,0011,0.003003
160,0011,0.003449
176,0011,0.003842
192,0011,0.004296
208,0011,0.004817
