Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
FilesavingTemp,0,11,1024,0x200060000000,0x200060400000,4194304,13,1843,4224.0,0.0,0.0
FilesavingPower,1,11,1024,0x200060400000,0x200060800000,4194304,15,749,4224.0,192.0,0.0
FilesavingTemp,0,11,128,0x200060000000,0x200060010000,65536,2,471,128.0,0.0,0.0
FilesavingPower,1,11,128,0x200060010000,0x200060020000,65536,2,304,64.0,64.0,0.0
FilesavingTemp,0,11,2048,0x200060000000,0x200061000000,16777216,49,4349,16576.0,0.0,0.0
FilesavingPower,1,11,2048,0x200061000000,0x200062000000,16777216,49,587,16384.0,64.0,0.0
FilesavingTemp,0,11,256,0x200060000000,0x200060040000,262144,4,264,320.0,0.0,0.0
FilesavingPower,1,11,256,0x200060040000,0x200060080000,262144,2,0,256.0,64.0,0.0
FilesavingTemp,0,11,4096,0x200060000000,0x200064000000,67108864,193,9663,65792.0,0.0,0.0
FilesavingPower,1,11,4096,0x200064000000,0x200068000000,67108864,193,450,65536.0,64.0,0.0
FilesavingTemp,0,11,512,0x200060000000,0x200060100000,1048576,6,738,1152.0,0.0,0.0
FilesavingPower,1,11,512,0x200060100000,0x200060200000,1048576,2,171,1024.0,64.0,0.0
FilesavingTemp,0,11,64,0x200060000000,0x200060004000,16384,2,256,64.0,64.0,0.0
FilesavingPower,1,11,64,0x200060004000,0x200060008000,16384,0,0,0.0,0.0,0.0
FilesavingTemp,0,11,8192,0x200060000000,0x200070000000,268435456,769,20648,262336.0,0.0,0.0
FilesavingPower,1,11,8192,0x200070000000,0x200080000000,268435456,769,422,262144.0,64.0,0.0
