==79074== NVPROF is profiling process 79074, command: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
==79074== Profiling application: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060400000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060400000 0x200060800000
pyramidHeight: 2
gridSize: [1024, 1024]
border:[2, 2]
blockGrid:[86, 86]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060800000 0x200060c00000
Start computing the transient temperature
Ending simulation
removing 0 1
==79074== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
546.42ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060000000  [Unified Memory CPU page faults]
553.36ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060010000  [Unified Memory CPU page faults]
561.57ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060020000  [Unified Memory CPU page faults]
578.15ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060040000  [Unified Memory CPU page faults]
605.90ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060080000  [Unified Memory CPU page faults]
676.85ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060100000  [Unified Memory CPU page faults]
767.22ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060200000  [Unified Memory CPU page faults]
773.00ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060210000  [Unified Memory CPU page faults]
778.64ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060220000  [Unified Memory CPU page faults]
789.91ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060240000  [Unified Memory CPU page faults]
812.52ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060280000  [Unified Memory CPU page faults]
927.49ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060300000  [Unified Memory CPU page faults]
1.02156s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060400000  [Unified Memory CPU page faults]
1.02653s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060410000  [Unified Memory CPU page faults]
1.03139s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060420000  [Unified Memory CPU page faults]
1.04120s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060440000  [Unified Memory CPU page faults]
1.06147s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060480000  [Unified Memory CPU page faults]
1.11642s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060500000  [Unified Memory CPU page faults]
1.19827s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060600000  [Unified Memory CPU page faults]
1.20320s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060610000  [Unified Memory CPU page faults]
1.20801s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060620000  [Unified Memory CPU page faults]
1.21760s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060640000  [Unified Memory CPU page faults]
1.23690s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060680000  [Unified Memory CPU page faults]
1.30307s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060700000  [Unified Memory CPU page faults]
1.38199s  4.4838ms            (86 86 1)       (16 16 1)        40  3.0000KB        0B  Tesla V100-SXM2         1         7                     -                -  calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float) [419]
1.38200s  346.21us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   256   0x200060000000  [Unified Memory GPU page faults]
1.38224s  3.6480us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060000000  [Unified Memory Memcpy HtoD]
1.38235s  241.89us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   252   0x200060400000  [Unified Memory GPU page faults]
1.38253s  5.2160us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060400000  [Unified Memory Memcpy HtoD]
1.38260s  210.11us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   253   0x200060010000  [Unified Memory GPU page faults]
1.38275s  5.0240us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060010000  [Unified Memory Memcpy HtoD]
1.38276s  4.8960us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060030000  [Unified Memory Memcpy HtoD]
1.38279s  3.4880us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060420000  [Unified Memory Memcpy HtoD]
