==79048== NVPROF is profiling process 79048, command: ./lassen-executable/hotspot_11 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
==79048== Profiling application: ./lassen-executable/hotspot_11 512 2 2 ../../data/hotspot/temp_512 ../../data/hotspot/power_512 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060100000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060100000 0x200060200000
pyramidHeight: 2
gridSize: [512, 512]
border:[2, 2]
blockGrid:[43, 43]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060200000 0x200060300000
Start computing the transient temperature
Ending simulation
removing 0 1
==79048== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
545.91ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060000000  [Unified Memory CPU page faults]
553.65ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060010000  [Unified Memory CPU page faults]
561.71ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060020000  [Unified Memory CPU page faults]
577.92ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060040000  [Unified Memory CPU page faults]
603.06ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060080000  [Unified Memory CPU page faults]
680.34ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060100000  [Unified Memory CPU page faults]
835.25ms  1.6972ms            (43 43 1)       (16 16 1)        40  3.0000KB        0B  Tesla V100-SXM2         1         7                     -                -  calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float) [419]
835.26ms  335.90us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   256   0x200060000000  [Unified Memory GPU page faults]
835.49ms  3.5520us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060000000  [Unified Memory Memcpy HtoD]
835.60ms  244.13us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    19   0x200060010000  [Unified Memory GPU page faults]
835.78ms  3.8080us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060010000  [Unified Memory Memcpy HtoD]
835.79ms  5.6960us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060100000  [Unified Memory Memcpy HtoD]
835.84ms  202.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   139   0x200060020000  [Unified Memory GPU page faults]
836.02ms  3.8400us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060020000  [Unified Memory Memcpy HtoD]
836.02ms  3.9680us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060030000  [Unified Memory Memcpy HtoD]
836.03ms  3.8720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060120000  [Unified Memory Memcpy HtoD]
836.03ms  4.2880us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060130000  [Unified Memory Memcpy HtoD]
