==79409== NVPROF is profiling process 79409, command: ./lassen-executable/hotspot_11 8192 2 2 ../../data/hotspot/temp_8192 ../../data/hotspot/power_8192 output.out
==79409== WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200070000000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200070000000 0x200080000000
pyramidHeight: 2
gridSize: [8192, 8192]
border:[2, 2]
blockGrid:[683, 683]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200080000000 0x200090000000
Start computing the transient temperature
Ending simulation
removing 0 1
Profiling application: ./lassen-executable/hotspot_11 8192 2 2 ../../data/hotspot/temp_8192 ../../data/hotspot/power_8192 output.out
==79409== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
557.61ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060000000  [Unified Memory CPU page faults]
564.44ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060010000  [Unified Memory CPU page faults]
572.01ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060020000  [Unified Memory CPU page faults]
587.21ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060040000  [Unified Memory CPU page faults]
634.15ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060080000  [Unified Memory CPU page faults]
689.92ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060100000  [Unified Memory CPU page faults]
778.98ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060200000  [Unified Memory CPU page faults]
784.65ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060210000  [Unified Memory CPU page faults]
790.19ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060220000  [Unified Memory CPU page faults]
814.53ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060240000  [Unified Memory CPU page faults]
840.13ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060280000  [Unified Memory CPU page faults]
884.49ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060300000  [Unified Memory CPU page faults]
1.02629s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060400000  [Unified Memory CPU page faults]
1.03304s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060410000  [Unified Memory CPU page faults]
1.03871s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060420000  [Unified Memory CPU page faults]
1.04971s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060440000  [Unified Memory CPU page faults]
1.07178s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060480000  [Unified Memory CPU page faults]
1.11594s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060500000  [Unified Memory CPU page faults]
1.20398s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060600000  [Unified Memory CPU page faults]
1.20951s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060610000  [Unified Memory CPU page faults]
1.21516s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060620000  [Unified Memory CPU page faults]
1.22613s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060640000  [Unified Memory CPU page faults]
1.24909s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060680000  [Unified Memory CPU page faults]
1.29300s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060700000  [Unified Memory CPU page faults]
1.42533s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060800000  [Unified Memory CPU page faults]
1.43091s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060810000  [Unified Memory CPU page faults]
1.43645s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060820000  [Unified Memory CPU page faults]
1.44758s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060840000  [Unified Memory CPU page faults]
1.46963s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060880000  [Unified Memory CPU page faults]
1.51359s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060900000  [Unified Memory CPU page faults]
1.60155s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a00000  [Unified Memory CPU page faults]
1.60709s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a10000  [Unified Memory CPU page faults]
1.61262s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a20000  [Unified Memory CPU page faults]
1.62374s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a40000  [Unified Memory CPU page faults]
1.64569s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a80000  [Unified Memory CPU page faults]
1.68972s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060b00000  [Unified Memory CPU page faults]
1.77761s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c00000  [Unified Memory CPU page faults]
1.78314s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c10000  [Unified Memory CPU page faults]
1.78867s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c20000  [Unified Memory CPU page faults]
1.79976s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c40000  [Unified Memory CPU page faults]
1.82165s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c80000  [Unified Memory CPU page faults]
1.86564s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060d00000  [Unified Memory CPU page faults]
1.95373s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060e00000  [Unified Memory CPU page faults]
1.95926s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060e10000  [Unified Memory CPU page faults]
1.96480s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060e20000  [Unified Memory CPU page faults]
1.97578s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060e40000  [Unified Memory CPU page faults]
1.99783s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060e80000  [Unified Memory CPU page faults]
2.16242s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060f00000  [Unified Memory CPU page faults]
2.25380s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061000000  [Unified Memory CPU page faults]
2.25967s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061010000  [Unified Memory CPU page faults]
2.26536s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061020000  [Unified Memory CPU page faults]
2.27636s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061040000  [Unified Memory CPU page faults]
2.29844s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061080000  [Unified Memory CPU page faults]
2.34237s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061100000  [Unified Memory CPU page faults]
2.43479s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061200000  [Unified Memory CPU page faults]
2.44045s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061210000  [Unified Memory CPU page faults]
2.44595s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061220000  [Unified Memory CPU page faults]
2.45694s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061240000  [Unified Memory CPU page faults]
2.47898s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061280000  [Unified Memory CPU page faults]
2.52288s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061300000  [Unified Memory CPU page faults]
2.77396s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061400000  [Unified Memory CPU page faults]
2.77950s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061410000  [Unified Memory CPU page faults]
2.78518s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061420000  [Unified Memory CPU page faults]
2.79617s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061440000  [Unified Memory CPU page faults]
2.85726s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061480000  [Unified Memory CPU page faults]
2.90395s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061500000  [Unified Memory CPU page faults]
3.04408s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061600000  [Unified Memory CPU page faults]
3.04962s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061610000  [Unified Memory CPU page faults]
3.05515s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061620000  [Unified Memory CPU page faults]
3.06624s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061640000  [Unified Memory CPU page faults]
3.08837s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061680000  [Unified Memory CPU page faults]
3.13227s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061700000  [Unified Memory CPU page faults]
3.22022s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061800000  [Unified Memory CPU page faults]
3.22574s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061810000  [Unified Memory CPU page faults]
3.23129s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061820000  [Unified Memory CPU page faults]
3.24242s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061840000  [Unified Memory CPU page faults]
3.26436s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061880000  [Unified Memory CPU page faults]
3.34840s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061900000  [Unified Memory CPU page faults]
3.43637s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061a00000  [Unified Memory CPU page faults]
3.44189s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061a10000  [Unified Memory CPU page faults]
3.44739s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061a20000  [Unified Memory CPU page faults]
3.46411s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200061a40000  [Unified Memory CPU page faults]
