kernel,InputData,advise0,advise1,variant,TimePerc,Time,calls,AVG,MIN,MAX
calculate_temp,1024,0,0,00,5.24,0.052192,1,0.052192,0.052192,0.052192
calculate_temp,128,0,0,00,22.63,6.11e-03,1,6.11e-03,6.11e-03,6.11e-03
calculate_temp,2048,0,0,00,4.07,0.189695,1,0.189695,0.189695,0.189695
calculate_temp,256,0,0,00,25.12,8.35e-03,1,8.35e-03,8.35e-03,8.35e-03
calculate_temp,4096,0,0,00,3.84,0.739452,1,0.739452,0.739452,0.739452
calculate_temp,512,0,0,00,21.95,0.016703,1,0.016703,0.016703,0.016703
calculate_temp,64,0,0,00,37.95,5.70e-03,1,5.70e-03,5.70e-03,5.70e-03
calculate_temp,8192,0,0,00,2.11,2.908142,1,2.908142,2.908142,2.908142
calculate_temp,1024,0,1,01,75.11,1.912373,1,1.912373,1.912373,1.912373
calculate_temp,128,0,1,01,97.02,0.418174,1,0.418174,0.418174,0.418174
calculate_temp,2048,0,1,01,71.68,7.947760,1,7.947760,7.947760,7.947760
calculate_temp,256,0,1,01,96.93,0.551934,1,0.551934,0.551934,0.551934
calculate_temp,4096,0,1,01,61.34,26.86605,1,26.86605,26.86605,26.86605
calculate_temp,512,0,1,01,95.36,0.836476,1,0.836476,0.836476,0.836476
calculate_temp,64,0,1,01,98.12,0.346654,1,0.346654,0.346654,0.346654
calculate_temp,8192,0,1,01,53.39,82.51227,1,82.51227,82.51227,82.51227
calculate_temp,1024,0,2,02,71.28,1.584599,1,1.584599,1.584599,1.584599
calculate_temp,128,0,2,02,56.03,0.015904,1,0.015904,0.015904,0.015904
calculate_temp,2048,0,2,02,66.16,6.163387,1,6.163387,6.163387,6.163387
calculate_temp,256,0,2,02,66.24,0.032896,1,0.032896,0.032896,0.032896
calculate_temp,4096,0,2,02,58.16,23.58053,1,23.58053,23.58053,23.58053
calculate_temp,512,0,2,02,69.39,0.093567,1,0.093567,0.093567,0.093567
calculate_temp,64,0,2,02,61.36,0.010111,1,0.010111,0.010111,0.010111
calculate_temp,8192,0,2,02,49.34,69.03354,1,69.03354,69.03354,69.03354
calculate_temp,1024,0,3,03,74.80,1.891573,1,1.891573,1.891573,1.891573
calculate_temp,128,0,3,03,55.88,0.015808,1,0.015808,0.015808,0.015808
calculate_temp,2048,0,3,03,70.80,7.704978,1,7.704978,7.704978,7.704978
calculate_temp,256,0,3,03,65.90,0.031968,1,0.031968,0.031968,0.031968
calculate_temp,4096,0,3,03,61.77,27.46592,1,27.46592,27.46592,27.46592
calculate_temp,512,0,3,03,69.50,0.095647,1,0.095647,0.095647,0.095647
calculate_temp,64,0,3,03,58.90,9.22e-03,1,9.22e-03,9.22e-03,9.22e-03
calculate_temp,8192,0,3,03,53.93,81.49241,1,81.49241,81.49241,81.49241
calculate_temp,1024,0,4,04,28.23,0.272318,1,0.272318,0.272318,0.272318
calculate_temp,128,0,4,04,51.68,0.013312,1,0.013312,0.013312,0.013312
calculate_temp,2048,0,4,04,21.88,0.947354,1,0.947354,0.947354,0.947354
calculate_temp,256,0,4,04,61.71,0.028416,1,0.028416,0.028416,0.028416
calculate_temp,4096,0,4,04,18.13,3.798953,1,3.798953,3.798953,3.798953
calculate_temp,512,0,4,04,67.50,0.089184,1,0.089184,0.089184,0.089184
calculate_temp,64,0,4,04,54.85,7.78e-03,1,7.78e-03,7.78e-03,7.78e-03
calculate_temp,8192,0,4,04,17.91,15.23437,1,15.23437,15.23437,15.23437
calculate_temp,1024,0,5,05,89.80,5.639136,1,5.639136,5.639136,5.639136
calculate_temp,128,0,5,05,55.23,0.015552,1,0.015552,0.015552,0.015552
calculate_temp,2048,0,5,05,88.09,22.90105,1,22.90105,22.90105,22.90105
calculate_temp,256,0,5,05,64.97,0.031808,1,0.031808,0.031808,0.031808
calculate_temp,4096,0,5,05,77.34,57.34862,1,57.34862,57.34862,57.34862
calculate_temp,512,0,5,05,68.60,0.088352,1,0.088352,0.088352,0.088352
calculate_temp,64,0,5,05,59.35,9.34e-03,1,9.34e-03,9.34e-03,9.34e-03
calculate_temp,8192,0,5,05,66.62,140.8533,1,140.8533,140.8533,140.8533
calculate_temp,1024,0,6,06,77.05,2.150484,1,2.150484,2.150484,2.150484
calculate_temp,128,0,6,06,54.96,0.015424,1,0.015424,0.015424,0.015424
calculate_temp,2048,0,6,06,73.34,8.537676,1,8.537676,8.537676,8.537676
calculate_temp,256,0,6,06,65.74,0.031808,1,0.031808,0.031808,0.031808
calculate_temp,4096,0,6,06,63.54,29.44757,1,29.44757,29.44757,29.44757
calculate_temp,512,0,6,06,68.47,0.090624,1,0.090624,0.090624,0.090624
calculate_temp,64,0,6,06,60.66,0.010016,1,0.010016,0.010016,0.010016
calculate_temp,8192,0,6,06,56.58,90.61201,1,90.61201,90.61201,90.61201
calculate_temp,1024,1,0,10,90.84,3.245261,1,3.245261,3.245261,3.245261
calculate_temp,128,1,0,10,97.89,0.407647,1,0.407647,0.407647,0.407647
calculate_temp,2048,1,0,10,90.63,12.04300,1,12.04300,12.04300,12.04300
calculate_temp,256,1,0,10,98.30,0.582461,1,0.582461,0.582461,0.582461
calculate_temp,4096,1,0,10,87.81,39.54751,1,39.54751,39.54751,39.54751
calculate_temp,512,1,0,10,98.15,1.148346,1,1.148346,1.148346,1.148346
calculate_temp,64,1,0,10,98.84,0.288959,1,0.288959,0.288959,0.288959
calculate_temp,8192,1,0,10,84.50,128.2132,1,128.2132,128.2132,128.2132
calculate_temp,1024,1,1,11,100.00,4.133161,1,4.133161,4.133161,4.133161
calculate_temp,128,1,1,11,100.00,0.619774,1,0.619774,0.619774,0.619774
calculate_temp,2048,1,1,11,100.00,16.15680,1,16.15680,16.15680,16.15680
calculate_temp,256,1,1,11,100.00,0.872765,1,0.872765,0.872765,0.872765
calculate_temp,4096,1,1,11,100.00,49.27632,1,49.27632,49.27632,49.27632
calculate_temp,512,1,1,11,100.00,1.680760,1,1.680760,1.680760,1.680760
